user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rudd****,1kmeI,"홍장원 거짓메모(공식 필적 감정 결과 나옴, 민주당 박선원 의원의 필적이라 판명), 곽종근 특전사령관의 거짓진술(박병주, 박범계 등이 협박 회유, 녹취록 공개됨)로 대통령이 탄핵소추 국회 통과되고, 수사권도 없는 공수처가 대통령을 불법 체포 및 구금 했는데, 탄핵인용이 56%라고? 지금 장난해? 조기대선 운운거리는 것 보니 조중동도 선관위 카르텔과 엮여있다 보는 것이 합리적 의심이라 할 수 있겠네. 3.1절 탄핵반대 집회 드론 영상이나 보고와서 이런 거짓 여론조사 결과 발표해라. 국민들이 더이상 너희들에게 속지 않는다. 정신차려라",True,1,2025-03-06T13:54:19+0900,853143777798258830,14,3,1
grea****,1zky8,국민들 80%가 탄핵을 반대한다. 이 엄중하고 미묘한 시점에 이런 엉터리 기사를 쓰는 기자는 정상이 아니다. 기자를 조사해 보면 알겠지만 분명히 정치편향적이고 비상식적인 나쁜 기자일 것이다. 이런 몹쓸 기자는 엄벌에 처해야 한다.,True,1,2025-03-06T21:30:34+0900,853173170960597183,11,1,0
yge0****,,,False,1,2025-03-06T15:22:49+0900,853149479367344494,0,0,1
you3****,1xA2V,"말도안되는 여론조사 공표하는 의도가
뭐냐? 헌재에서 탄핵인용하라고
선동질하나. 국민들은 탄핵을 반대하는
여론이 훨씬 높다고 생각하는데
전라도에서 했겠지",True,1,2025-03-06T13:37:51+0900,853142717109109107,11,1,0
dnwn****,4HzKt,"빈국가 쿠데타 세력은 이재명씨 임을 모든국민들이 다 알고 있습니다
이재명 내란수괴 세력이 무력으로 멀쩡한 대통령을 몰아내고 권력을 장악하려고 하고 있습니다
국민여러분 이미 언론은 좌경화 됬습니다
지지율 그딴거 믿지 마십시요
조기대선 하자는 세력들은 반국가 내란세력들입니다",True,1,2025-03-06T16:16:20+0900,853152927454331029,10,0,0
rla7****,4V38Z,가짜 뉴스입니다..   탄핵기각  78%..    인용 20.3%.  잘 모름 1.7%    깨어있는 국민들이 자유대한민국을 지킬수 있습니다.    더듬어공산당 애들이 곽종근 사령관에게  협박.회유하여 거짓진술 강요한 녹음파일이 일파만파   ~~  대한민국 국민들은 자유민주주의 체제를 원합니다..   ㅡ 애국청년   ㅡ,True,1,2025-03-06T14:46:19+0900,853147127772086408,15,6,1
apjj****,2wITh,홍장원과 곽종근을 이용해 탄핵내란조작질한 반민주당의원들 구속수사해라.  29번의 무차별 탄핵과 국정운영예산0원처리해 국정운영을 마비시킨 친중 반미 종북좌파 전과4범 범죄자가 내란주범이다,True,1,2025-03-06T22:42:13+0900,853177786808926296,10,1,0
kdhm****,,,False,1,2025-03-06T14:55:12+0900,853147700445577298,0,0,0
hyun****,,,False,1,2025-03-06T14:34:52+0900,853146390111453549,0,0,1
kenb****,4k1ko,난 이런 여론조사 안믿는다!,True,1,2025-03-06T14:13:06+0900,853144987905294380,9,0,0
ehs5****,1WGeQ,도대체 어떤 인간이 대통령탄핵을 이야기하나??,True,1,2025-03-06T19:49:28+0900,853166657542029485,10,2,1
ymk3****,1KwPF,개인시간 반납하고 거리로 나오는 저 수많은 탄핵반대 인파가 보이지 않는가? 그게 진짜 민심이다!,True,1,2025-03-06T15:37:47+0900,853150443386175841,10,2,0
jkyk****,14mRg,"찢재명 벌써 대통령 행세하고 다니는데
무섭다. 
그냥 탄핵 기각되고 윤통이 남은 임기 채우고 찢은 감옥으로 보내자",True,1,2025-03-06T14:37:25+0900,853146554813382850,9,1,0
beth****,dSx80,누가 예상한대로 거짓 여론조사 들이밀고 탄핵 정당화 할거라더니 진짜 그러네?? 민주당 협박에 내란으로 모는 거짓증언 했다는 군인 녹취 떳는데 어쩔껴?? 사기탄핵 내란은 민주당이 하고 있는거지,True,1,2025-03-07T00:36:07+0900,853185125028986919,11,4,0
jokk****,44WNg,기각해라. 뭐가잘못했나. 내란은 민주당이먼저다,True,1,2025-03-07T00:15:42+0900,853183809779138737,12,6,0
knox****,3HbSp,갑자기 인용이 56프로? 동아일보야~~중국 돈 먹은거 대놓고 조작하냐,True,1,2025-03-06T22:12:45+0900,853175889154801991,10,4,0
good****,2b9Tb,탄핵은 기각되어야하고 찢은 7월 구속될 것이다.,True,1,2025-03-06T14:28:34+0900,853145984354484444,10,4,0
jsa3****,2Gz3h,"내 주변도 다 탄핵반대인데...이거 이상해
대통령 지지율 60% 넘어가서 조사 안한다는 썰도 돌던데",True,1,2025-03-06T13:30:15+0900,853142226778194012,9,3,3
neve****,3AaoK,여론조작  중국인 과 개딸 정신병자 상대로 조사했네,True,1,2025-03-06T22:48:20+0900,853178180956061821,8,2,0
harr****,3exs5,웃기고 있네. 민주당의 여론조사기관 방문후 협박당해 알아서 기네 . 기각하라,True,1,2025-03-06T15:43:37+0900,853150818776383768,7,1,1
iuli****,1mPSM,왜곡 보도 그만하세요,True,1,2025-03-06T21:02:35+0900,853171368601059522,6,0,0
k-68****,8ohcg,이런기사말고. 곽종근 허위회유 기사나 써라니까,True,1,2025-03-06T16:05:15+0900,853152212593934436,6,0,0
ej53****,1M2Ma,이런 가짜선동뉴스,True,1,2025-03-06T13:30:35+0900,853142249142223097,6,0,0
craz****,3h11b,희한하게 이재명니 여론조사업체 고소고발 협박이야기한뒤부터 여론조사 결과가 뒤바뀜. ㅋ 사람들이 협박뒤에 나오는 이런 여조결과를 믿겠니?,True,1,2025-03-06T12:50:37+0900,853139673722126590,6,0,1
seon****,,,False,1,2025-03-06T18:18:25+0900,853160792244093067,0,0,1
lsb5****,2aF4k,여론조사를 더불어 도둑놈들에게 했는가?  아니면 이죄명은 법카 도둑놈이라고 여론조사 해야지~~!!!,True,1,2025-03-06T15:27:28+0900,853149779058753755,7,2,0
vict****,4w2t,여론조사를믿겠냐 선동해서 탄핵분위기몰고가는거지,True,1,2025-03-06T14:17:18+0900,853145258135912588,7,2,0
p590****,2usIX,동아 이딴 조작여론왜 보도하냐 죄다 그지역인간들로만 주구장창 돌려서하는조사,True,1,2025-03-06T15:32:42+0900,853150115861365038,6,1,0
sm78****,1ttFG,죄빨 언론사,True,1,2025-03-06T15:19:46+0900,853149282956476715,6,1,1
sinj****,hzMo,동아야 짜장면 먹었니 ?  언론들 국민저항 받을거야,True,1,2025-03-06T14:28:52+0900,853146003010748747,6,1,0
iamh****,2PDMn,똥아 일보가 완전 구제불능 좌편향 좀비 신문으로 전락했다.  정신 차리라~~,True,1,2025-03-06T14:24:03+0900,853145693504667668,6,1,0
jsa3****,2Gz3h,"탄핵 기각!

이유가 없잖아. 계엄과정은 미약하다..탄핵하기에..내란은 뺐고, 해당도 안되고...",True,1,2025-03-07T10:46:40+0900,853224460101091631,5,0,0
hwan****,,,False,1,2025-03-06T20:23:35+0900,853168856011636938,0,0,0
dmk1****,,,False,1,2025-03-06T16:05:48+0900,853152247876419974,0,0,0
mstj****,2aQxq,"숫자놀음으로 국민선동질 하려드는 언론기관들,그 속에는 분명 간첩들이 있다. 국내에 암약하는 간첩들을 색출해 내는 일이 더 시급하다.",True,1,2025-03-06T14:58:29+0900,853147911586840769,5,0,0
yj42****,5oPRg,동아일보는 이재명전과5범 대변인 인가?,True,1,2025-03-06T14:50:26+0900,853147392717881527,5,0,0
hsgu****,3Wzmw,박근혜때처럼 선동할려는데 먹히겠냐? 민주당이 저따구로 하는거 다 알아버렸는데 속겠냐고ㅋㅋㅋㅋ,True,1,2025-03-06T14:19:33+0900,853145402772291833,5,0,0
mypa****,cN8kz,조작여론조사,True,1,2025-03-06T14:15:58+0900,853145172370784638,5,0,1
sj87****,bsYZz,어쩌라고 그래서? 하고싶은말이. 머냐 기자야,True,1,2025-03-06T13:21:49+0900,853141684052033883,5,0,0
hkm1****,8xji4,내란없는 내란죄를 판단한다니 한심하기 짝이없다. 헌재는 속히 각하하라 그게 니들이 살길이다,True,1,2025-03-06T15:53:36+0900,853151462031622403,6,2,0
pooq****,3sSDO,탄핵한 후에 비리를 전방위적으로 털어보자.  공천 최상병  의대정원 대왕고래 주가조작 내란 아주 주렁주렁이다,True,1,2025-03-06T14:59:31+0900,853147977856843977,6,2,0
ksy3****,,,False,1,2025-03-06T15:59:38+0900,853151851531469049,0,0,0
