user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
xodk****,3JOZX,현 사태의 모든 출발점은 이죄명 방탄에서 출발된 것이다.!!,True,1,2025-03-21T09:18:10+0900,854517556323549233,18,0,0
jjim****,2KSVW,정치색깔을 떠나  이재명이는 않됩니다  ᆢ최상목 행정수반을  아무나 현행범 체포하라뇨?   수단과방법을  않가리고   물리적 폭력도  불사하겠다는  사람이  제1당  공당의  대표라니요 ᆢ이재명  씨는 않됩니다,True,1,2025-03-21T10:23:17+0900,854521750778544247,15,0,0
hyun****,,,False,1,2025-03-21T09:13:27+0900,854517252135846030,0,0,0
dudt****,45USw,내란선동범 이재명 구속,True,1,2025-03-21T07:16:50+0900,854509739684397189,14,0,0
ksik****,bsR8A,대선후보때부터 지금까지 수년간 잡범과 김건희 문제로 나라가 엉망이 되였다.지금이라도 정리가 안되면 자유민주주의 대한민국은 미래가 전혀없다.,True,1,2025-03-21T08:51:03+0900,854515809697923097,12,0,0
21mi****,19D29,이재명 얼굴좀 안보게 해주세요~,True,1,2025-03-21T07:46:55+0900,854511677251518661,14,3,0
bo14****,Oow,6:2이나 7:1처럼 인용였으면 벌써 나왔고 찢은 대통령 당선자처럼 인수위원회 꾸리고 관리에 들어갔을거다. 좌파들이 말하는 전원일치 뭐 이런게 가능하냐? 지금 기각 판세이니 문씨가 끝까지 게기고 마씨 임명만 고집하는거 아니냐!  결국 26일 찢 선고보고 오히려 좌파판사들은 8:0 기각으로 전향할거다. 좌파판사들이 골이 비지않은 이상 버린 패에 충성할리가 없다,True,1,2025-03-21T06:48:46+0900,854507931620606071,13,2,2
espa****,6V5if,"여우가 제 꾀에 속아 넘어 간다더니 이재명이 총선 192석 이후 탄핵, 특검, 정부예산 농단 등등 광란의 의회 폭거 끝에 결국 자기 정치생명줄을 스스로 끝는구나",True,1,2025-03-21T05:01:06+0900,854500994560557066,13,2,0
naon****,,,False,1,2025-03-21T11:06:26+0900,854524531434324134,0,0,0
sdr0****,2pb3E,일단 죄명이 법정구속시키면 나라가 조용해진다.,True,1,2025-03-21T04:37:10+0900,854499453153837071,13,3,1
rale****,33DIC,"어서 저 두명 다 깔~끔하게 완벽히 정리 되고, 대통합의 새시대가 열리길...",True,1,2025-03-21T12:39:45+0900,854530543516123433,12,2,3
23jo****,Qhg4,대한민국이 국가로서의 기능을 상실했다라는 것을 절실히 알 수 있다. 거대 야당의 벌레 한마리 방탄하느라 법을 자유롭게 어기고 짓밟는구나.,True,1,2025-03-21T05:13:46+0900,854501810470125635,12,2,2
gjwo****,1vhDP,암살에 불안해하지말고 감옥가면 잴 안전하다.그것도 독방에 ...,True,1,2025-03-21T05:11:51+0900,854501687241474120,10,0,0
mwse****,,,False,1,2025-03-21T07:35:56+0900,854510970377076936,0,0,1
namz****,1f0a8,죄멍이 똥쭐 탄다,True,1,2025-03-22T00:15:02+0900,854575336048820238,10,1,0
