user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ssat****,6B0IN,헌법제판관 못 믿겠으니 ~~~~~ 국민투표에 부쳐라 ~~~~~~~~~~~~~ ㅎㅎㅎㅎㅎㅎ 탄핵 반대 좋하요 눌러 주세요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,True,1,2025-02-01T15:35:23+0900,850088836280090719,272,39,6
haen****,9uKMr,찬성 집회 보신 분? 다 반대인데 기사 똑바로 써라,True,1,2025-02-01T15:51:41+0900,850089886097604795,196,9,5
puha****,bZgn,인구수보다 투표자수가 많은데 왜 조사를 안하는거야!!!!!이게 납득이되냐고 1찍니들 ㅋㅋㅋㅋ광우병진짜 걸린거냐...? ㅋㅋㅋㅋㅋ,True,1,2025-02-01T15:58:11+0900,850090305494450229,106,7,3
chim****,4p9Hv,지들법 재판소  문형배는 잡범 찢죄명 절친이라는것이 들통났다 이녀석도 찢친구라 뻔번하게  거짓말하네    악질 좌파문형배는 국민들을 개돼지로보고  공보관시켜  국민들 무시하다 크게후회 할일 생길수있다  당장사표내고헌재에서  나가라,True,1,2025-02-01T16:03:09+0900,850090625016528938,58,9,4
shj0****,dmw4s,"민노총 너희들은 이놈의서기들아
양심도없는 좌팔빨겅이 놈의서기들
가장 나쁜 짓을 많이 하고 가장 비리의 온상지인 놈들의 서기들이 더 달라고 더 같겠다고 가장 난리를 부리는 더러운 집단",True,1,2025-02-01T16:02:21+0900,850090573258817647,41,6,1
angk****,4Q7QH,오늘 서울 뿐만 아니라 부산 대구 등등 전국 각지에서 반대집회열림 이게 바로 민심이다 더불어 공산당 놈들아 ㅋㅋㅋ,True,1,2025-02-01T17:05:47+0900,850094659752427755,12,1,0
neuh****,4aKJl,탄핵요구는 역시 당연히 공공의적이자 사회의 암덩어리인 종북 뻘갱이 민노총이군요. 신고는 500명 수준. 탄핵반대는 신고가 10000명 수준. 탄핵 반대가 95%인데 이것이 진짜 여론입니다. 대한민국 공산화를 바라는 자들의 댓글은 중국에서 쓰는 것인가 의심되며 다음 대선과 민주당의 정권교체를 계속 내보내는 언론의 흐름도 결국 중국의 꼭둑각시가 다 된 것임을 의심이 가능하게 만듭니다. 여러분도 집회 신고 인원의 95%가 탄핵 반대임을 주목해야 합니다. 여론조사는 당연히 사기입니다. 네이버 뉴스와 현실의 괴리감이 커서 손절 고민중입니다.,True,1,2025-02-01T16:17:14+0900,850091532479365184,11,2,0
choi****,,,False,1,2025-02-01T16:00:32+0900,850090455935746172,0,0,0
sbes****,334UX,이재명 대통령만들려고맨날 탄핵으로온갖분탕질만해대니평화로웠던대한민국이갑자기아비규환의쌩~~~지옥이됬어 이번비행기사고가다이재명때문이다 한두명다섯명도아니고무려180명말아먹고도모자라또사고났어 이것은하늘도이재명을거부한거다 각종여론조사가국민은정권연장즉윤대통령연장을 말한다 여론조사는주권자이신국민의준엄한명령이자민의의대변인이다 하늘의뜻도국민의뜻도정권연장이다 이재명의대국민사기극이한달천하로끝나면서진실은백일하에드러났다당대최고젓소부인하고온갖변태의끝판왕에 집안은욕지거리집안이재명의완전범죄는실패로끝났다해외로망명하고윤대통령은즉각업무복귀하라 이게국민과하늘의뜻이다,True,1,2025-02-01T16:36:44+0900,850092788354646250,9,1,0
gaep****,,,False,1,2025-02-01T16:03:03+0900,850090618322419724,0,0,0
