user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sesi****,63cso,"헌법재판소가 당장 해야 할일은 국정마비, 국정문란을 목표로 무차별 탄핵을 시도하는 난동범, 범죄당에게 엄중한 경고를 하는것이다. 북한이 동조하는 세력이 과연 자유대한민국을 앞으로 인정하게 될까 의문이다. 헌법재판관을 법과 윈칙에 의해서 지명하는게 아니라, 당리당략으로, 범죄인당의 필요에 의해서 지명한다는게 말이 되는가? 법을 무시하고 탄핵을 일삼는 자들 스스로 망하리라.",True,1,2024-12-29T20:04:53+0900,846951974518653189,49,9,0
cdh7****,,,False,1,2024-12-29T21:53:44+0900,846958987445272796,0,0,0
hoo3****,klAv,탄핵.탄핵.. 민주당도 탄핵해라...,True,1,2024-12-29T21:54:56+0900,846959064905679140,12,2,1
eno2****,6rRyG,찢재명 일당 독재에 굴복하지말고 항거하자,True,1,2024-12-29T20:25:33+0900,846953305673302177,13,4,0
3535****,2bInyd,검찰은 내란으로 규정하고 반국가세력 체포영장 발부하라 국가가 흔들려도 가만히 있을거냐?,True,1,2024-12-30T00:17:16+0900,846968234694410311,1,0,0
kmh6****,,,False,1,2024-12-29T21:56:49+0900,846959185567416619,0,0,0
dong****,wdh2,"나라정상화줌 하자
1 탄핵 2 선임 3  힘당 해체 4 대통령 선거 합시다",True,1,2024-12-29T22:00:59+0900,846959453885432141,2,2,2
lss1****,NUZ2,윤완용은 만장일치 인용으로 마땅히 파면돼야지,True,1,2024-12-29T21:56:00+0900,846959132668854278,2,2,1
koyo****,5v4Yk,신속하게 내란수습 하고 대한민국을 정상화 합시다!!!  상식이 통하는 나라 만듭시다~,True,1,2024-12-29T20:09:37+0900,846952279880761533,2,2,2
puha****,bZgn,지금 사실상 계엄전부터 무정부상태였음 ㅋㅋㅋㅋ지금 무안사고 피해자들 행안부장관 찾던데...걔는 예전부터 탄핵되지않았나...진짜 싸패 찢이 대한민국까지 찢고있다 ....,True,1,2024-12-29T22:09:51+0900,846960025871057172,1,1,0
tlrk****,4spVy,헌재마비가 내란당의 계획이다,True,1,2024-12-31T03:11:34+0900,847072234810900532,0,0,0
2021****,,,False,1,2024-12-30T09:48:57+0900,847005064609399162,0,0,0
haiy****,aAino,"탄핵남발
국민을 탄핵하는것이다.
공산당민주당  해산하하
윤석열대통령 화이팅!!!!!!",True,1,2024-12-30T03:45:20+0900,846981639203454995,0,0,1
3535****,,,False,1,2024-12-30T00:16:07+0900,846968160639778846,0,0,0
jack****,,,False,1,2024-12-29T23:52:47+0900,846966657116012758,0,0,0
budd****,1JIta,"안경준, 이종민 기레기야 정신차려라. 내란 수괴 윤석열 구속과 탄핵만이 모든 혼란을 극복하고 우리 나라와 국민이 살 길이다. 최상묵 권한 대행은 하루 빨리 헌재가 9인 완결체가 되도록 헌재 3인의 임명을 서두르기 바란다.",True,1,2024-12-29T23:39:38+0900,846965809547837623,0,0,0
deer****,1Pb1K,"이제 이재명의 업보가 시작된다 . 무안공항  사고당일에도 윤대통령과 한덕수 대행에 대한  ""쏴라"" 저주를 퍼붓다가 제주항공 민항기를 쏴버렸다. 이제 이재명의 악행, 만행이 온천하에 드러날 것이다.",True,1,2024-12-29T22:04:32+0900,846959682961539253,0,0,0
yunc****,,,False,1,2024-12-29T21:57:51+0900,846959252105855282,0,0,0
ever****,,,False,1,2024-12-29T21:54:51+0900,846959059469861130,0,0,0
gos2****,5B3GH,헌재는 범죄덩어리 내란선동범 리죄명과 그의일당을 하루속히 체포해라 그래야 나라가산다,True,1,2024-12-29T21:54:39+0900,846959046551404748,0,0,0
oie2****,19YhY,그러니까 대통령 탄핵소추안내고 직무정지상태에서 6인으로도 헌재가능한데 헌법재판 기다리면 될껄 서울경찰총장 경찰총장 행안부장관 법무부장관 방통위원장 감사원장 서울중앙지검장 국방부장관국무총리 탄핵하고 육군참모총장 방첩사령관 수방사령관 특전사령관 정보사령관 방첩1처장 방첩사수사단장 여가부장관 직무정비 및 강제협박 사직 시켜놓으니까 무정부 상태로 만들어진 거 아니에요.,True,1,2024-12-29T21:54:33+0900,846959039840518316,0,0,2
jsb8****,,,False,1,2024-12-29T21:54:08+0900,846959012980195374,0,0,0
dyde****,3o1uX,통행 지장 및 보행자 안전사고 예방을 위해 화환 설치가 불가하다”.... 화환때문에는 이렇게까지하는데 데모질하는 사람들이 도로점령해도 가만있냐?? 통행지장및 보행자 안전사고는 데모가 더 심하겠다,True,1,2024-12-29T22:00:00+0900,846959390501109764,0,1,0
myon****,,,False,1,2024-12-29T19:10:18+0900,846948458416832607,0,0,0
