user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cadz****,2c3gJC,"진작에 햇어야했다, 선관위는 철저히 수사에 임해라,,,
  하느님이  아니다,, 너거들도,,조사받아야한다,,,너거들이 뭐라고??? -
-------------현직 대통령도,, 구속되는마당에~~",True,1,2025-01-20T20:28:14+0900,848994446887354438,18,0,1
saeb****,,,False,1,2025-01-20T19:24:38+0900,848990349371113712,0,0,0
seby****,4Kv00,진작에 조사해볼것이  늦었지만 해보자,True,1,2025-01-20T20:16:28+0900,848993688825626789,11,0,1
kkw5****,25NGj,2찍들아 조사하고 사실이 아니면 사형집행. 오케이?,True,1,2025-01-20T19:32:10+0900,848990834970853435,18,9,4
jin5****,2d2n7x,"계엄의  적법성과  필요성에  관해  먼저  들여다보고,  계엄법에  위배되는건  없었는지  계엄법으로  판단하는게  당연한건데,,,,   그걸  내란죄라고  죄명을  붙여놓고  내란죄로  수사하고  내란죄로  재판하는게  법치주의냐????   인민재판!!!!
대한민국  헌법은  사라졌다!!!!",True,1,2025-01-20T20:32:41+0900,848994734180401402,11,3,0
scha****,3cVUB,"윤통이 직뿐만 아니고 본인의
목숨을 걸고 계엄을 했으면
계엄의 이유가 된 부정선거는 민주당
원하는 대선 포함 총선 확실히 조사
수사해야 되는거 아닌가 싶다.
그리고 진짜 부정선거가 없다면
윤통은 책임져야 되고
반대로 진짜 부정이 있었다면
오히려 윤통은 애국자가 되는거니
이건 분명히 밝혀져야 한다",True,1,2025-01-21T06:47:10+0900,849034321699274776,4,0,0
xxyy****,crXIw,선관위의 감사를  거부한 의도를 밝혀야.선거부정은   4.19로도 발전한    큰 사건이지,True,1,2025-01-20T20:21:46+0900,848994031114387729,3,0,0
sols****,PmAX,사실조회로 끝날 일이 아니고 선관위 서버를 압수하여 포렌식 해봐야 한다.,True,1,2025-01-20T22:04:42+0900,849000661755363592,2,0,1
trut****,1lK2o,제대로 똑바로 해. 중국측 죄명이측에서 압박가할테니신변보호 잘 해서 자살당하지 말고,True,1,2025-01-20T19:12:41+0900,848989579565334772,6,5,0
drea****,2hUL4,이번이 마지막인듯 선관위 잘가라,True,1,2025-01-22T00:58:40+0900,849104641588199586,1,0,0
anfs****,1XGTz,의혹조사해서 부정선거 아니면 윤석열공개처형 괜찮지?,True,1,2025-01-20T23:33:08+0900,849006359750901821,2,2,0
jej6****,6Zbt,"ㅎㅎ 주위에 국힘찍은 사람 일도못봤는데. 
.지방사람들이 맹신하는거지?",True,1,2025-01-20T21:05:58+0900,848996878224720228,1,1,0
minj****,6w4pr,이번참에 정확하게 조사하자 우리나라는 대한민국이지 중국의 종속국이 아니다.,True,1,2025-01-22T00:34:47+0900,849103102144413891,0,0,0
tnse****,3fk39,모일수 있는 최대경찰 2700명이  한계 윤폭도들은 몇만 헌법재판소도 폐허 되겠네요 이미 헌법재판소 불태운다고 윤폭도들 말하는데 국민의힘 황교안 권영세 윤상현등 국민의힘이  맘대로 하라고 지원합니다 헌법재판관들 걱정된다,True,1,2025-01-21T06:09:56+0900,849031922708381778,0,0,0
dfgg****,4Y0rd,난 니가 중국인은 더럽다고 얘기해도 못믿겠다,True,1,2025-01-21T01:07:17+0900,849012425167470649,0,0,0
jung****,ukcc,형상 기억종이 개발회사 찾습니다.저의 전재산을 투자하고싶네요...!!!!!!!!!!!!!!!,True,1,2025-01-20T23:14:46+0900,849005175950541087,0,0,0
jaja****,8JUW9,이참에 확실히파헤쳐 의혹씻고갑시다 오키ㅣ이,True,1,2025-01-20T22:05:54+0900,849000738897002862,0,0,0
g412****,1LX1y,또라이 윤때문에  온나라가  심각하게 유린당하네...,True,1,2025-01-20T19:40:34+0900,848991376388391090,0,0,0
auto****,38tIM,가능하면....또 말장난,True,1,2025-01-21T00:58:27+0900,849011855698427979,0,1,0
hang****,,,False,1,2025-01-20T19:12:23+0900,848989561060065436,0,0,2
