user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
zkdh****,23xMZ,둘이 불러놓고 누가  더 입벌구인지 싸우면 재밌겠네 ㅋ,True,1,2025-01-22T20:41:01+0900,849180813135183879,3,1,1
sun2****,1QVnN,이재명은 명백한 증인과 물증이 있는데도   2년반동안 버젓이 정치활동하는 상황과 윤대동령만 바로 구속한 상황 절대 이해할 수 없는 무서운 나라가 안타깝습니다.,True,1,2025-01-22T20:07:35+0900,849178659645292740,5,4,4
lee6****,1ifPj,"국민의 대표인 대통령이 너무 거짓말을 잘 하네요. 입만열면 거짓말이고 변명인데.....온 세상이 다아는데.... 의도적으로 거짓말을 하는것은 전국민을 바보취급하는 것이고, 정말 모르고 하는 것이라면 더  큰일이다.시급하게 술끊고 치료  받아야한다.",True,1,2025-01-22T22:55:55+0900,849189504722927919,1,0,0
pylo****,VsII,고집불통 모지리 때문에 나라꼴이 말이 아니다 분명 일본 간첩일것이다 나라망칠려고 작정한거 같다,True,1,2025-01-22T19:57:15+0900,849177993673703511,1,0,0
leej****,3jDAN,저거 구라를 밥먹듯이진짜 질이 안좋은놈,True,1,2025-01-22T23:50:15+0900,849193004836061242,0,0,0
aram****,3fQm7,대질신문이 기본이긴 하지… 선배 김용현이 후배 윤석열이 무서워 반론을 못할까? 서로 반론하면 실체가 드러나지 않을까?,True,1,2025-01-22T23:27:10+0900,849191518089510969,0,0,0
cpfl****,4fghT,서로 사형피하려고 시한폭탄 돌리기 게임중,True,1,2025-01-22T23:00:59+0900,849189830536462703,0,0,0
sisg****,,,False,1,2025-01-22T20:01:36+0900,849178274541076693,0,0,4
fcma****,q2ja,"충암고 에서는 얘들한테 뭘 가르친거야 ??   🐕  찌질하네 
목숨걸고 계엄을 했으면  5 공 장셰동 처럼 당당하게 진실을
  말하던가  ㅉㅉ",True,1,2025-01-22T19:19:02+0900,849175531986354185,0,0,0
kg16****,3Ukd2,언론은 자좀들 나팔수 노릇에 놀고있네   최신순으로,True,1,2025-01-22T22:45:42+0900,849188846317863149,0,1,0
