user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
scre****,2xVQY,"대통령 보다, 민생은 안중에도 없고 오롯이 국정을 마비시켜 정권 찬탈에만 몰두하는 민주당 심판이 먼저일 듯 싶네요!",True,1,2025-02-23T16:31:00+0900,852133387664621572,12,3,1
kimg****,,,False,1,2025-02-23T16:28:06+0900,852133200867098660,0,0,0
chre****,2p8uV,대통령 탄핵기각 100%가까이 올라갑니다. 이재명 민주당 어떻게 감당하나요. 밤잠설치겠네요,True,1,2025-02-23T16:39:34+0900,852133939366592675,6,1,1
gjfa****,dzo7t,니들이 대한민국을 생각하고 지키는 국회의원이기는 하냐? 국민이 직접 뽑은 대통령을 일개 주민들이 뽑은 국회의원들이 하이에나 처럼 달려들어 뜯어 먹으려 들다나....,True,1,2025-02-23T15:44:38+0900,852130400984629402,6,2,0
yoyo****,1nxe1,재명이 구속 안될거라 믿는 민주당넘들만 하겠냐.,True,1,2025-02-23T16:29:17+0900,852133277555753014,3,0,0
josc****,3MFtV,"왕에 대항하는 태국민주화운동은 지지하면서 중공에 항거하는 홍콩민주화운동에는 180명이 집단 무시했다. 그때 유일하게 홍콩을 언급한, 당대표 출마까지 한 박용진씨는 '하위10%' 공개치욕 당하고 두번의 경선 모두 차점자임에도 친명세력에의해 축출됬다. 한국 군인초급간부 임금인상 반대. 한국남자를 모욕조롱하는 조선폐미 아젠다에는 예산책정. 한국 원자력산업지원 예산삭감. 중공이 덤핑수출하는 태양광 위한 예산책정. 중공 드론간첩 처벌못하도록 간첩법 반대. 탄핵이유로 무려 '북중러 멀리하고 일본과 친하게지낸다'. 이보다 더 반국가세력일수있나?",True,1,2025-02-23T14:24:27+0900,852125234373853295,3,0,0
kmyy****,53hV5,국민기만은 더블당만할까,True,1,2025-02-23T16:28:31+0900,852133227190550677,4,3,0
yoon****,,,False,1,2025-02-23T16:26:28+0900,852133095959167082,0,0,0
doyu****,3NEtZ,"이재명의 정체성: 갈팡지팡.우왕좌왕.오리무중.첩첩산중.지그재그.좌클릭우클릭, 속수무책.엉망진창. ...정신을 못차리겠음!",True,1,2025-02-23T16:36:32+0900,852133744012689543,1,0,0
kim1****,2bVhj8,콜,True,1,2025-02-23T21:27:39+0900,852152499413450948,0,0,0
htks****,,,False,1,2025-02-23T14:23:17+0900,852125159195148359,0,0,0
okr1****,ccivj,국민이 국힘당을 용서안합니다,True,1,2025-02-23T16:39:59+0900,852133966445019398,2,3,0
love****,5oYqf,🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷탄 핵 반 대 이것이 민심이다 국민의 목소리에 귀를 기울여라 🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷,True,1,2025-02-23T20:04:15+0900,852147126040264787,1,2,0
kkhc****,19qLj,탄핵 기각되면 더만당은 엎드려 사과하고 이재명은 역사속에서 사라질 거란 약속부터 하지,True,1,2025-02-24T05:30:27+0900,852183603835043882,0,1,0
prol****,2BdMh,탄핵되고 나면 내란관련자들. 명태균 관련자들 조사해서 죄가 밝혀지면 모조리 처벌해야 한다. 전광훈이도 죄가 밝혀지면 처벌해야 한다. 대한민국 발전을 위해서 정리해야 할 것은 정리해야 한다. 쓰레기속에서 살 수는 없다.,True,1,2025-02-23T16:47:47+0900,852134469325291719,1,3,0
kosm****,2Hy2J,윤석열은 한마디로 국민을 위한 대통령이 아니라 자기 자신과 가족을 위한 왕이다,True,1,2025-02-23T16:36:10+0900,852133720944017451,1,8,2
