user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
star****,3CZiI,쿠데타 내란죄 저지른 범죄자 윤석열 탄핵하는걸 반대한다 ? = 국힘 스스로 반 헌법단체 되겠다고 선언했다는 뜻임 ㄷ ㄷ ㄷ 국민들에게 국힘이 윤석열 공범이 되겠다고 선언한것임 ! 국민들에게 국힘 전국 사무실 점거하고 당직자들 체포해야 민주주의 지키는 길임을 스스로 인정했으니 국민들이 국힘 전원 체포 심판합시다 !!!,True,1,2024-12-05T01:28:19+0900,844653529363644468,1950,638,76
goma****,6HyDW,이거 탄핵 안되면 윤석열 전쟁 일으킬것 같아요... 나라를 위해서라도 국힘도 제발 탄핵동참해라....  전쟁나면 너희 목숨도 위태위태야... 어제 한동훈도 체포대상이었자나... 국힘의원들아 제발 정신 좀 차려라,True,1,2024-12-05T01:31:10+0900,844653713124491289,1186,403,40
sgwf****,7CSXm,탄핵에 반대하는 국민의힘도 이제는 끝이다.,True,1,2024-12-05T03:22:49+0900,844660905466658875,608,147,17
bogg****,1aChc,윤석열 탄해되는거와 별개로 이재명도 법의 심판 받아야 되는거 알제? 이거 진짜 중요하다. 윤석열이 대통령 내려온다고 해도 이재명이 대선 출마 하는 일은 없어야 한다. 위기를 기회로 만드는 이야기는 범죄자에게 적용되는 이야기가 아니다.,True,1,2024-12-05T02:15:16+0900,844656554329243672,556,295,31
asai****,7xkHl,적폐청산에는 여야가 따로 없습니다. 위헌적인 계엄령을 선포한 윤석열 대통령은 헌법재판소로! 허위사실 공표·위증 교사·'위례 신도시·대장동·백현동·성남FC' 부정부패 비리·법인카드 유용·대북 송금 수괴 이재명은 징역 40년 선고 받고 감옥으로!,True,1,2024-12-05T01:34:35+0900,844653932922798164,425,252,18
rlar****,,,False,1,2024-12-05T01:57:16+0900,844655394050539556,0,0,7
wlrn****,4sbkh,"이재명 구속 수감 완성하고 윤가 탄핵하자,, 그것이 순서다,",True,1,2024-12-05T01:39:23+0900,844654242697314359,103,61,11
maya****,cYtdC,민주당 니들이 애초에 간첩 법에 대해 옹호하기 시작했을 때부터 시작한거다. 간첩 법은 동서막론하고 통과 되야하는데 무슨 이유로 막은거냐 그리고 민주당 행패에 대해서 계엄령이 왜 시행된 건지에 대해 궁금해 하는 국민들의 알권리는? 무조건 계엄령은 위헌이다? 뒷배경 좀 보고 애기하고 기사 좀 써라,True,1,2024-12-05T04:16:35+0900,844664369861099556,81,43,7
agir****,5IUp,내란죄  더불당과이재명,True,1,2024-12-05T04:17:16+0900,844664414052286489,53,20,2
muim****,1hTuR,"이태원참사, 분노 분출시켜라"" 북한 이메일 지령…법원 중형 받음 https://m.yna.co.kr/view/AKR20241121165500004. 이번도 북괴에서 분노 표출시키라고 지령 주던? 국민들은 이미 거짓 선동질에 학습이 되서 안당함. 광우뻥, 처럼 촛불집회 100날해봐라. 빨리 찢 민주당 범죄자나 감방에 넣어라",True,1,2024-12-05T02:47:24+0900,844658624570589216,52,20,2
jinh****,6dlXr,더블범죄폭주당 입법사법장악하고 위헌하는거는 탄핵안되니?,True,1,2024-12-05T02:03:46+0900,844655813447385157,45,14,1
vinv****,,,False,1,2024-12-05T06:18:56+0900,844672252401156211,0,0,0
five****,10yE8,나라 살릴 생각은 하나도 없고 오로지 정권에만 몰두하는 작자들은 모조리 아웃이다. 탄핵 절대 반대다.,True,1,2024-12-05T02:02:35+0900,844655736792285256,180,153,13
jcy5****,81yr7,국민이 이제 안 속는다. 탄핵 남발이 내란 같다.,True,1,2024-12-05T05:28:59+0900,844669034245914706,28,5,0
hhne****,,,False,1,2024-12-05T05:50:13+0900,844670401840676885,0,0,0
wngk****,5gAzn,윤통이 잘못했다고 이재명이 잘한게 되는게 아닙니다. 제발 흑백논리에서 우리 벗어납시다. 정치가 개판이니 우리살길우리가 찾아야죠… 정말 양쪽다 꼴보기싫어 죽겠습니다. 자들 위한법은 속전속결 국민위한 법제정은 세월아네월아…. 민주당 무슨 대권 잡은것처럼 설치지 마시고 본인들 돌아보고 남도 비판하시길요.,True,1,2024-12-05T04:04:29+0900,844663590223872037,23,2,1
ryu8****,E4Id,"좌파들 지긋지긋하다. 대통령의 계엄령 선포는 정당한 일이었다. 어떻게 고위직 관료 32명을 탄핵 진행시키고 있었냐? 이것을 제대로 보도하지 않고 있던 언론도 한통속이다. 문재인한테는 특활비 90억원을 편성해서 갖다바치더니, 윤석열 대통령에게는 0원 책정ㅋㅋ 내란죄를 지은 건 민주당놈들이다!",True,1,2024-12-05T04:56:54+0900,844666967024468040,57,37,5
othe****,19Z2s,"예산 편성을 0원으로 하면, 아무것도 하지 말란건데, 너무한것 아니냐?
민주당 역겹다",True,1,2024-12-05T03:35:32+0900,844661725503422497,27,11,1
milk****,2cEyrV,"민주당은 내란세력이고 위헌정당이다! 22건의 탄핵 남발, 국익과 민생에 중요한 예산 날치기 처리(원전, 청년 관련 예산 수천억 삭감, 동해 심해 가스전 개발 수백억 삭감, 대통령실, 검찰, 감사원, 경찰 특활비 등을 0원으로. 참고로 문재인 정부 당시 청와대 특활비는 연 96억 5천만원 / 친중,전라도 카르텔 위한 신재생에너지사업, 새만금 관련 예산은 수천억 증액, 국회의원 내년 연봉 1억 6천만원으로 증액), 간첩법 반대로 나라를 심각한 위기에 빠뜨렸다. 윤대통령은 끝까지 포기하지 말고 국민을 자유대한민국을 지키십시오!",True,1,2024-12-05T06:36:26+0900,844673379695853633,25,9,2
lion****,enBm1,잡범 이죄명부터 제명시키는것이 정상적인 나라이다 잡범 때문에  나라망신이 따로없다,True,1,2024-12-05T06:42:35+0900,844673775738814538,18,2,0
cyh1****,1whoP,"박근혜는 수동태, 윤석렬은 능동태,  좌파민주당은 윤석렬이 쳐 놓은 미끼를 덥석 물었다.
계엄같지 않은 계엄을 보면서, 느낌이 없으면 바보!!",True,1,2024-12-05T01:54:42+0900,844655228442640491,20,5,1
pool****,,,False,1,2024-12-05T03:37:04+0900,844661824002457604,0,0,0
nest****,43nbA,"꿈깨라 탄핵당할일 없다. 탄핵을 해야한다면, 국가제도를 흔드는 방탄국회 입법폭주 인질예산 탄핵남발의 종합 범죄자당부터 해산하는게 순리다. 범죄당의 폭주에는 입꾹인 1찍들이 대통령의 고유권한에 대해서만 입터는거 존웃이네. 계엄때 선관위 털었다는거에서 정당성,당위성 인정해줌.",True,1,2024-12-05T01:58:49+0900,844655494395068508,45,31,0
jdhg****,dIZQs,거대야당의 폭주가 대단히 심각하다,True,1,2024-12-05T04:19:13+0900,844664539008991251,16,2,0
mehy****,,,False,1,2024-12-05T02:38:18+0900,844658038223667226,0,0,11
wpdl****,,,False,1,2024-12-05T06:47:17+0900,844674078047469615,0,0,0
2vhr****,3leoB,위헌이라는 말이 나왔으니 한마디해야겠다. 더불어 공산독재당 그 자체가 위헌이다. 남북교류의 일환으로 잠시 용인되었으나 북핵사태가 핵심이 되면서 더불어 공산독재당은 위헌 불법집단이 되고 말았다. 즉각 당을 해체하고 사죄하라. 김대중 북핵을 사죄하라는 말이다. 니들은 처지가 북에서 내려온 난민이니까 문재앙을 데리고 가라. 난민으로 해외 추방이다.,True,1,2024-12-05T04:29:26+0900,844665198101921818,38,27,2
jun2****,UfSA,2찍이 간첩들이 이 나라에는 너무 많다,True,1,2024-12-05T01:45:30+0900,844654636542459977,37,27,2
jkb3****,2i0iW,국회를 나라망치는 기관으로 전락시킨 민주당이지. 예산삭감은 개돼지 국개들 연봉줄이고 연금 없애고 특권 없애고 불체포 특권없게 만들어야지. 그러고 할말 해봐라.,True,1,2024-12-05T06:52:19+0900,844674402921480238,14,4,3
kgi8****,oy84,탄핵을 밥먹듯 하는유래가 없는 위헌정당,True,1,2024-12-05T04:22:21+0900,844664740704682014,11,1,0
lsh3****,2gTjv,국짐 알바들 총 동원령 내려졌나보네...댓글판이 알바글로 도배됬음,True,1,2024-12-05T05:37:29+0900,844669581384482855,14,5,1
wlwj****,,,False,1,2024-12-05T07:33:51+0900,844677079038427299,0,0,0
kcs0****,1XIdw,무자격자 범죄자소굴  국회를 폐쇄하라,True,1,2024-12-05T01:55:36+0900,844655286475030601,10,1,1
blue****,2kOQt,계엄이 장난인가요? 경고 하려고 계엄령 내렸다. 할말이 없네요. 근데 그런 대통령 탄핵에 반대한다. 나중에 역사가 평가할 겁니다. 명령에 따라 어쩔 수 없이 출동나온 그 어린 군인도 시민들한테 죄송하다고 합니다. 개개인이 헌법기관이니 개인의 의견 존중합니다. 다만 나중에 평가 받으시겠죠,True,1,2024-12-05T08:51:59+0900,844682111901237564,9,0,0
youj****,8ej3V,국민의힘은 국가와 국민을 정말 우습게 아는거 아닌가? 조금만 더 심각한 상황이 발생했으면 상상도 못 할 끔찍한 살육이 벌어질뻔 했으며 조금만 시간이 지체되었다면 계엄 해제를 통과시키지 못 하여 군이 대한민국을 통솔하는 상황이 발생할 수 있는 매우 충격적이고 자유민주주의에 심각한 위협을 가하였는데 대통령을 지키겠다고? 반헌법적이고 중대하고 심각한 법률위반의 친위쿠데타 사태를 국가와 국민의 편에서 해결하지 아니한다면 국민의힘 국회의원들은 역사에 기록될 것이다.,True,1,2024-12-05T07:15:28+0900,844675894415982681,12,4,0
kpjp****,,,False,1,2024-12-05T02:07:18+0900,844656041130983454,0,0,0
smy2****,4hnXM,"특검 ,탄핵 민주당의 입버릇정치다. 국정발목잡는 민주당 폭거가 화근을 만들었다. 오히려 민주당의 성찰이 요구되며 국민회의 당론으로 단합되니 탄핵은 물건너갔다.",True,1,2024-12-05T05:25:08+0900,844668786060558351,9,1,0
heju****,5xdzS,"이 땅의 보수세력을,,, 그나마 명맥이라도 유지 할려면,, ((똘))((기))충만 해, 저지러고 보는 윤석열과는 1분 1초라도, 빨리 결별해라!!! 그리고, 이 상황에서 탄핵은 막아야 한다는 홍가리... 오로지, 대통령병이 깊어, 사리분별을 못하네.. 저런 자가 한 때, 보수세력의 대표였고, 대선후보 였다는 사실이 수치스럽네... 보수에 몸담고, 보수에서 빛을 본 것 들이,, 자신의 영달을 위해, 또 다시 보수를 이용해, 보수를 와해 시키고 있다!!!",True,1,2024-12-05T02:43:54+0900,844658398346608719,11,4,0
luck****,,,False,1,2024-12-05T07:31:39+0900,844676936985739415,0,0,0
boat****,D3WS,"이것들이 간첩이다.
중국과 한몸인 민주당 은 간첩당이다.
민주당은 왜 간첩법에  중국을 포함하지 못하게 하는가
이유는  뭔가",True,1,2024-12-05T06:36:09+0900,844673361240915993,7,0,0
gyro****,,,False,1,2024-12-05T05:38:00+0900,844669614821474306,0,0,0
corn****,,,False,1,2024-12-05T06:26:15+0900,844672723639599139,0,0,0
