user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
silv****,3B1eW,쿠데타 성공했으면 다음날 전쟁났을 것임 ㄷ ㄷ ㄷ 마누라 구하기위해 전쟁 일으키려는 정신병자 윤석열 당장 끌어내지 못하면 6.25 한국전쟁 폐허로 다시 돌아간다 ! ㄷ ㄷ ㄷ,True,1,2024-12-06T17:28:16+0900,844808145317396609,396,55,26
maka****,uAzN,아니 다 제쳐놓고 이 사달을 낸 최고 원흉 윤썩열 이 싯기는 왜 일언반구 말이 없음? 대국민 사과를 하던가 아님 하다못해 대국민 연설을 해서 본인 억울함을 항변이라도 하던가. 꼴랑 계엄 해제 때려놓고 입꾹닫 버로우 시전하다가 후달리니까 지가 그렇게 물어뜯고 걷어차던 한동훈이 설설기면서 불러서는 그냥 내가 안그랬어요 거짓말이나 시전... 썩열이는 진짜 얘는 끌어내려야 됨. 하야 아니면 탄핵인데 지가 하야할 생각이 1도 없음.,True,1,2024-12-06T17:29:09+0900,844808201219080261,196,11,12
silv****,3B1eW,군사반란죄는 법조항이 사형 밖에 없습니다 ! 안타깝지만 이번에 제대로 심판하지 못한다면 대한민국은 쿠데타 매년 일어나는 아프리카 후진국 수준으로 전락하고 말 것입니다 ! 윤석열 하수인짓 쿠데타 범죄를 저지르고 후회하기전에 군인 여러분 제발 생각이란걸 좀 하세요 !,True,1,2024-12-06T17:31:27+0900,844808349496115385,106,6,2
hevi****,fN2a,"한심한인간같으니라고

정치에대해 1도 모르는
평생 검상만한사람이..머하러
정치해가지고
아슬아슬하게 당선됏으면겸손햇어야지..

2-3년 해노코
앞으로평생 감옥가서살게생겼네...

손바닥에 왕자쓰고
토론회나올때부터 알아봤으나..
아무리그래도
그냥 내려놓으면될일을
무슨계엄을선포하고 그러냐..

아무리판단력이 없어도
범죄냐아니냐를구분못해",True,1,2024-12-06T17:34:36+0900,844808553288958162,83,6,2
pump****,1GCgn,"국민에게는 평생 최악이며 최고 멍청한 대통령으로 남을거지만, 

건희 한테만은 최고의 로멘스로 남거라...깜빵에서~~둘이",True,1,2024-12-06T17:34:15+0900,844808530237063263,72,6,0
bngs****,4CLYw,"석열이가 대통령 되고 나서 하루라도 일을 올바르게 처리한 적이 있나? ㅋㅋ 외교가서 욕이나 하고 돌아온 뒤 부터 매주 하나씩 사건 터트리더니, 총선 개 작살나고 나니까, 거대 야당이 횡포니 뭐니 ㅋㅋ 석열이 압박하라고 거대 야당 만들어 줬더니 개무시한건 여당이지?? 도대체 뭐가 억울함? 예산삭감이니 탄핵이니. 폭정 저질렀다고? 근데 왜 석열이 지지율이 그대론데? 설명 가능함?",True,1,2024-12-06T19:08:11+0900,844814582080864302,13,1,0
hds0****,3OBGS,"보면 볼수록 미친 것도 레벨이 있구나 느낌. 어떻게 하면 저렇게 까지 미칠 수 있을까??? 말 한마디 한마디 거짓말이 아닌게 없고, 말 한마디 한마디 미치지 않은 발언이 없음.",True,1,2024-12-06T17:34:51+0900,844808568791105849,10,0,0
sop9****,5kbmZ,"윤석열, 이죄명 다 싫다. 건전한 가정에서 자라고 올바르게 살아온,  똑똑한 제 3자를 원한다.",True,1,2024-12-06T19:51:45+0900,844817388607111415,8,1,0
cozy****,,,False,1,2024-12-06T18:17:27+0900,844811313174544565,0,0,0
psk8****,66R80,똥고집과 건히 때문에 결국 망했다 거짓말쟁이,True,1,2024-12-06T18:08:52+0900,844810760465940786,6,1,1
hcsh****,bjdeg,"내부총질러 아부꾼 정진석 같은 넘이 비서실장이라고 앉아 있는데 ~~~
옳은 소리 한번 했을리도 없고 ~~~
그냥 벌거숭이 임금님을 만들어 ~~~
작금의 사태까지 벌어지게 만들었지여 ~~~",True,1,2024-12-06T17:47:23+0900,844809376328843423,6,1,0
saml****,,,False,1,2024-12-06T17:27:41+0900,844808107551883571,0,0,0
youn****,,,False,1,2024-12-06T22:04:53+0900,844825965354811655,0,0,0
48th****,2bQqUl,"결국, 지 마눌때문에 인생 끝났네. ㅋㅋㅋㅋㅋ",True,1,2024-12-06T18:13:18+0900,844811046584582263,5,1,0
jspa****,bXonV,명단 불러주고 싹 잡아들여? 하아 지금이 60~70년대냐  한심,True,1,2024-12-06T17:41:10+0900,844808975940583497,5,1,0
even****,,,False,1,2024-12-06T17:33:52+0900,844808505239011690,0,0,0
rams****,mdYm,이준석 내쫓을 때부터 9수의 판단력은 예고된 일,True,1,2024-12-06T18:04:11+0900,844810458257948736,4,0,0
alsr****,,,False,1,2024-12-06T17:56:16+0900,844809948247359587,0,0,0
ckpa****,2tuiy,석열이 명신이  사형이 답,True,1,2024-12-06T18:04:39+0900,844810488691818712,5,2,1
refa****,,,False,1,2024-12-06T18:57:17+0900,844813879937597520,0,0,0
