user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kimm****,6ez7l,이번엔 여야 만장일치 합의를 보여주길 기대한다,True,1,2024-12-06T11:08:44+0900,844783693414269307,2131,476,44
ilov****,etlBU,아무리 윤이 탄핵된다 하더라도 죄명이는 대통령 안된다~~~,True,1,2024-12-06T11:11:26+0900,844783867595325639,2118,923,166
nege****,2bZlyB,"이번에 탄핵 찬성한 의원들만으로 우리 정치권이 다시 짜여야 한다. 
나머지는 자기 이익을 위해 
국가의 파탄을 모른체할 놈들이다.",True,1,2024-12-06T11:11:43+0900,844783886050263417,917,247,20
gksd****,17p1J,탄핵해도 문제..찢재명이 되면 더 문제임,True,1,2024-12-06T11:11:06+0900,844783846489587760,1055,510,77
divi****,2YlF6,"미국 국무부는 공식 브리핑에서 베단트 파텔 부대변인은 ""계엄령의 발동과 그러한 조치가 개인의 권리와 자유에 미칠 수 있는 영향은 확실히 매우 심각하게 받아들여야 할 문제""라고 직격탄을 날렸다. 특히 ""우리가 한국과 맺고 있는 파트너십은 태평양 양쪽(한미) 특정 대통령이나 정부를 초월한다""고 언급한 부분에 관해  한 대학 정치외교학과 교수는 ""'윤석열 정부를 인정하지 않겠다'고 해석될 여지마저 있다""고 우려했다.",True,1,2024-12-06T11:09:40+0900,844783753929687353,396,114,17
bill****,1jrLb,"섣부른 행동하지 마라. 계엄령 내리고 선관위부터 털었다. 검찰총장까지 한 사람이 계엄령 선포하는게 무슨 의미인지를 모르지 않을텐데 했다는건 확실한 뭔가가 있다는거다. 부정선거 여부 확인하고 뭐가 없으면 그때 탄핵하고 감옥보내던가 해라. 하지만 부정선거가 확인되는 즉시 관련자들은 법정최고형, 즉 사형시켜라.",True,1,2024-12-06T11:16:39+0900,844784203944952120,169,71,15
rlaw****,40DdG,원인 제공한  이재명이도  정치판  떠나라.,True,1,2024-12-06T11:19:32+0900,844784388964090134,112,27,2
hys-****,bdtrv,선관위 터니까 이재명 한동훈 워딩이 갑자기 과격해지고 급하게 대통령 탄핵하려고 하네. 탄핵 좀 기다려 봐라. 부정선거 맞는지 아닌지 수사 결과보고 탄핵해도 늦지 않아.,True,1,2024-12-06T11:16:31+0900,844784194583265564,130,49,7
chri****,546ed,충분한 조사도 없이 바로 탄핵???? 부정선거 조사 막으러????,True,1,2024-12-06T11:12:18+0900,844783922825920639,154,74,13
hong****,4lxea,"한동훈이도 정계 은퇴 준비하나? 유승민의 꼴을 보고도 이런 발언을 하다니 놀랍다, 차악을 몰아내고 거악을 불러들이는 것이 국민을 위한 것인지 다시 한번 생각해 보기를 바랄 뿐이네,",True,1,2024-12-06T11:12:53+0900,844783960524325303,109,41,4
vkfr****,2Om56,박근혜 탄핵으로 재앙정권을 만들었다. 이후 대부분 국정농단혐의자들이 무죄판결아니었던가..  한동훈은  이제 제2의 유승민이되려는가?,True,1,2024-12-06T11:20:14+0900,844784434682003570,97,30,6
nkyk****,32ESn,"한동훈이 알아야할 것은 비상계엄으로 일시적 혼란을 준 대통령보다, 국정농단으로 국가를 마비시키고 있는 죄명이의 죄가 더 크다는 것이여~착각하지 말어!",True,1,2024-12-06T12:23:45+0900,844788526275887456,62,12,4
kimy****,4rdpJ,"예산 삭감다 하고, 청년 수당 다 삭감하고, 원전도 수출 계약 다 맺은 상태에서, 예산 안주니, 나라가 돌아가겠나? 근데 왜 지들 국회의원들 연봉은 1억6천으로 올랐나? 나도 윤편은 아니지만, 이게 탄핵사유냐? 운동권 발광 그만 휩쓸려라. 대통령 나와서 경위만 잘 말하면될것을.",True,1,2024-12-06T11:25:24+0900,844784766887657676,45,5,1
