user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
inee****,2pcPo,위헌 정도가 아니라 쿠테타 입니다. 한동훈 지가 뭔데 대한민국 대통령의 임기와 직무를 제한하는거임?? 정말 상상 이상으로 미쳤네...,True,1,2024-12-08T16:03:57+0900,844988255676924174,989,127,23
dami****,63J5Z,핵심이 이거지 의장이 잘 아시네. 대통령이 직무정지가 안된 상태라 유고상태가 아닌데 왜 총리가 대행을 한다고 저 난리냐 총리도 한동훈도 둘 다 헌법 위반인거다,True,1,2024-12-08T16:11:49+0900,844988762533396754,503,38,13
amar****,c3hG,이럴려고 탄핵 반대했냐? 정말 꼴값도 가지가지 한다 윤석열이 당장 구속해라 친위쿠데타 반란수괴다,True,1,2024-12-08T16:06:57+0900,844988448497467690,190,45,6
gold****,2v1yB,"노태우 하겠다는 거네요. 권한도, 당내 기반도 없는 정치 초보가 무슨 권한으로 권력을 위임받니?",True,1,2024-12-08T16:05:41+0900,844988367379628249,120,15,4
unan****,2VqHO,그럼 걍 윤석열이 보고 계속 하라 그래. 그럼 되겠네,True,1,2024-12-08T16:05:13+0900,844988336861872198,92,34,6
kcu2****,1jC6e,"대통령권한을 탄핵도 되지않았는데 둘이서 나눠가진다고?
 탄핵이되야 그권한이 총리에게 가고 총리다음이 기재부장관인데
  일반인 한동훈하고 탄핵도 되지않아는데 총리하고 나눠먹는다는 발상을 누가한거냐",True,1,2024-12-08T16:08:01+0900,844988516998840325,34,6,0
sret****,1mYCl,"국힘 이것들은 헌법은 쓰레기통에 버리고,  지들 맘대로 끼리끼리 정권을 나눠가지면서 그게 질서 있다고 씨브렁 거리네.... 니들 학교에서 배운 법전은 어디가 팔아먹고, 헛소리냐?  어제 헌법준수할 투표 기회를 줬는데, 박차고 나가서 개소리를 짓거리네....윤통과 한가발은 한통속임이 분명하다.  그렇지 않고서야 한놈은 야밤에 계엄령 선포하고 한놈은 대낮에 지가 정권을 이양받겠다고 옹알거리니? 이게 나라인지....내란수괴범과 그 정당은 사형과 해산이 유일한 해결책이다.",True,1,2024-12-08T16:11:45+0900,844988757751890185,28,7,0
mwdc****,,,False,1,2024-12-08T16:30:52+0900,844989989367316780,0,0,0
ankk****,1Fe18,"법적으로 대통령이 탄핵당하거나 하야한 뒤에야 권한대행인 총리가 여야와 함께 국정운영은 가능하다.
하지만 윤석열이 살아있고 대통령의자에 앉아있는데 일개의 집권여당과 총리가 국정운영을 한다.???  이걸 믿는 국민은 머리에 뇌가 없는 것이다.",True,1,2024-12-08T16:16:15+0900,844989047309860946,15,3,0
kjae****,UvHk,"웃기고 앉아 있네. 그렇게 원칙주의자가 투표 끝났는데,  종료 선언 안하고, 시간을 질질 끌고 앉아 있냐.",True,1,2024-12-08T16:23:47+0900,844989533563912435,29,19,6
