user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
h423****,PuzY,"그렇지~민노총ᆢ김정은이 지령받고 시위하는거지~
도그ㆍ피그들은 그 장단에 꽹가리치며 춤추고ᆢ잘되어가는 나라다.",True,1,2024-12-12T17:50:13+0900,845366186475520118,94,37,5
khjh****,4DtC4,노동이나해라~ 너희들은 아님 좀도둑~,True,1,2024-12-12T17:48:31+0900,845366077054517486,86,51,9
shon****,3c0YF,"민주노총 조직국장이  간첩인데  ----  말하면 뭐함   

---  시위하도록  뒤에서 조종하는놈 잡아들여야",True,1,2024-12-12T17:54:51+0900,845366485562950013,42,9,4
dbzk****,T8R3,저기 간 애들은 민노총 포함 골수좌파라고 보면 됨,True,1,2024-12-12T17:48:09+0900,845366053432197199,50,24,7
frpz****,3YE6V,개딸들이 조급해졌굼...조국에 이어 찢지지죄명 도 가게 생겼으니...마지막 발악을 하는굼!,True,1,2024-12-12T17:54:36+0900,845366468651516185,18,5,1
nunt****,2FSMh,"추운데 고생들 하십니다.^^
힘내세요",True,1,2024-12-12T18:19:24+0900,845368066446459027,5,1,2
kth1****,2Ye1Z,"왜 이렇게 민주노총이 환장할까? 간첩소굴 북한지령받았나 아마도 개딸 조종하는인간은 
북조선 간첩이 아닐까? 더불어미친당 국개들이 계엄선포가 내란이라고 그러면 더불미친당이 국개들 마구
행정부 사법부 마비시키는 탄핵놀이는 뭐냐 이게 내란죄아니냐
허구헌날 이재명이 벙탄만 주구장창하다가  더 미처돌아가고있음
대통령계엄선포를 지지하는자는 내런동조세력이라고  이게 대한민국이 아니라  북한보위부아닌가?
그러면 지들은 이재명범죄동조세력들아닌가?",True,1,2024-12-12T18:03:22+0900,845367033792037025,7,4,0
chon****,1vY6T,지 자신 범죄 방탄해겠다고 국정마비 시키고 극좌 민노총 종북세력과 손잡고 길거리에서 패악질하는 찢을 선택할래.?? 저 국가전복세력들 꼴 도저히 볼수없어 나라 구하겠다는 마음으로 계엄한 윤을 선택할래.?? 나도 전과5범 범죄자가 정권 잡는 꼴 절대 못보겠다.!!,True,1,2024-12-12T18:11:16+0900,845367543131537526,5,2,3
hina****,,,False,1,2024-12-12T17:53:47+0900,845366415987835271,0,0,0
ryom****,2VzRO,저게 과연 일반 시민에.. 일반 시민 단체일까???,True,1,2024-12-12T18:34:51+0900,845369062157451584,4,1,0
imf1****,,,False,1,2024-12-12T18:36:48+0900,845369188204675388,0,0,0
sjkb****,1KfxH,자유 민주주의가 답입니다 이제 전향 하세요 종북 좌파들의 선동에 놀아 나지 마세요 역사 공부 하시고 자유 민주주의를 위하여 함께 노력합시다,True,1,2024-12-12T17:54:48+0900,845366481536418148,6,4,0
ofdr****,1tPLy,민노총ㅋㅋㅋ 아아~ 간부가 간첩이었던 그 민노총?ㅋㅋㅋㅋㅋ,True,1,2024-12-12T18:33:38+0900,845368984210505966,3,1,0
tora****,o3wG,하는거라곤 시위 데모밖에 없는 민노총은 사회 악이다,True,1,2024-12-12T18:32:41+0900,845368922906558749,3,1,0
ihon****,a1FS,사회악... 암적인 존재.. 민 노 총!!,True,1,2024-12-12T17:53:03+0900,845366368961298457,3,1,0
mkgo****,,,False,1,2024-12-12T20:38:59+0900,845377059604660642,0,0,0
ks11****,8pOb6,국개 모두 디비잘때 계엄선포하고 범죄혐의자 50명 가택연금ㅈ하고군인들은 폭동일으키는개딸 좌파종북 인물들 모두 구금하라,True,1,2024-12-12T18:00:48+0900,845366868402241904,2,0,0
dlfo****,,,False,1,2024-12-12T17:56:41+0900,845366603456446782,0,0,2
char****,Uu26,민노총은 간첩단!!! 경찰 머하나??? 싹다 잡아넣어라!!!,True,1,2024-12-12T17:52:44+0900,845366349080297806,3,2,3
kky0****,XdtJ,"몇 명 되보이지 않네요. 보수집회가 훨씬 많이 왔는데, 기자님 그 기사도 써주세요. 대체 무슨 정신이면 전과5번 지지할수있나요? 저기 저 아줌마들, 개딸들 자식한테도 쌍욕하고, 음주운전하고, 법카 절도하고, 주변에 사람이 죽어나가도 괜찮다고 가르칠건가요?",True,1,2024-12-12T19:30:59+0900,845372679073562972,2,1,0
batc****,TpXV,"이 상늠에 잡것 때문에 온국민이 뭔 개고생 이냐,꼴통 하나 잘못 뽑아서 부모님도 서터래스 그걸바라보는 나도 서터래스..빠가사리 한마리가 온통 흙탕물튀기네",True,1,2024-12-12T19:19:06+0900,845371913277538332,2,1,1
heek****,3AEoE,민노총 간첩이다!!  북한 가라 ..,True,1,2024-12-12T18:44:29+0900,845369683317096639,2,1,0
