user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chjh****,ayIcy,"바로 인용해도 차고 넘치는 증거들...
헌재 빠른판단으로 인용하시길...",True,1,2024-12-19T09:09:05+0900,845982012492742701,44,10,2
inch****,3ZPct,"헌재건 대법이건 고등,지망법원이건 만지당 관련 사건은 4-5년 질지~일 끌며 일안하고 배짱이처럼 굴더니 대통령관련 사항은 어찌 이리도 빠르게한다냐? 사법부의 행태가 우습구나. 이따위로 하니 국민이 사법부를 존중하고 믿것냐?  죄를 지어도 사법부의 판결을 불신하고 저항할것이다!!!",True,1,2024-12-19T09:27:44+0900,845983213556859155,12,2,0
isla****,46goZ,윤석열이 탄핵된 거 모르는 것도 아니고 고의로 안받고 있는데 송달간주 해라  모를 수 있냐구 관저에 있는 거 분명하고 내용전달 구두로 했고 수령거부는 윤석열이 하는 거고 송달간주 하는 게 맞지 명백한 내란행위 앞에 시간 지연 시키지 마라  이번 사건은 박근혜 탄핵 사건과는  차원 다른 문제다  국내 소요 사태를 일으켜 한반도 전쟁을 할 생각했다 빨리 구속해야 한다  가만 있을 인물이 아니다,True,1,2024-12-19T09:17:00+0900,845982522201341957,12,5,1
ysbd****,,,False,1,2024-12-19T09:11:42+0900,845982180533338332,0,0,0
soom****,,,False,1,2024-12-19T09:05:39+0900,845981790999937220,0,0,1
md20****,475Ul,전과4범 비리백화점 이죄명 및 전과범 죄국은 자기들 수십여건의 부정비리 덮으려 온갖 재판지연짓거리했는데 사법부는 이 비리백화점의 개수작질을 목도말고 6-3-3 강행규정 필히지켜 내년 2월중순까지 판결 끝내거라. 대한민국 국민들의 엄정한 명령이다.,True,1,2024-12-19T09:24:28+0900,845983002835026095,10,7,1
qwiz****,H9Ti,윤대통령님 탄핵 결사반대합니다.,True,1,2024-12-20T15:22:26+0900,846098836660158637,4,1,0
souj****,3nAPm,"참! 왜? 조국도 5년이나 돼야 재판이 끝나서 겨우 감옥 보내고 이죄명 재판은 질질 끌고 근데 우파 재판은 후다닥
1심만 끝나도 감옥행 시키더니 대통령 헌재 판결도 후다닥? 왜? 다른 탄핵사건은 먼저 안하고 제일 나중사건인 대통령 탄핵만. 후다닥 하려고?",True,1,2024-12-20T21:26:00+0900,846122258794545157,3,0,0
lys5****,bYj0y,탄핵 반대,True,1,2024-12-20T10:29:43+0900,846079978196959532,3,0,1
newt****,3x5l9,헌재는 더불어민주당의 탄핵으로 처리하지 못한 20여건을 선입선출로 판결을 해라.  모두가 중요사안이다.,True,1,2024-12-20T07:45:26+0900,846069394055364692,3,0,0
haed****,eePfm,이재명 먼저 구속되고 그 다음 심사해도 늦지 않다!!!!,True,1,2024-12-19T09:17:45+0900,845982570200957223,7,5,1
kys8****,,,False,1,2024-12-19T23:19:36+0900,846036806024560834,0,0,0
stx6****,aJdII,"국민이 선출한 대통령 을 6인이 재판한다는 자체가 신빙성이없다.
당장 파기환송하라",True,1,2024-12-19T15:29:21+0900,846006510130561179,3,1,0
vast****,1VfVr,이죄명이나 빨리 처리해...썩은 사법부야,True,1,2024-12-19T09:29:01+0900,845983296520192014,3,1,0
lbs1****,,,False,1,2024-12-20T18:12:59+0900,846109823287165237,0,0,0
lydi****,3rouS,이번 계엄은 국회의 범죄집단에 의해 입법폭거가 자행 되면서 대한민국 정부가 마비되고 붕괴 위기에 처했다. 이번 계엄은 국민이 대상이 아니며 국회의 범죄집단에 의한 입법폭거와 국회의 부정부패를 척결하기 위한 카드였다는 인과관계를 국민이 두 눈으로 목도했다. 국민은 대한민국의 삼권분립이 제대로 작동하는지 지켜보고 있다. 국민은 도덕성이 회복되는 정치문화와 사회를 위해 필사적으로 사투할 것이다. 국민이 지켜보고 있다. 👁👁,True,1,2024-12-19T09:27:28+0900,845983196829974722,4,4,0
pkdr****,ceQdH,"석동현 변호사한테 줘라
뻔뻔하게 인터뷰 하더라
안면에 던져버려",True,1,2024-12-19T17:11:39+0900,846013101277970685,1,1,0
