user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yuch****,,,False,1,2024-12-20T14:50:44+0900,846096794386432265,0,0,32
7073****,1Srco,세계에서 제일 찌질한 대통령으로 남겠네.....염치 좀 있어라.,True,1,2024-12-20T14:52:58+0900,846096938251059562,433,48,22
educ****,ygqo,이게 당당히 맞선다는 놈의 자세인가? 역대 최악이며 잔머리만 굴리는 윤통은 그냥 자결이나 해라.,True,1,2024-12-20T14:54:53+0900,846097061597151607,253,23,9
srmd****,5yqma,"꼭..  배달을 해야 하나?  범죄도 전국뿐 아니라 전 세계에 방송이 나갔고, 배달됐다는거 윤서결 뿐 아니라, 모르는 사람이 없는데..  다들 뭐하자는 거임?   범죄도 이렇게 저지르면, 못 잡겠어요~~ 하고, 용서해주는 건가?",True,1,2024-12-20T14:53:49+0900,846096992340803907,152,17,14
par7****,3X0DU,"탄핵 가결 또는 부결의 그 날 12월 14일에 2주만 버텨달라 고 여기저기 발작하던 윤씨의 음모가 또 담겨 있어, 이런 개망나니 내란 수괴자 당장 체포, 파면의 날 당겨야 이런 준계엄 상황이 풀릴텐데",True,1,2024-12-20T14:52:47+0900,846096925752033590,124,26,10
recu****,MJBG,결국 내란으로 처벌되겠지만 그 때까지 전국민들이 받게될 엄청난 스트레스는 어쩌냐. 경제에는 치명상이 될테고 지금까지 우리나라가 이루어놓은 많은 것들이 무너지는 걸 지켜봐야 한다. 그래서 더더욱 내란수괴를 사형시켜야 한다. 지금 당장 내란 현행범 윤석열을 체포하고 이를 방해하는 경호처장도 공무집행 방해로 체포해라.,True,1,2024-12-20T14:55:25+0900,846097095638122663,26,3,0
quee****,1oryS,온갖 센 척 잘난 척 당당한 척은 다 하더니... 실체는 이토록 비겁하고 구질구질한 쫄보였으니...,True,1,2024-12-20T14:56:26+0900,846097160800829622,23,4,1
kwro****,6tQ2g,일부러 안받는거지. 전국민이 다 알고있고 뉴스에 이렇게 대대적으로 때리는데 ㅋㅋㅋㅋㅋㅋㅋ 하여간 끝까지 하는짓 더러운거 봐라... 근본 어디 안간다.,True,1,2024-12-20T15:43:33+0900,846100196923277570,16,1,1
gild****,2agOG,아니 뭐 백 발 천 발 양보해서 지 말마따나 법적으로 다툴 건 다투더라도 우선 받을 서류는 받아야 할 거 아냐;; 서류도 안 받는 놈이 어디 있냐? 일반 국민이 공권력에 대해 저렇게 뻗댈 수 있긴 한가? 저런 놈이 뭐? 법치? 공정과 상식? 와... 진짜 혀를 내두르겠다...,True,1,2024-12-20T19:56:22+0900,846116483892248692,11,0,3
jsy7****,nNsJ,도야지   새     끼 관저에서 맨날 천날 술만 ㅃ ㅏ  ㄹ 고 있겠네 ㅋㅋㅋㅋㅋㅋ,True,1,2024-12-20T14:53:16+0900,846096957242867823,15,5,0
huss****,2ZPtf,인류역사상 제일 모지리 댓통으로 남아라,True,1,2024-12-20T15:56:27+0900,846101027160588484,10,1,0
dh85****,RwP3,뻔뻔한 놈.. 그래봐야 예정대로 진행되고 파면은 못 면한다,True,1,2024-12-20T15:33:24+0900,846099542511190172,9,1,0
