user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kks0****,3nBZJ,열심히 증거인멸중,True,1,2024-12-24T11:39:34+0900,846455563624644853,354,65,23
eriz****,13DWn,탄핵 심판이라도 성실히 받으면서 그런 말을 하면 이해라도 하지. 둘다 안하고 버티면서 무슨 그런 소리를 해,True,1,2024-12-24T11:41:50+0900,846455709787750706,163,27,12
1011****,,,False,1,2024-12-24T11:39:42+0900,846455572382351651,0,0,10
lkja****,16aA7,응 체포영장 받아서 대가리 깨고 은팔찌 채우면 그만이야~,True,1,2024-12-24T11:42:50+0900,846455773876715835,76,16,9
drea****,qKXr,계엄이라는 짓거리를 해 놓고도 처리 못하고... 참... 국민들이 무슨 죄냐,True,1,2024-12-24T11:43:14+0900,846455799998840941,72,16,14
ugsh****,,,False,1,2024-12-24T11:48:47+0900,846456156967665955,0,0,0
roug****,XRfC,내란혐의로 형사소추특권이 박탈되었는데 그런 특권을 누리는 윤석열에 대해서 언론은 다른 야당인사처럼 강도높은 비판을 못하는 이유가 뭐냐?,True,1,2024-12-24T11:43:30+0900,846455816708948180,12,4,0
heib****,11yC0,언제부터 피의자한테 스케쥴 확인했지? 윤석열 대통령은 검찰시절 피의자에게 스케쥴확인하고 조사했나?????? 진짜 윤석열이나 윤석열감싸는 친윤이나 한덕수나 모두 공범임,True,1,2024-12-24T11:52:13+0900,846456377923600483,8,3,1
cell****,,,False,1,2024-12-24T11:47:51+0900,846456097425326414,0,0,0
kim9****,65Wbu,"탄핵심판은 심판이고, 수사는 수사아니냐? 주요수하들이 모두 구속되었는데, 나만 살겠다는 것은 무슨 태도냐? 패전한 장수가 자신의 목부터 내놓기보다, 부하들 목을 치라고 하는게 인간의 도리에 맞냐?",True,1,2024-12-24T11:54:54+0900,846456550930252133,6,2,0
heal****,4EEau,진짜 비굴하고 비열한 인간...,True,1,2024-12-24T11:49:23+0900,846456196192796836,5,2,1
irip****,4I6Hx,이재명과 조국 생각하면 이게 부당해 보이냐? 탄핵 진행 중이지만 어쨌든 대통령인데? 이런 걸 강력히 비난하고 싶으면 수년째 진행되다 간신히 구속된 조국과 여전히 시간 끌기 하며 당 차원에서 방탄 국회를 운영하고 있는 민주당의 이재명 재판부터 제대로 비난해라. 지금 여기서 한탄하는 좌파 너희들의 내로남불 말하는 거다. 사실 탄핵 재판을 앞두고 있는데 공수처는 왜 부르는데? 이재명은 뭔데 재판 자꾸 시간 끌기하는데? 할 말 있어? 계엄이니까 심각하다고? 그래서 계엄으로 탄핵 재판 할 거잖아? 근데 뭐?,True,1,2024-12-24T12:11:28+0900,846457618833604781,7,5,2
invu****,14Aqv,가장 역대급 최악의 대통령 윤석열 가지가지한다. 정말ㅎ 이놈 하나때문에 국가적 손실이 몇백조야 기가찬다. 대한민국 1호 영업사원 답네ㅋㅋ,True,1,2024-12-24T12:01:44+0900,846456991080513816,6,4,1
hya1****,1LnhB,윤대통령 응원합니다!! 탄핵 반대하는 국민들이 훨씬훨씬훠얼씬 더 많습니다!!! 그나저나 짱꼴라 댓글 막기 어떻게 못하나요??? 한국말하는 중국인들 너무 많아서 보기 거북합니다. 조작도 너무 심하고요. 네이버 개선 바람,True,1,2024-12-24T12:41:25+0900,846459547928232118,5,3,2
hsto****,2yNId,"애초부터 예상했던 일입니다!
평생 지 밖에 모르는 이기적이고 몰상식한놈이
남탓하고 구차한 변명으로 일관하며 산겁니다!ㅉㅉ 
그래서 꼼수와 되도 않는 핑계로,
계속해서 법을 어기고 있는겁니다!
헌재에서 강제구인하겠다고 나서면
다시 탄핵 항소하며 계속해서 시간끌며
남은 임기까지 버틸겁니다!ㅋ
평생 부정하고 옹졸하고 비굴하고 비겁하게 산 최악의 인간이니!ㅉㅉ 
역대 모든 정권을 통틀어
불법계엄 내란,국가전복 반란 수괴는
긴급체포 대상입니다!
우리나라는 법치국가입니다!
만약, 정부와 헌재에서 계속해서 강제구인하지 않는다면 국가근간이 무너짐",True,1,2024-12-24T11:58:54+0900,846456809148383559,4,2,2
pbj4****,4YbsP,"고맙다. 석렬아. 네가 이번일을 저지르지 않았으면 앞으로 2년반동안 국민들은 지옥같은 삶을 살았을거다. 
정말 고맙다. 그리고 잘가라.",True,1,2024-12-24T11:53:53+0900,846456485801099620,4,2,1
choi****,cP84g,"지금이야 증거인멸이다 어떤다 하지만 ㅋㅋㅋㅋㅋㅋㅋ
좀만 지나봐라 다들 지 살려고 윤두창한테 다 디집어 씌운다 ㅋㅋㅋㅋㅋㅋㅋ",True,1,2024-12-24T11:41:48+0900,846455707422163283,4,2,0
mire****,3EPHp,"째 하나로 국가의 경제 외교 안보 다박살이 났다
더이상 무슨말이 필요해",True,1,2024-12-24T11:52:54+0900,846456421947015502,3,1,0
lalo****,1YFbL,당장 내란수괴 윤석열 체포하라,True,1,2024-12-24T13:27:00+0900,846462484528234499,2,0,0
jlan****,2ig3s,"아니 탄핵 여부도 헌재에서 결정 안 났어
아직 대통임
대통은 수사대상이 아니구만 진짜 지들 ㅈ대로 하는 구만
고무줄이여",True,1,2024-12-24T12:44:08+0900,846459722511941689,2,0,0
kong****,,,False,1,2024-12-24T12:30:17+0900,846458830735802464,0,0,0
k681****,18lWP,살인.강도.성폭행범이...난 강도수사부터 받겠다는 쇼핑수사를 한다는거잖여..웃긴놈일께,True,1,2024-12-24T12:29:49+0900,846458800721363217,2,0,0
redc****,k2uS,이사람 월급을 국민이 왜 계속줘야함?,True,1,2024-12-24T12:22:50+0900,846458350504771890,2,0,0
gatt****,2mSu1,여리여리 공수처 접어라.,True,1,2024-12-24T12:19:02+0900,846458106010402829,2,0,0
kimc****,37mcv,"어쩌다 이런 놈을 대통령에 뽑아서 온 국민이 고통을 받아야 하는지 모르겠다. 국민을 총으로 위협하고 요인들을 체포, 구금하려 하고 국격을 나락으로 떨어트린 놈을 단 1초라도 그 자리에 있게 해서는 안된다.",True,1,2024-12-24T12:14:18+0900,846457800698626151,2,0,0
bina****,1ltiQ,도주우려가 있으니  긴급체포하세요.,True,1,2024-12-24T12:12:31+0900,846457686127018185,2,0,1
sn******,20YxL,와....내란 범죄자가 수사일정을 지휘하는구나....ㅋㅋ,True,1,2024-12-24T12:08:31+0900,846457428210876622,2,0,0
khks****,15wEd,범죄자에게 수사 받으러 올래 물어보지 마라. 그냥 수갑채워 끌고 오면 된다. 법이 언제부터 그렇게 물러졌냐?,True,1,2024-12-24T11:56:31+0900,846456654814773420,2,0,0
6sym****,5walQ,탄핵심판이 우선인데 탄핵 헌재송달을 안받으셨어요?ㅋㅋㅋㅋㅋ,True,1,2024-12-24T11:53:58+0900,846456490767155579,2,0,0
gros****,2WONU,나라를 말아먹은 내란범을 빨리 체포해라!!!,True,1,2024-12-24T11:53:56+0900,846456488938439012,2,0,0
schu****,1GFUO,근데 왜 헌재에서 보낸 우편물은 수령 거부? 입에서 나오는 건 다 거짓말이라 믿을수가 없다,True,1,2024-12-24T11:52:58+0900,846456427013734751,2,0,0
drag****,4cIdJ,국민을 위해서 너의 구속. 파면이 우선...,True,1,2024-12-24T11:52:21+0900,846456386312208546,2,0,0
sim7****,,,False,1,2024-12-24T11:51:06+0900,846456306469437474,0,0,0
dazz****,4vC85,저기요. 체포부터 하세요. 저인간도 대한민국 국민이고 법은 평등하잖아요. 일반 국민 시민들이었으면 당일날 체포 됐을건데요? 아닌가요?,True,1,2024-12-24T11:47:22+0900,846456065380843662,2,0,0
