user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
tbqk****,3cQKD,"좌파언론 연합뉴스 이재명, 민주당 도울려고 애쓰네.",True,1,2024-12-28T12:22:27+0900,846829410915975277,968,225,46
icon****,,,False,1,2024-12-28T12:23:34+0900,846829482772791439,0,0,41
asd8****,3hGXa,"이거 보니까 ㄹㅇ 언론은 좌경화 됐다 느껴지네 이번 미대선 해리스가 유리하다고 선동하고 NYT, BBC, CNN 같은 좌파 언론사 긁어온걸로 너넨 이미 신뢰도 박살났어",True,1,2024-12-28T12:24:45+0900,846829559796990117,369,43,11
007t****,2y9xZ,개딸당 정당해산 청원집회가 인원 훨씬많은데 왜 보도를 안함?,True,1,2024-12-28T12:23:15+0900,846829462522691644,342,53,15
ikko****,2v713,전국언론노조  = 민노총 산하 단체  =  반국가세력. 한국 언론 좌경화,True,1,2024-12-28T12:26:10+0900,846829650410733623,302,21,5
8607****,,,False,1,2024-12-28T12:27:22+0900,846829727434932312,0,0,3
buda****,p81b,와  언론이 이제 완전 좌파네   엇그제 목욕일 광화문에 이재명이  총집결 명령 내렸는데도 500명 정도도 안나와 저녁 9시에 집으로 돌이간게  언론에 다 나와있다  전국적으로 윤석렬 탄핵반대 집회가 인원이 3배이상 많다  왜  언론은 공평하지 않는가?  사실과 진실을 바탕으로  보도해야 하는게 언론인데  지금 ㅁㄴ주당과 함께 공작질을 하고있다  그리고  헌재에 올라갈 내란이라는  증거라고는 언론 찌라시 증거  달랑 63건뿐이다  언론의 보도는 법적으로 전문증거  (직접본게 아니라 들은내용)에 불과하다,True,1,2024-12-28T12:31:45+0900,846830010701447360,61,7,4
ploy****,48QGJ,탄핵 반대집회가 인원이 몇배는 많은데 사진이랑 기사를 쏙 빼건보니 언론에서 조작하고 있다는 확신이 100%든다,True,1,2024-12-28T12:31:19+0900,846829982549278804,52,6,4
caro****,2FdFK,언론이라면 진실되고 공정하게 보도해야지 왜 민주당 해산 탄핵 무효집회는 취재 안해주는데요? 그쪽이 사람도 훨씬 많구만,True,1,2024-12-28T12:28:26+0900,846829796489953413,37,4,2
hanz****,3lTCu,mbc jtbc 연합뉴스를 보고 정치를 판단하는 사람들 특징. 자신들이 선동 당하고 있다는 사실을 모른다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좌파 탈출은 지능순이다ㅋㅋㅋㅋㅋㅋ,True,1,2024-12-28T12:37:17+0900,846830366411980863,27,2,3
byh5****,,,False,1,2024-12-28T12:26:40+0900,846829682773983382,0,0,0
tryt****,,,False,1,2024-12-28T12:24:39+0900,846829552482123938,0,0,1
read****,z19o,언론의 자유는 개뿔. 우리는 극좌편향된 언론으로부터의 자유를 원한다.,True,1,2024-12-28T12:48:08+0900,846831065417908260,22,1,0
khj8****,J1zl,퇴진집회는 안보이고 광화문 탄핵반대 어마어마한 인파만 보인다,True,1,2024-12-28T12:36:21+0900,846830306315993169,19,1,0
romh****,1xhmx,"퇴진같은 소리하고 있네,, 당신들 먹거리나 걱정하세요, 세일즈 대통령은 다연히 복귀하고,부정선거 조사해라",True,1,2024-12-28T12:40:52+0900,846830598189220066,18,3,0
tjdn****,,,False,1,2024-12-28T12:51:08+0900,846831259563851811,0,0,0
lnkh****,PfW2,"왜 연합뉴스는  윤석열 대통령 탄핵 찬성 집회는 단독으로 보도해주는가?
왜 연합뉴스는 윤석열 대통령 탄핵 찬성 집회는 각 지역별 시위 장소까지 친절하게 설명해주는가?
윤석열 대통령 탄핵 반대 집회도 동일한 기준으로, 동일한 분량으로 보도해야 공정한 언론 아닌가?",True,1,2024-12-28T12:31:57+0900,846830023401799885,17,2,0
pakh****,2B19h,언론은 지금까지 내뱉은 거짓 선동뉴스에 책임을 져야할것입니다,True,1,2024-12-28T12:32:06+0900,846830032511827998,13,0,0
fgf1****,41S9Y,"광화문에 몇명모이는지 아니? 연합 좌파언론~!!
공정하게 기사 써라~~100년도  못살거면서~
니자식들 위해~~~",True,1,2024-12-28T12:30:46+0900,846829947451343027,13,1,0
kimh****,1aErV,"편파언론 광화문집회, 민주당 반대집회는 보도안합니까!!",True,1,2024-12-28T13:25:20+0900,846833462848520267,12,0,0
