user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ssgs****,,,False,1,2024-12-30T09:43:59+0900,847004744869216614,0,0,29
park****,,,False,1,2024-12-30T09:52:25+0900,847005288165802137,0,0,7
jing****,2IO7j,민주당아... 너네 그러다가 천벌받는다. 윤통까지는 인정하는데 총리는 아니잖아. 어지간히 해라.,True,1,2024-12-30T09:43:06+0900,847004688128671780,129,71,15
cbm8****,1R0AK,쓰레기만도 못한. 범죄자 정치꾼들에 의해. 벌어진 국정혼란상황에서. 불가피하게 내린 결단은. 결코 탄핵의 대상이 될수없으므로 헌재는 당연히. 기각ㅈ결정을 해야 합니다,True,1,2024-12-30T09:45:59+0900,847004873114255696,91,33,4
jinh****,,,False,1,2024-12-30T09:42:31+0900,847004650279272656,0,0,6
sop9****,5kbmZ,이죄명 선거법 6개월 내에 해야 하는데.. 3년이 다 되어도 아직 1심만 나왔다. 그만큼만 미루자. 아니면 이죄명부터 재판하자.,True,1,2024-12-30T10:15:39+0900,847006785112899854,9,1,0
gnad****,1VYD0,"권한대행에 대한 탄핵심판을 먼저 해야 합니다. 권한대행은 잠시라도 공백이 있어서는 아니 됩니다. 민주나찌당은 또 탄핵하고 또 탄핵하는데, 헌법재판소는 바보처럼 질질 끌려 다니는 엉터리가 되어서는 아니됩니다. 권한대행의 업무는 절대로 정지되어서는 안됩니다. 권한대행에 대한 심판부터 해서 나찌당의 악마적 행태에 경종을 울려야 합니다. 교통사고도 원인유발자에게 더 큰 책임을 묻습니다. 이재명이가 원인유발자입니다. 이재명이 과실이 99%입니다.",True,1,2024-12-30T09:54:51+0900,847005444328128807,12,5,2
bobp****,,,False,1,2024-12-30T09:57:49+0900,847005635739386166,0,0,3
iesu****,3BduD,더불어 탄핵당을 탄핵해야 한다. 나라가 더불어 공산당 사회주의자들 때문에 시끄럽고 재앙만 닥친다.,True,1,2024-12-30T10:14:38+0900,847006719497208060,6,0,1
kisi****,3Pf0p,헌재 판세들은 도대체 워하는 인간들이냐? 탄핵사건 빨리빨리 기각하지 않고! 뭐 조사할 내용도 없는데 막무가내 탄핵을 빨리빨리 결론내라!,True,1,2024-12-30T09:44:27+0900,847004774246121644,6,1,0
oki5****,2zbv1,이게 다 무차별 탄핵을 일삼아 놓고 기각결정을 미루려고 진작 헌법재판관 추천을 하지 않은 더불어터진당 국개들 탓이지요. 이제 와서 자기들 필요에 따라 빨리 임명하라고 떼를 쓰고 있습니다. 후안무치하고 국법 질서를 어지럽히는 공산당 인민정당은 자진 해산해야 합니다.,True,1,2024-12-30T11:03:10+0900,847009845998518343,5,0,0
lms7****,6uiQF,언제는 논의하지 않았나!무안 항공참사도 제대로 대응 못하도록 망가진 정부를 회생시켜야 하는 의무가 헌재인데 왜 않하는가.바른대로 말하면 저 이재명 아빠당을 탄핵시켜야지.정말 헌재는 할수 있으면서 기능을 상실한 것인가.,True,1,2024-12-30T10:51:20+0900,847009083255947412,5,0,0
simp****,1NnOB,"일단 200석인지 151석인지 먼저 결정해라. 줄탄핵 예고 하고 있으니 이게 가장 시급하다.
다음으로 윤석렬과 한총리를 병행심사해라. 탄핵 인용되면 이후 누가 선거를 관리할 건 지 그걸 정하고
윤석렬에 대한 결론은 선고하면 된다.",True,1,2024-12-30T11:47:33+0900,847012705758871800,4,0,0
sesi****,2vwmV,헌법재판소는 한대행 탄핵건부터 심리하는게 맞다. 국개에서 불법으로 탄핵진행한거 아닌가? 빨리 심판해서 국정안정부터 가능하게 하라.,True,1,2024-12-30T11:39:33+0900,847012190329241844,4,0,0
