user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
scch****,,,False,1,2025-01-05T15:39:32+0900,847584278983213206,0,0,28
lsk0****,3DR0o,윤석열을 내란수괴라 하고 권한대행을 내란에 공모했다고 탄핵시키고 심지어는 국힘의원들까지 내란공범이라고 비난하며 입만 열면 내란을 부르짖으며 온통 내란의 굴레를 씌우더니 헌재에선 내란죄를 탄핵 사유에서 빼겠다니 이걸 국민들이 공감을 하겠는가. 범죄혐의자 당대표를 대통령으로 만들려고 이래도 되는건가. 이건 정당하지않은거다.,True,1,2025-01-05T15:56:43+0900,847585386044588252,398,59,10
iron****,3ckj7,성동이냐 선동이냐. 쪽팔리지 않아? 8년전 기자회견 잘봤다. 대똥령 탄핵소추 모범답안.,True,1,2025-01-05T15:46:20+0900,847584716113576049,367,64,15
waw9****,1El9E,어라라😲? 국힘당 그러면🤭 윤 탄핵사유에💖 내란죄🤢 넣은 건❣️ 좋단 얘기네요🥰 국힘당도❤️ 바라는💙 윤석열 탄핵😁 어라라😲? 국힘당 그러면🤭 윤 탄핵사유에💖 내란죄🤢 넣은 건❣️ 좋단 얘기네요🥰 국힘당도❤️ 바라는💙 윤석열 탄핵😁 어라라😲? 국힘당 그러면🤭 윤 탄핵사유에💖 내란죄🤢 넣은 건❣️ 좋단 얘기네요🥰 국힘당도❤️ 바라는💙 윤석열 탄핵😁 어라라😲? 국힘당 그러면🤭 윤 탄핵사유에💖 내란죄🤢 넣은 건❣️ 좋단 얘기네요🥰 국힘당도❤️ 바라는💙 윤석열 탄핵😁 어라라😲? 국힘당 그,True,1,2025-01-05T15:56:08+0900,847585348312629286,237,98,34
gksk****,49OB6,헌재는 그냥 대통령의 탄핵소추된 계엄 등이 위헌적이였냐 아니였냐만 판단하면 되니까 내란죄 뺀게 더더더더 나음 그래야 탄핵인용이 개빨라져요 ㅋㅋㅋㅋ 그래서 내란당이랑 윤석열변호단이 지금 난리치는중ㅇㅇㅋㅋㅋㅋ 심지어 박근혜 탄핵때 권선동이 똑같이 했음ㅎ 내란죄는 국수본?경찰?에서 조사하고 사형집행 하면 됨,True,1,2025-01-05T15:46:45+0900,847584743829536983,273,150,23
tkdg****,17nlf,헌재재판관이 내란죄는 안된다고 빼자고 요청하여 민주당이 내란죄 탄핵사유에서 뺐다는 건 헌재와 민주당이 같은편 먹은거냐? 답정너였냐? 내란죄로 선동질하더니 이제와서 안될것 같다고 빼고 두루뭉실하게 헌법위반으로 탄핵하는건 국민들이 용서못한다,True,1,2025-01-05T15:54:29+0900,847585241995411577,51,8,2
sama****,,,False,1,2025-01-05T16:25:56+0900,847587268062347535,0,0,3
gore****,4Lois,내란 빼고 내란수괴 이렇게 말하는건 좀 아닌듯. 내란 빼지마라!!,True,1,2025-01-05T15:37:34+0900,847584152281678004,49,22,6
taxp****,cbaVK,주권자인 대통령이 5년간 권력을 위임하였는데.. 가장 큰 탄핵사유인 내란을 뺏다면 당연히  다시 의결해야 타당할것입니다. . 이제 윤통지지가 40%를 넘고 있습니다. 50%를 넘기면 더 이상 함부로 하지 못할것입니다. 대통령이 부정선거를 밝히기 위해 부득이하게 계엄을 하였다고 하였는데 지금까지도 부정선거의 문제점과 증빙을 다루는 언론은 하나도 없더군요.. 오로지 내란 내란 내란... 그러나 언론들도 슬슬 눈치를 채고.. 돌아서고 있습니다. 비상계엄이 아닌 비상계몽(인터넷 떠도는말)입니다,True,1,2025-01-05T16:28:01+0900,847587401877422090,27,2,4
whan****,bTLqx,더불어민주당이 내란세력이다!!!!!!!!!!!!!!! 찢을 감옥안보내고 대통령 만들기위해 국민들이 정당하게 뽑은 윤석렬대통령을 대통령자리에서 억지로 끌어내릴려고한다!!!!!!!!!!!! 이것이야말로 불법적인 쿠데타다!!!!!!!!!!!!!!! 이것은 우파와 좌파의 싸움이 아니다!!!!!!! 중국+북한+더불어민주당 VS 대한민국 &lt;&lt;&lt;이싸움이다!!!!!!,True,1,2025-01-05T16:31:57+0900,847587655079166246,29,5,2
kym1****,7nhMg,언론하고 좌파 선동질 1달간 마구잡이 하고. 이제 내란죄가 아니 란다.  이런 당을 아직도 지지한다는 머리 빈 양반들아!  정신 차립시다. 이게 민주주라고 외치는 수구좌파 꼴통들이 만들어갈  세상이다.,True,1,2025-01-05T16:01:32+0900,847585696255312036,20,1,2
jjch****,,,False,1,2025-01-05T15:49:17+0900,847584906954408014,0,0,0
kmo1****,,,False,1,2025-01-05T16:22:52+0900,847587069889872161,0,0,1
manh****,3goZM,탄핵에 따른 헌재 판결인데 . 사유가 제외됬으면 다시 탄핵 의결부터 해야지 .. 헌재 판사 기피 신청 하고 .. 내란 무고로 고발해야겠네 ~ .. 박통때도 졸속으로 사기탄핵 이였다는거 인정하는거지 ? .. 성동이는 지잘못 뼈져리게 느끼고 있을꺼고 .. 국민이 한번속지 두번 속냐 ?,True,1,2025-01-05T16:24:03+0900,847587146075209748,12,0,0
tedd****,,,False,1,2025-01-05T17:23:12+0900,847590956835274817,0,0,0
hche****,,,False,1,2025-01-05T16:23:20+0900,847587100139192432,0,0,0
hanb****,efnSS,헌재 가면 기각될 확률이 높다 내란으로 볼수 없으며 위법도 없고 계엄은 대통령 권한 행사고 헌법에 부여된 권리고 통치행위기 때문에 어떠한 잘못도 불법도 아니다,True,1,2025-01-05T16:37:20+0900,847588002015215734,13,4,1
from****,1lnzu,윤석열은 비상계엄아닌 비상계몽했고 내란수괴는 리죄명이네,True,1,2025-01-05T15:50:14+0900,847584967872479303,14,6,3
0180****,,,False,1,2025-01-05T16:03:58+0900,847585852115648763,0,0,0
kch2****,,,False,1,2025-01-05T17:22:25+0900,847590906755285112,0,0,0
jins****,5kt1h,내란 공조당 발악을 하네...,True,1,2025-01-05T15:44:00+0900,847584566125264899,19,13,3
hato****,16qCU,그럼우선 한덕수총리 도 탄핵사유가 없는거자나.대통령도 탄핵사유없는거자나? 어째서 민주당은 전두환이랑똑같은 행동을하는것인가?,True,1,2025-01-05T18:37:10+0900,847595722034380851,7,1,0
dl30****,3IQKu,이재명이란 전과자. 이재명당이 ..헌재에서 밑장 빼기 하다가 들켰지 .내란 죄는 무슨 내란 죄 대통령은 계엄선포권이 있어.. 민주당 이재명 사냥개 들아,True,1,2025-01-05T18:14:14+0900,847594245186388039,6,0,0
dgtw****,5tdJo,민노총한테 두드려 맞는 개경찰들은..우파집회 어르신들한테는 호랑이더라,True,1,2025-01-05T17:46:59+0900,847592489433956654,6,0,0
puls****,2bvt5Y,국민은 다 안다  .    결국 이씨와 그졸개들이  내란 선동했다는것  .  그걸로  탄핵  탄핵  해놓고  이제와서  내란죄  빼겠다고  ?  에라이  이 상것들아  .   이래서 이씨는 절대로 안 되는거다,True,1,2025-01-05T17:03:11+0900,847589668076650565,6,0,1
gyub****,3fAcd,"결국은 내란죄가 아닌데 더불어공산당이
내란죄로 윤대통령.국무총리탄핵했네
국개탄핵투표 새로해야겠네
때려잡자 이죄명 무찌르자 더불어공산당",True,1,2025-01-05T17:14:16+0900,847590381880082508,6,1,0
jisg****,4ecAX,"목적달성위해 무슨짓이든 서슴지않는 민주당의 꼼수가 하늘을 찌를 지경! '내란'이라고 선동하고 내란동조로 총리,장관탄핵까지 하면서 난리칠때가 엇그제인데, 탄핵판결 빨리받기위해(이재명 감옥가기전) 이젠 내란죄 철회? 앞뒤가 전혀맞지않는 가지가지 짓거리합니다!! 이런자들이 혹 집권하면 나라미래가 어찌될지 불보듯 뻔합니다 ㅠ",True,1,2025-01-05T16:09:33+0900,847586212859347104,6,1,0
esto****,10sM8,뱀눈알 한마리 때문에 다들 이거 뭐하는거고,True,1,2025-01-05T15:57:54+0900,847585462078931206,6,1,0
sgnj****,2jLyA,이번에  범죄당 꺽지 못하면 다음에 보수대통령 당선되어도 온갖이유를 들어 또 탄핵하기때문에 불행한 역사가 반복된다. 이번에 사회곳곳에 숨어서 정권전복을  기획하는 좌파사회주의. 반역세력들을  반드시 일소해야한다.,True,1,2025-01-05T17:57:03+0900,847593137957240849,5,0,0
pkk9****,cXCep,"탄핵이 애들 장난이냐? 인민재판 하지말고, 포퓰리즘에 휩쌍지 말고, 법과원칙에 따라 해라. 헌재도 탄핵올라온 순서대로 처리해라. 대통령 탄핵만 중요하고 총리,장관
탄핵은 안 주묘하다는거냐?  이재명 재판도 규정대로 해라. 무슨 재판을 몇년씩 끄냐?  한심한  이난들아",True,1,2025-01-05T17:04:54+0900,847589778319737114,5,0,0
yari****,1zfnv,이번에 우리사회 곳곳에 있는 친중친북좌파놈들 수면위로 다 튀어나와 알게되길,True,1,2025-01-05T16:33:26+0900,847587751128727682,5,0,0
lcy7****,WzOI,"전선이 점점 명확해짐 ㅋㅋㅋ 피아 식별 통해서 대한민국에 진짜 내란세력이 누구고 입법, 행정, 사법부 안에 침투한자들이 누구인지도 뚜렷하게 드러남 ㅋㅋ 자 이제 슬슬 정리를 진행할 시간이네 ㅋㅋ",True,1,2025-01-05T16:29:24+0900,847587491098656907,5,0,0
palm****,ZHF5,말만 하지 말고 몸을 던져 싸워라. 자유대한민국을 지키느냐 끽소리 못하는 전체주의로 가느냐 하는 기로에 섰다. 108명 모두 나서서 강렬하게 싸워라.,True,1,2025-01-05T16:18:34+0900,847586793686565051,5,0,0
mr_e****,3MZvd,사기탄핵으로 밝혀졌네 윤통은 당장 복귀하여 찢두목과 그일당들 모조리 소탕하라,True,1,2025-01-05T18:36:30+0900,847595679789351062,4,0,0
yaes****,3a54H,민주당의 개가 된 헌재,True,1,2025-01-05T20:22:11+0900,847602488554029109,4,1,0
park****,3NijU,국힘은 죽을 각오로 내란민주당으로부터 대통령과 국민을 지켜라!!,True,1,2025-01-05T18:21:14+0900,847594696376057936,4,1,1
wizm****,49OFq,내란죄빼면 무효지!! 다시 국회의결해라!!,True,1,2025-01-05T17:15:30+0900,847590461202759829,4,1,1
trop****,3isuc,"STOP THE STEAL! 부정선거 아웃~전세계 최악 상속,증여세법 개편 안 하고 재산 수탈이나 아파트 훔쳐가는 좌파 세력 아웃~",True,1,2025-01-05T16:31:19+0900,847587615099060344,4,1,0
rlxk****,1d4iM,내란 선동은 더불어당이 하고있네 자기들이 거짓선동 했다는 걸 스스로 밝히 ㅉㅉㅉ,True,1,2025-01-05T20:21:27+0900,847602440973844627,3,0,0
7744****,,,False,1,2025-01-05T20:01:21+0900,847601145957318780,0,0,0
good****,cM3H5,"내란수괴깡패당 해체하라
이재명은 구속 준비나하고
자업자득이란 소리 분명이 들을것이다",True,1,2025-01-05T19:47:26+0900,847600248862802047,3,0,0
sisu****,yTPr,진짜 거짓 선동으로 놀아친 민주당 정치의 한계가 조이기 시작하는거고.. 부정선거에 대한 수사가 불가피하게 진행 될것 같으니깐... 그쪽 애들 또 부정선거 이슈 나오기 시작하면 얼마나 많은 자들이 다살 당할지 염려스럽다,True,1,2025-01-05T19:36:16+0900,847599529992650832,3,0,0
minh****,7vAaP,탄핵 탄핵 탄핵으로 물고빨고 대단하다 더불어만진당,True,1,2025-01-05T21:36:12+0900,847607256605261908,2,0,0
onmi****,,,False,1,2025-01-05T21:00:20+0900,847604945761861723,0,0,0
