user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sinj****,,,False,1,2025-01-09T12:20:48+0900,847942560641974608,0,0,158
lhy2****,399h3,여기서 1번 조사해 보자! 다들 윤석열 탄핵 기각 원하면 공감을 누르시고! 다들 윤석열 탄핵 인용 원하면 비공감을 누르시고!,True,1,2025-01-09T12:23:09+0900,847942712324784192,1644,367,34
dltm****,257YT,선거조작도 하더니 여론조사도 조작하네~,True,1,2025-01-09T12:20:23+0900,847942533563547831,1240,144,41
free****,3gC5I,탄핵 기각 100% 찬성합니다.  헌재는 탄핵기각하고 공수처는 꼬리내리고 서부지법은 심판을 받아야한다.,True,1,2025-01-09T12:27:04+0900,847942964587003943,1491,450,37
romh****,1xhmx,"무슨 멍멍이 같은 조사?  이미 국민들이 느끼는 사법부의 정의도 퇴색되어 가고 있고, 내란 선동하는 자들을 처벌해야 된다, 대통령은 즉시 복귀해야 된다",True,1,2025-01-09T12:27:04+0900,847942964436008996,834,250,20
00kk****,6C3RP,아무리 그래도 내란죄 근본은 민주당이다,True,1,2025-01-09T12:22:59+0900,847942701419594093,136,17,1
rick****,1Sucl,나도 처음에는 계엄을 왜 했나 하는 생각도 했지만 지금 생각해보면 진짜 반국가세력이면서 내란세력은 민주당이었음. 그래서 솔직히 말하면 계엄 잘했다고 생각함. 오히려 계엄을 통해 민주당의 더러운 실체가 드러나는 계기가 되었음. 윤통은 이번 기회에 끝까지 버티고 그 동안 이재명 재판이 빨리 유죄로 판결나면 모든 것이 해결됨. 대통령도 원래 자리도 돌아오고 나라도 정상으로 돌아올 것임.,True,1,2025-01-09T12:49:56+0900,847944437022589286,127,19,3
spgi****,1wYF3,내란죄가 없는데 대통령 체포는 무슨말? 계엄령은 대통령 권한이다,True,1,2025-01-09T12:27:00+0900,847942960224927751,118,21,4
yjs5****,koAA,윤대통지지율 42%  국힘 41%   민주 38%  여론조사  오늘발표  왜  보도않는지    신,True,1,2025-01-09T12:35:38+0900,847943515869544685,100,13,6
gamb****,,,False,1,2025-01-09T12:17:18+0900,847942334602543231,0,0,13
kjy1****,3pwic,"무지한 국민들이여 제발 꺠어 나라
민주당 옹호자는 연방통일제 북한체제 중국 체제 옹호하며 살아
우리는 자유대한민국 민주주의를 원한다.",True,1,2025-01-09T12:28:02+0900,847943026713034769,74,7,2
dlrl****,,,False,1,2025-01-09T12:34:20+0900,847943432620998804,0,0,2
hgkw****,16KX7,GR을 해라. 이런 되도않는 여론 조작 고만해라. 길거리서 100명한데 물어봐라.이런 결과가 나오는지,True,1,2025-01-09T12:23:57+0900,847942763495293338,54,3,0
ycho****,9NTXz,상식적으로 윤통님 지지율이 45%가 넘는데..탄핵 인용이 62%라고?? ㅋㅋ 이거슨 문재앙 지지율이 50%가 넘었는데 국힘당으로 정권교체가 된거랑 같은..조작여론인디?? 허기사 샘플링 조사 했다고쳐도 조작냄시가~~ 홍어애탕 급이네.. 그냥 법대로 해라..법대로 하면 기각되니  똥줄타쟈??,True,1,2025-01-09T12:27:49+0900,847943012016193850,55,10,1
real****,1O30s,"무지몽매한 국민들이여, 깨어나라! 
언제까지 개돼지 취급하는 민주당 선전선동에 놀아날 것이냐ㅜㅜㅜ",True,1,2025-01-09T12:32:47+0900,847943332914004292,52,9,1
icys****,38skF,내란죄가 아니면 이미 80%는 의미없고  걍  탄핵 무효임,True,1,2025-01-09T12:26:47+0900,847942945645527351,45,4,0
hjc1****,EmmY,지금 . 쎄쎄 찢죄명 똥줄 오지게 탐.. ㅋㅋㅋ  . 짱게국에 도움 요청중.. ㅋㅋㅋ,True,1,2025-01-09T12:27:41+0900,847943003828912386,39,4,1
fly2****,,,False,1,2025-01-09T12:49:13+0900,847944391187234924,0,0,0
dksx****,awDj,내란을 뺐는데 뭔 내란타령이야 ㅋㅋㅋㅋㅋㅋㅋ 이미 정의구현이 아닌 내치는데만 혈안임 ㅋㅋ,True,1,2025-01-09T12:31:07+0900,847943224784846899,28,0,1
mypa****,cN8kz,또조작발표야. 하여튼,True,1,2025-01-09T12:28:26+0900,847943051711086789,25,0,0
htop****,,,False,1,2025-01-09T13:08:41+0900,847945644780814591,0,0,0
wain****,2bYVa9,"윤석열 대통령 지지율 42.4% .10대와 2030젊은이들의 지지율 무섭다. 이정도로 폭발하는건 예상하지 못했다. 윤석열은 이걸 예상한것일까,? 이정도면 계엄령이 아니라 국민 계몽령이라 할만하네. 😏",True,1,2025-01-09T12:46:11+0900,847944195330015312,18,3,0
hone****,,,False,1,2025-01-09T12:23:35+0900,847942739721978123,0,0,0
dmho****,2vrdE,"2030은 공산당과 민주당이 싫습니다, 특히 이런 가짜여론 조사로 국민을 개돼지 취급하는거 극혐이네요",True,1,2025-01-09T13:09:22+0900,847945689609535668,14,1,0
kims****,2BXIw,"내 주변에 지인들은 처음에 계엄 때문에 놀랐지만, 계엄을 한 이유를 더 알아보고, 뉴스 검색 해보니, 민주당의 입법독주, 예산파행, 부정선거, 탄핵남발 등. 계엄을 할수밖에 없었던 이유도 많이 공감하고 있습니다.
분명한건 계엄처음과 확연히 다른 여론이 많습니다. 국가적 안보상황이 중국,북한등과 불안한 정세를 인식하시는 분들이 윤석열대통령을 많이 지지하고 있습니다!",True,1,2025-01-09T14:31:53+0900,847951005235544468,15,3,0
ski0****,HQHa,답하라 . 이재명과더불당/ 정권을 잡은자가 내란을 벌이냐? 정권을 찬탈하려는자가 내란을 벌이냐?,True,1,2025-01-09T12:52:46+0900,847944619994906932,14,2,0
cjqs****,,,False,1,2025-01-09T13:10:44+0900,847945777069162790,0,0,0
sanu****,vVqa,잘못한게 있으면 탄핵하면 되는데 그래도 한때 국가 수반이었던 자를 경찰을 동원해서 체포한다고? 재판 지연중인 이재명이도 곧 체포 되겠다? ㅋㅋ,True,1,2025-01-09T13:04:00+0900,847945343411683330,11,0,0
hylj****,,,False,1,2025-01-09T12:19:41+0900,847942488281841978,0,0,2
lshu****,2ttFM,"저  30프로는 갱상도, 노인들, 일베",True,1,2025-01-09T12:33:33+0900,847943381651816669,11,2,0
guri****,2cdieG,여론 몰이 조작입니다.,True,1,2025-01-09T12:28:09+0900,847943034011123774,10,1,0
ssya****,,,False,1,2025-01-09T12:46:24+0900,847944210194628766,0,0,0
wons****,4B6BC,이재명부터 체포해라,True,1,2025-01-09T12:48:00+0900,847944312770527239,12,4,2
jwil****,,,False,1,2025-01-09T13:49:49+0900,847948295782269236,0,0,0
zotg****,Biy5,그딴조사안믿는다. 지지율봐라 죄명이보다더높다,True,1,2025-01-09T13:28:08+0900,847946897954963528,10,2,0
