user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
art0****,4jnkj,"대놓고 편향된 헌재 재판관 상대로 기피 신청 하는 건 헌재법에 근거한 정당한 처사임. 헌법재판소법 제24조 제3항 ""재판관에게 공정한 심판을 기대하기 어려운 사정이 있는 경우 당사자는 기피신청을 할 수 있다"".",True,1,2025-01-13T19:42:56+0900,848342129485807918,86,19,4
qhdw****,r74h,당연히 한덕수 총리 건 부터 빨리 진행해서 권한대행 복귀 시켜라..  헌재는 더이상 본색을 드러내지 말라..  민주당의 꼭두각시 노릇을 언제까지 할거냐??  국민들이 당신들을 심판할것이다..,True,1,2025-01-13T19:41:11+0900,848342017548222543,113,49,4
vzxc****,,,False,1,2025-01-13T19:51:14+0900,848342664964210771,0,0,8
park****,,,False,1,2025-01-13T19:31:39+0900,848341403015577832,0,0,38
rain****,,,False,1,2025-01-13T19:52:47+0900,848342763966562588,0,0,2
3774****,2QSwC,한덕수대행 탄핵의 정당성이 확보되지 않는다면 현재의 헌재는 존재하지도 않는다. 그러므로 최상목이 임명된 2인을 제외한 6인으로 한덕수탄핵이 인용되어야만  8인헌재가 다른 사건을 심판할 자격이 생기는 것이다. 그래서 한덕수 심판을 우선적으로 처리하는 것은 누가 요청하지 않아도  당연히 할 일이다. 헌재가 이 요청을 거부한다면 현재의 내란이다.,True,1,2025-01-14T00:21:06+0900,848360051075710994,7,2,0
jomi****,135bA,한총리 권한대행이 먼저지..그전에 우원식 국회법 위반조사도 같이 실시하고..이부분은 빨리 결정내줘야 된다..정족수가 200명인지 151명인지...서로 의견이 다른 상태에서 우원식이는 개인 판단으로 진행시켜 탄핵 가결되었으니....이부분이 잘못이라면 한총리는 탄핵제외되고...최대대행이 해왔던 모든 일들.헌재판관 임명 포함 다시 원복으로 돌아가니.차근차근 법대로...,True,1,2025-01-13T23:58:56+0900,848358622546100454,6,1,2
yhl0****,1pOjJ,"이제는 국민이 나설때~ 
선거때면 국민을 위하겠다던 정치인들 이젠 감언이설에 속지말고 사랑에 회초리를 쳐야될 때인것 같습니다.  언론도 방송도 정신차려 국민이 외면하기 전에 정확한 보도로 눈과 귀가 되어 줄것을 바랍니다.  ""국민이 분노하기 전에~""",True,1,2025-01-13T20:55:18+0900,848346792411005031,5,0,0
hyun****,1sDeT,민주당+경찰+공수처+법원+검찰+헌법재판소+선거관리위원회+방송+신문+민주노총+전라도+전국에서 여론조작과 반국가 선동을 일삼는 전라도 후손+종북주사파간첩 = 쿠데타 = 사형,True,1,2025-01-13T20:00:35+0900,848343266444181714,5,0,0
ahij****,zgsU,"나라를 생각하면 당연히 한덕수가 우선이지.. 
헌재는 나라 생각이 아니고 이죄명을 먼저 생각하니 이런 식이지..",True,1,2025-01-13T19:47:38+0900,848342432650100944,7,3,0
pjy7****,1J6DE,헌법수호의 책임이 있는 헌재가 가장 불공정하다. 국민에게도 공감받지 못하는 편향된 판단으로 무슨 탄핵심리를 할 수가 있단 말이냐. 적어도 재판관과 무리들이 공정함을 잃지 않아야 한는데 지금의 행태는 용납할수가 없다. 한덕수 대행 먼저 심리하는 것이 옳다. 헌재는 이를 바로잡아라!!!!!,True,1,2025-01-14T03:14:15+0900,848371205458100242,5,1,0
appr****,1WOk3,다음 번 변론 준비 기일이 2월 5일이라고? 뭐 하자는 건가?  정족수 판단하는 데 왜 쓸데 없이 시간을 끄는 건가?,True,1,2025-01-13T22:04:23+0900,848351242198450316,5,1,0
lave****,4wAVK,나라 반쪽 내는 좌파것들 진짜 역겹네 한덕수는 이 정권 저 정권에서 두루 우리나라를 위해서 일했던 사람인데 지금 윤석열 정부쪽에서 일했다고 부역자 취급을 하네 쓰레기들이네 진짜,True,1,2025-01-13T21:43:46+0900,848349913996591368,5,1,0
un20****,7PY6E,한덕수 총리님 응원합니다!!! 힘내세요!!,True,1,2025-01-13T19:48:23+0900,848342480901374087,5,1,0
hyun****,1sDeT,간첩민주당의 쿠데타!! 전라도는 역적!! 종북주사파들의 내전!! 모조리 사형시킨다,True,1,2025-01-13T20:03:07+0900,848343429669716019,4,0,1
myna****,,,False,1,2025-01-13T19:34:33+0900,848341589209120950,0,0,3
wonb****,,,False,1,2025-01-13T21:41:32+0900,848349770819829950,0,0,1
seo5****,1FT1h,더덤어 범죄족은 전과5범 범죄자 교도소가고   남은  잔당공범은  총선에서  전원티출   라도당을  삼십육게  역사적인  스레기집단기록,True,1,2025-01-13T19:52:22+0900,848342737559224445,4,1,2
jaeh****,2WyAP,"헌법재판소 재판관들 일처리가 왜 저렇게 느린거여.. 윤석열 대통령 심판은 대통령 신변보호의 계획도 없이 주2회씩 따박따박 예약까지 해놓고, 한덕수 권한대행 건은 다음달 4일? 장난하나?",True,1,2025-01-14T00:11:36+0900,848359438371782799,3,1,0
tado****,1yhWY,지금 구조에서는 bottom-up이 맞지. 한덕수가 먼저지 어떻게 윤통이 먼저냐? 헌재야 잘해라. 너희도 공범 안될려면. 지금 나라가 좌파 범죄자 한명 지킬려고 언론이든 사법부든 다 한편 같다.,True,1,2025-01-14T00:38:33+0900,848361174427762802,4,3,1
pbo0****,3fZyj,한덕수 총리의 요구하는 총리부터 결정해달라는 주장은 지극히 타당하다 .  한총리같은 인재를 구하기도 쉽지않다. 찌째명  100명보다  국민에게  위안을 주는 큰 인물이다,True,1,2025-01-13T22:06:07+0900,848351354555465786,4,3,0
aky0****,vCD7,야 헌재 니들 큰일난거야 이제,True,1,2025-01-14T01:05:58+0900,848362940917612713,3,2,0
ksk6****,25fuI,당연히 한덕수총리건 부터 신속히 처리하라.,True,1,2025-01-13T19:52:17+0900,848342732173738081,3,2,0
inmi****,8RqU6,대통령이 먼저냐 국무총리가 먼저냐..상식으로 처리하야지,True,1,2025-01-13T23:11:00+0900,848355534347173890,2,1,0
lave****,4wAVK,한총리부터 결과가 나와야 하는 게 정상이지,True,1,2025-01-13T21:31:08+0900,848349100251283505,2,1,0
nkyk****,32ESn,"한총리 탄핵을 먼저처리해야, 복귀하면 국정안정이 되지. 그걸 반대하면 헌재가 특정정당을 위해 국가혼란을 부추긴다는 비판은 당연한 것임.",True,1,2025-01-13T23:50:50+0900,848358100657242363,1,0,0
dr50****,2VdwE,"윤석열 심판보다 한 총리에 대한 &lt; ""의결정족수 갖추지 못해 각하"" vs ""일반정족수로 탄핵소추 가능""&gt; 이 부분부터 정리해야 합니다. 이후엔 윤 대통령 탄핵 소추 후에 해도 되지만 각하 거리라면 지금 쳐 내야 하는 것도 맞습니다. 원례 수능 문제를 풀 때도 쉬운 문제부터 푸는 게 요령이듯이 쉬운 것 부터 해야 합니다. 그리고 선택지에 오답과 정답이 섞여 있으면 오답이기 때문에 각하사유가 끼어 있으면 각하를 해야 합니다.",True,1,2025-01-13T22:29:44+0900,848352876299288816,1,0,1
ylan****,,,False,1,2025-01-13T19:50:05+0900,848342590087495714,0,0,2
ppqk****,7RTI5,내란의 주범 은 대한민국 헌법 제46조 제2항 위반하고  국가 이익 해치는 비양심들이 정부 기능 마비 시켜 가면서 정권 빼았으려고 한 자들이 내란의 주범 ! 국민이 뽑은 윤 대통령은 정권 뺐았으려고 한 사실이 없다.,True,1,2025-01-13T20:36:41+0900,848345592638734588,3,3,0
cshn****,1mY6y,간신배 무죄 혹은 탄핵무효 받을려고 애쓰네 내란수괴먼저 탄핵받으면 넌 자동 탄핵이다 그래서 그러지? 대한민국에 저런 간신배 기회주의자는 절대 나오면 안된다,True,1,2025-01-13T21:35:58+0900,848349411602858319,2,2,0
lj60****,N0Av,내란 수괴의 오른팔....,True,1,2025-01-13T23:43:30+0900,848357628210839685,1,1,0
nipp****,2BdQB,이것들은 진짜 무슨 법원 그리고 판사를 존중하는거냐? 야 일반 국민들이 법원에 재판 순서를 앞당겨달라 뒤로 밀려달라를 너희들마냥 쉽게 할수있는줄 아냐? 아니~ 알지 알면서 지들이 무슨 잘난줄알고 참~~ 기도 안찬다,True,1,2025-01-13T23:15:41+0900,848355835816968398,1,1,1
cmh0****,5iT9Z,"개콘보다 더 웃기다! 민주당 애들이 워낙 무더기로 탄핵을 해 놓으니, 사건이 헌재에 폭주해서 헌재 재판관들이 과로사할 지경이 됐다! 민주당 것들은 대통령 탄핵 빨리 해야겠는데 뜻대로 안 되니 발광을 하고!",True,1,2025-01-13T23:13:05+0900,848355668934000665,1,1,0
youn****,,,False,1,2025-01-13T19:50:50+0900,848342639144075587,0,0,1
basi****,23Eyl,"결국 개미 지옥에서 빠져 나오지 못하고 계속 들어가는 구나... 
무섭겠지...차가운 작은방에서 조그만 창으로 하늘을 처디보며... 남은 생을 보내야 할테니...",True,1,2025-01-13T19:50:17+0900,848342603039506542,1,1,0
game****,,,False,1,2025-01-14T14:36:56+0900,848415187600933310,0,0,0
airb****,NxxI,"이 넘 보소 주인이 먼저지 어차피 윤석열이 탄핵안당하면 너 있으나 마나여 어디 주인보다 먼저 앉을려고
너 뒤로 짜져서 거수기나 해",True,1,2025-01-14T07:04:06+0900,848386013196714006,0,0,0
luck****,,,False,1,2025-01-14T06:41:34+0900,848384561497768014,0,0,0
koga****,,,False,1,2025-01-14T04:44:41+0900,848377031866449959,0,0,0
jdin****,21sTv,한덕수 총리님 빨리 복직시켜라 일단 윤대통령 보다 먼저 선행되야 국정이 안정을 찾지 돌대가리들아 어휴,True,1,2025-01-14T00:05:50+0900,848359067393982674,0,0,0
stre****,3incy,국힘은 그냥 전라도와 민주당에게  다 넘겨 줍시더   국힘은  다  전원 사직하고   전라도와 민주당만 정치하게 놔 둡시더   이제  그만 하입시더   그냥  다  넘겨 줍시더,True,1,2025-01-13T23:37:40+0900,848357252367646904,0,0,0
osh1****,1nWVu,"신남성연대, 극우유튜브 등에서 라이브방송과 텔레그램 이용해서 네이버, 다음 기사 좌표찍고 실시간으로 댓글여론조작중ㅋㅋㅋㅋㅋ 다 들통남ㅋㅋ '제 2의 명태균 여론조작' 내란의힘과 극우찌끄레기들 마지막 발악이라고 보면됨",True,1,2025-01-13T23:31:17+0900,848356841426518087,0,0,1
sret****,1mYCl,덕수 이놈도 잔머리 굴리네.... 윤내란 주군은 살아돌아오지 못한다. 희망을 버리고 잔머리 그만 굴려라 머리털도 없는 늠이,True,1,2025-01-13T23:27:29+0900,848356595959070897,0,0,0
