user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mind****,3XvU9,뱐드시 부정선거 밝히자 민주당이 2020년부터 시도해온 부정선거,True,1,2025-01-14T16:37:25+0900,848422949059821729,232,71,27
berr****,503cx,민주당과 법원은 윤통의 선관위 부정선거 압색을 위한 과정을 왜 저렇게 내란이라고 몰아세우지? 솔까말 뭔가 대단한 비밀이 숨어있는 것 아닌가 의심스럽다.,True,1,2025-01-14T16:42:02+0900,848423246620524571,90,15,4
zzer****,2dbHg,민주당과 반국가 세력이 어떻게 척결될지 너무 기대가 크다.,True,1,2025-01-14T16:36:24+0900,848422883679010985,72,21,5
shin****,1eREQ,"헌재가 이죄명 보다 더 나빠,,, 본인들이 결정을 못하니 민주당과 협의나 하고 있으니 이들이 무슨 결정을 하겠나 이거지 결정도 이죄명이 결정해 주겠지 그럼 국민들은 들고 일어나겠지 그럼 민주당에서 짖밟아 버리겠지,,, 그럼 헌재는 웃고 있겠지,,,,아이고,,,",True,1,2025-01-14T16:42:47+0900,848423294603362630,52,13,0
asl5****,7iBbW,"우리법 연국회의 조직원들은 발본색원하여 법복을 벗기고 
 김제동의 말마따나 같은 가치를 가지는 목수로 재교육 시켜라",True,1,2025-01-14T16:40:18+0900,848423134750048379,37,5,0
dwdm****,1QrPX,근데 진찌 선관위에서 투표 봉인지 찢는거는 수사해야하지 않냐??,True,1,2025-01-14T16:47:40+0900,848423609176162602,6,0,1
yora****,9w9nx,트럼프 였음 민주당놈들 다 쏴죽였다 대통령이 일을 못하게 탄핵 30번 일삼는 놈들을 살려두면 뭐하냐,True,1,2025-01-14T16:42:37+0900,848423284033716474,6,0,0
sssh****,6BoOJ,선관위 부정선거 관련 재조사가 이루어져야한다 그래야 자식불법 채용으로 실추된 신뢰를 조그이나마 회복할수 있다  왜 이런것을 안할려고하는지 납득이 안되다,True,1,2025-01-14T16:55:42+0900,848424127525028121,5,0,0
j12w****,2x3eV,국회측 대리인단 놈들 하나같이 문제 인물들이네,True,1,2025-01-14T16:48:35+0900,848423669121155331,5,0,1
sswr****,2HJDd,부정선거다!!!  민주당 몰아내자!! 올때까지 왔다 !!! 온나라가 간첩투성이다!!!  개돼지들은 자각해라!!!,True,1,2025-01-14T16:47:22+0900,848423590687670436,7,3,0
