user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
xowl****,1bQ2I,"저딴 바보를 대통령자리에 앉혀놓은 지난 대선의 48%국민들, 어떤 생각이 드십니까??? 국민을 개돼지 호구로 보고있는것 같습니다만",True,1,2025-01-15T15:12:31+0900,848510250947445002,524,252,39
kyes****,188nk,와... 이렇게 말해도 지지자가 있으니 저렇게 입으로 배설하는 거 아니겠냐고.. 수준 진짜 충격적이다. 뭐 저런 말종이 다 있지?,True,1,2025-01-15T15:15:47+0900,848510461283402098,198,84,7
1998****,2hwSC,계엄은 인정하네.. 전시 기준 헌법에 맞지 않게 계엄하고 윤석열 처벌 받지 않는다면 다른 대통령들도 언제든 계엄할거고 계엄하고 필요하다면서 민주던 국민이던 해당 지지세력의 대통령이 독재할 수 있는 길을 열어주는거다.,True,1,2025-01-15T15:22:13+0900,848510875781300342,79,31,8
torn****,1Xh1S,"정당한 사유가 있다면....범죄가 아니지...자기 하고싶어서 했으니 문제지......제가 내말 안들어 ,,,,제가 내 와이프 머라고해,,,,제가 내가 하고싶은거 못하게해.....이게 계엄사유????리더라함은...이런놈 저런놈 이상한놈 타이르고 어르고 화이팅해서 최선의 결과를 이루어내는것이다...",True,1,2025-01-15T15:49:07+0900,848512609270366272,46,8,0
eism****,uJUd,"그려. 계엄 자체는 범죄가 아니지.
근데 절차를 어기고, 헌법과 법률에 위해된 방식의 포고문과 집행은 범죄다.",True,1,2025-01-15T15:26:11+0900,848511131935834207,36,16,1
tyte****,1ZTma,어찌됫든 오늘 아주 시원한 하루네요~ 극우 치매보수들 ㅂㄷㅂㄷ하는거보니 더더욱 좋은하루입니다~ 극우분들도 오늘 존하루 보내시고 잔치국수드세요~~ㅋ,True,1,2025-01-15T15:14:27+0900,848510375686045933,48,42,4
hosu****,3lFe2,"개딸~딸들아~내란 이라면 통수권자가 아닌,그밑에있는 자가 정권을 잡기위해 일으킨것이 내란아닌가?",True,1,2025-01-15T15:36:45+0900,848511811731849559,6,0,0
geun****,,,False,1,2025-01-15T15:59:50+0900,848513299602473367,0,0,0
y641****,,,False,1,2025-01-15T17:03:07+0900,848517376398852147,0,0,0
cch8****,3btt4,역대 최고의 추잡스럽고 표리부동한 지도자!  본인이 초래한 분란으로 인하여  10여명이 구속기소된 상태임에도 책임의식과  반성조차 없이 생떼와 자기변명으로 일관한  소인배!,True,1,2025-01-15T16:11:20+0900,848514040484331699,4,1,1
cyws****,1Npw9,계엄법에 비상계엄은 대통령이 전시ㆍ사변 또는 이에 준하는 국가비상사태 시 적과 교전(交戰) 상태에 있거나 사회질서가 극도로 교란(攪亂)되어 행정 및 사법(司法) 기능의 수행이 현저히 곤란한 경우에 군사상 필요에 따르거나 공공의 안녕질서를 유지하기 위하여 선포한다....사회 질서가 극도로 교란되어 행정 기능이 현저히 곤란한 경우에라고 적혀 있자나.. 민주당의 말같지도 않은 29번의 탄핵과 예산삭감으로 인해 행정기능이 마비되서 계엄 했는데 전시사변무새들은 전시사변 얘기만 하고 자빠졌네,True,1,2025-01-15T15:59:54+0900,848513303494787507,4,1,4
aval****,10Fvp,"아니 계엄이 선포절차부터 국회봉쇄, 선관위 습격, 포고령까지 뭐하나 합법인게 없는데 뭘 자꾸 정당한 절차래는거냐 진짜 어이없네.

애초 계엄 선포 사유에도 해당 되지 않는 것부터 위헌인데 뭘 자꾸 떠드는거야 진짜 짜증나네",True,1,2025-01-15T16:57:46+0900,848517031828390218,3,0,0
bohy****,qLa1,"윤대통령님~ 쓰신 글은 어차피 좌파들은 못 읽습니다. 너무 길고 긴 진실이거든요.  진실도 싫지만, 문해력 독해력이 박살난 그들이 감당하기엔 최소 1년은 주셔야해요. 그냥 내버려두시고, 본인이 뜻하시는 바를 이뤄가십시오. 어차피 국민의 반은 대통령님을 지지합니다. 전부를 아우를 수 없을 것 같습니다. 포기할 능지들은 포기하고 나라를 꾸려갑시다. 자유 대한민국 화이팅!",True,1,2025-01-15T15:29:03+0900,848511316350992417,6,4,1
happ****,XxNy,"한가지 분명한건 대통령이 미친자가 된게 맞는거 같고, 그걸 좋다고 지지하는 놈들도 제대로 미친거 같다. 
이 나라는 지금 미치광이가 최소 35%가 있는나라다;;;",True,1,2025-01-15T16:11:16+0900,848514035501498493,3,1,0
lbh0****,YBda,신의 한수 신혜식 ㅈㄴ 웃긴게....1000만원치 고지서 받고 본인이 다 감당하니 어쩌니 하면서 ㅈㄴ 멋있는척 하고...댓글로는 개돼지들이 영웅이니 어쩌니 징징거리는데.....지난달 유투브 수익3억 받았다고 떳네..ㅋㅋㅋㅋㅋㅋ,True,1,2025-01-15T17:00:19+0900,848517196278661256,2,0,0
ddol****,1viNM,"문제는 보수 진보를 떠나 국민 통합을 해야하는 대통령 자리에 
내편 니편 좌파 우파 보수 진보 나는 선 너는 악 등 
생각이 다르다고 국민을 갈라치기 한다는 거지
나라가 이 모양인데 이젠 술 자리에서도 상대방이 누구 지지하는지 신경써서 얘기해야해
내 평생 이런 대통령은 첨 봤어",True,1,2025-01-15T16:35:50+0900,848515618700263791,2,0,0
lyc8****,,,False,1,2025-01-15T16:11:10+0900,848514029260374096,0,0,0
m_tu****,5n211,니가 한 모든짓이 내란이다. 이 악마야,True,1,2025-01-15T15:16:14+0900,848510490240876651,33,32,2
ichw****,4TSjE,욕도 아깝다,True,1,2025-01-15T15:16:27+0900,848510504618950878,20,19,0
paeh****,WJYn,尹 ‘공수처 체포’에도 지지율 46% 취임 후 역대 최고치 갱신 | - http://www.seoulilbo.com/news/articleView.html?idxno=721627,True,1,2025-01-15T15:30:25+0900,848511403626070212,11,10,5
bhan****,3xf6i,계엄 자체는 범죄가 아니지만 헌법과 법률을 따르지 않는 계엄은 범죄란다. 대통령이 이미 무지해서야.,True,1,2025-01-15T15:24:08+0900,848510999697817674,6,5,2
lsk1****,2niPW,너무 흥분하지 말고 기다려라. 대한민국 헌법이 살아있는지 확인해볼 좋은 기회다. 혹 윤석열이 죽는다 해도 이재명은 아니다.,True,1,2025-01-15T15:17:01+0900,848510540874514447,6,5,4
yuli****,6XSQ2,● 계엄이 적법 어쩌구하는 윤썩렬부터 '공개사형' 시켜야 권력만 잡으면 '계엄' 일으켜 자국민을 3000명이나 죽이는 인간들 싹을 자른다 ! . . . . ● 윤썩렬이 검사때부터 저지른 엄청난 범죄들을 언론들 지금까지 10년이상 덮은거 전국민이 알아야한다 ! . . . . ● 윤썩렬이 숨기고 떠난 6000쪽 ! 11:35 16:45 29:30 ● 유튭 - 엄희준 저격수 ● 전국민이 겨울혹한에 길바닥으로 나온지가 40개월째 ! ● 두번다시 국민들이 겨울혹한에 길바닥에서 '밤샘집회' 따윈 할일이 없게 '계엄 DNA 싹'을 뽑아야한다 !,True,1,2025-01-15T15:16:49+0900,848510527771509131,5,4,1
tkdg****,17nlf,중국과 외로이 힘든 싸움하는 구국의영웅 윤석열을 지지합니다,True,1,2025-01-15T15:42:12+0900,848512163667509318,4,3,0
suno****,4g4Wx,이재명은 중공과 결탁해서 김정은에게 700만불 송금한 반민족행위를 한 혐의로 현재 재판중입니다.,True,1,2025-01-15T15:24:14+0900,848511006006050936,4,3,1
jinh****,45Xpz,ㅋㅋㅋㅋ 범죄가 아니야??? 이거 사람죽이고도 난 죄가 없다고 할 놈이네,True,1,2025-01-15T15:17:30+0900,848510571677483249,4,3,0
khjn****,cTv0L,누가 계엄이 범죄래? ... 계엄령을 내릴 때 상황과 절차라는게 있는데 싹다 무시한거잖아;;,True,1,2025-01-15T16:41:02+0900,848515953925816343,2,1,0
youu****,8qvo1,"90년대생인 나는 중도였다. 문재인 강점기를 겪고나니 나라가 심각하게 좌경화되었다. 그렇게 나는 나라에 의해서 극우가 되었다. 김대중을 시작으로 좌파 카르텔이 힘을 얻더니, 문재인때 극심하게 힘을 받았다. 나는 홍준표를 지지했지만 어쩔 수 없이 윤석열을 찍었다. 윤석열이 대통령 직무상 잘한게 있냐고 물으면, 솔직히 잘 모르겠다. 그러나 계엄이라는 행위로 목숨을 걸고 결단을 내리고 썩어빠진 국민의 힘과 부패한 더불어 공산당과 모두 싸워서 국민들의 지지를 얻었다. 나는 자유 민주주의 수호라는 이념을 공유하여 윤카를 지지한다.",True,1,2025-01-15T16:18:02+0900,848514471440678931,2,1,0
emob****,EScP,계엄이 아니라 니가 한짓거리가 법죄야.. 멍충아 어휴  ㅠㅠ  어디서 말장난하려고하냐,True,1,2025-01-15T16:13:21+0900,848514170356760706,2,1,0
cshg****,3UOkY,"참 어처구니 없는 변명 너무 충격적!!  대국민 호소할 것이 있으면 담화로 대국민 호소하면 될 것이지, 역사상 '계엄의 형식을 빌린 대국민 호소'가 도대체 있었나요?  비상계엄의 선포 조건이 어떠한지 그곳에 들어가 법전 보면서 다시 법 공부나 제대로 하신다면 불법, 내란수괴죄에 해당된다는 사실을 깨달을 겁니다. 한편 이미 잘 알고 있으면서도 실패하니 무조건 모르는 척 떼쓰는 것으로 보이기도 합니다....속지 맙시다!!",True,1,2025-01-15T16:11:28+0900,848514049107820759,2,1,1
love****,VvVz,왜 좌파는 문해능력이 딸리는건가,True,1,2025-01-15T16:09:57+0900,848513950558454201,2,1,0
adpo****,2KASD,맞는말이지 대국민 호소였다 탄핵탄핵 국정 운영은 안하고 반대반대만 하고 이재명 방탄만 고집한 민주당이다 나라꼴이 이꼴난게 민주당 탓이지 그게 펙트다,True,1,2025-01-15T16:05:50+0900,848513685511995757,2,1,0
kunw****,mgd7,저런 모지리를 아직도 옹호하는 사람들은 대체 뭘까.... 이재명이 싫으면 더더욱이 윤석열을 법대로 감방 보내야 된다. 그래야 다음 순서로 이재명도 감방 보내고 정권을 다시 보수가 가져올 기회를 갖을 수 있다. 윤을 옹호하는 순간 정권은 무조건 교체되고 누가 되던 보수는 괴멸이다.... 제발 정신차려라... 자기 정치하는 국힘의원들이나 자기 돈벌이하는 극우 유튜버들한테 이용당하지 말고....,True,1,2025-01-15T16:02:14+0900,848513454003191914,2,1,0
coco****,BIWr,헌법을 수호해야 할 인간이 헌법 하나도 안 지키고 무슨 계엄이고 ~ 그러니깐 넌 주거쓰,True,1,2025-01-15T16:01:50+0900,848513428451492196,2,1,1
sust****,97Ty4,"정신 없이 지내다 보니, 제가 대통령이란 사실을 인식하지 못하였다.  압권이네,,,,,,,,,내란당 애들 수준보다 더 심각...ㅋ",True,1,2025-01-15T15:59:25+0900,848513272859590881,2,1,0
isam****,1ZJyF,저 말로 탄핵이 기각되면 앞으론 모든 살인자들은 '부조리한 사회에 대한 호소였다'라고 하면 다 무죄로 풀려날 듯.,True,1,2025-01-15T15:59:19+0900,848513265930600624,2,1,0
cosm****,240nj,응 넌 사형,True,1,2025-01-15T15:48:57+0900,848512598432285101,2,1,0
make****,1ox92,엇 여기도 중국인들이다..,True,1,2025-01-15T15:45:00+0900,848512343301160966,2,1,0
seou****,4qFIT,이제 포획했으니 얼른 우리에 가두고 꼴 좀 안보이게 해주시오...,True,1,2025-01-15T15:38:09+0900,848511902446256210,2,1,0
faca****,1dwn2,석열아..포고령1호부터 불법이야,True,1,2025-01-15T15:37:56+0900,848511888873488786,2,1,0
magi****,3MhL,거짓말을 정성스럽게 손글씨로썼네,True,1,2025-01-15T15:35:27+0900,848511728349085936,2,1,0
junn****,Ga42,하늘이여 대한민국의 저주를 더불어공산당과 국힘일부와 그리고 더불어공산당을 지지하는자들에게 전가하여 주시옵소서,True,1,2025-01-15T15:32:09+0900,848511515446214733,2,1,3
