user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kalp****,1INuP,"민노총, 전농은 무차별 폭력써도 되고... 우파는 월담 정도한것 가지고.. 거의 폭도로 매도하네.",True,1,2025-01-18T18:50:55+0900,848802635443077367,1287,520,74
zmal****,,,False,1,2025-01-18T18:49:46+0900,848802561220673752,0,0,21
jaej****,55Zgx,이 정도면 사이비 종교가 맞음,True,1,2025-01-18T18:36:27+0900,848801703250624640,1382,1096,75
atom****,18ccu,"예상한대로 극우 폭도로 몰고 있군. 경찰이 여성분 내던진것과 어르신 패대기친것, 유튜버 삼각대 벌로 찬거, 버스로 후진해서 시민들 밀어버린거는 알면서도 모른척하는거지?",True,1,2025-01-18T19:00:35+0900,848803258012008609,230,36,18
lsg5****,11sZX,"중국 공안들이 경찰복입고 스카프로 얼굴 다가리고

시민들 무차별 적으로 개패고 있는데 기사 똑바로 안쓸래?
연합 최윤선 기자 너도 간첩이구나?ㅋ",True,1,2025-01-18T18:43:19+0900,848802145934245983,126,53,10
sc70****,2c3O6B,그당에 그지지자들답네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-18T18:38:22+0900,848801826865152097,610,544,34
dlsh****,2Kx7Q,민노총은 그때 왜 체포안했어?,True,1,2025-01-18T19:29:37+0900,848805128084390079,65,8,2
mari****,IrLE,특정 미션을 하면 추가 수당이 나와요? 일반 참여하면 일당 5만원인데... 특정 미션하면 더 주나? 전목사님이 이야기 하더만 일당 줄테니 사람 데리고 오라고... 일당 알바들...,True,1,2025-01-18T18:44:18+0900,848802209184350300,362,307,28
smil****,58wFN,트랙터 몰고 도심으로 온 것은 합벅적인 것 마냥 떠들더니 여기는 인민 공화국인가요??,True,1,2025-01-18T21:23:25+0900,848812459929108607,24,2,2
hbss****,bzXWg,불법 영장에  관저 문부수고 처들어간 공수처가 폭도 내란이다. 민주당 탄핵 남발 입법 폭거가 내란이다. 국민저항권이 발동될걸 몰랐냐. 국민을 우습게 본 당연한 결과. 누구는 죽창에 화염병에 사재폭탄 으로 유공자도 되고 국회의원도 되는데 뭐가 옳은 건지. 공정한 보도를 해라! 탄핵 원천 무효! 부정선거 수사! 천안문 사라진ㅈ목소리 당신도 그 일부가 될 수 있습니다.,True,1,2025-01-18T21:23:58+0900,848812495077376322,31,10,0
