user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rlag****,7Izbb,"진짜 미친사람들이 많구나
특히 네이버에 다 몰려있네
계엄의 무게를 모르고 충동적으로 저지른 인간에게",True,1,2025-01-21T13:25:21+0900,849059975052394633,193,165,41
sks5****,1ImRu,"[긴급속보] 대한민국 지금 엄청난 위기 상황이다. 민주국가 기본원칙이 3권 분립인데 지금 현재 입법은 민주당 독재, 행정은 완전 마비, 사법은 민주당 꼬봉으로 전락했다. 국민들이 민주당 폭주(독재)에 맞서서  분연히 들고 일어나야 한다",True,1,2025-01-21T13:32:25+0900,849060429966606530,114,89,14
hanm****,,,False,1,2025-01-21T13:24:13+0900,849059901484302429,0,0,13
rlgy****,3U1kM,모든거짓 언론의 핍박에도 유투브로 깨어나 트럼프를 선택한 미국인들에게 깊은 경의를 보냅니다!!! 트럼프의 길을 자유민주주의자 윤통이 걸어가고 있습니다 !!! 한국을 다시 위대하게 ~~~,True,1,2025-01-21T13:22:42+0900,849059803857682722,81,60,5
ssh7****,2cZOb,"지겹다 끝내자 그만, 안주 꺼리도 안된다. 조용히 사라져라.",True,1,2025-01-21T13:25:49+0900,849060004613849418,41,27,2
cus7****,4t3OL,"공수처 포토라인도 헌재 포토라인도 무시하고 지하주차장으로 숨어들어가는 비겁한 내란 우두머리, 부끄러운 줄 알면서 만고의 역적질은 왜 했느냐?",True,1,2025-01-21T13:44:18+0900,849061195141873797,10,1,0
sung****,2aq1e,"잘못한거 없다면서 왜 당당히 모습을 드러내지 못하고, 맨날 개구멍으로 들락거리는 것인가?",True,1,2025-01-21T13:52:16+0900,849061708776341611,9,2,1
rd20****,A9Ym,정말 짜증이 납니다! 한 사람때문에 온 국민이 피곤하네요! 빨리 결론을 내려주세요!,True,1,2025-01-21T13:30:31+0900,849060307627147475,12,6,2
leni****,,,False,1,2025-01-21T13:44:47+0900,849061226783703409,0,0,0
crel****,20mkc,윤두창 수의 입고 포승줄로 묶인 모습 좀 보자~,True,1,2025-01-21T13:33:06+0900,849060473671254071,8,3,2
ak42****,,,False,1,2025-01-21T13:44:53+0900,849061232454402438,0,0,0
kere****,6eSnh,"이 댓글 달고 850원 받으면 행복하시죠? 
이성이 없으니 850원씩 100개 열심히 달연 85000 원 × 30일 
월급 잘 받을수 있겠니? 정신이상자들",True,1,2025-01-21T13:56:25+0900,849061975466967229,5,0,0
oh95****,,,False,1,2025-01-21T13:29:07+0900,849060217214730296,0,0,0
pjm1****,1Vn2C,그토록 국민 국민하면서 국민을 찾던 사람이 어찌 쪽팔린 모습은 보여주지 않을까???  참 이상한 사고방식을 가진 사람이네.  완전히 한 편으로 치유친 극우가 아니라면...정신이상자!!!,True,1,2025-01-21T13:47:20+0900,849061390512554146,5,1,0
aira****,,,False,1,2025-01-21T13:43:23+0900,849061135800860843,0,0,0
v_v_****,,,False,1,2025-01-21T13:50:38+0900,849061603801301278,0,0,0
oake****,,,False,1,2025-01-21T13:49:13+0900,849061511862157404,0,0,0
mdgo****,,,False,1,2025-01-21T13:27:50+0900,849060134419169653,0,0,2
led8****,cigvl,윤통 계엄이 잘못됐다 치자..니들이 숭배하는 교주 이재명이 정상이냐? 술김에 계엄했다고? 이득될께 하나 없이 이렇게 나라 뒤집어질꺼 몰랐을까? 그만큼 나라가 위태했던거다.. 적어도 윤토미 니들보다 똑똑하니까 아닥해라,True,1,2025-01-21T13:29:48+0900,849060261288477033,2,0,0
cchy****,,,False,1,2025-01-21T13:24:02+0900,849059889723473941,0,0,0
zzer****,2dbHg,설 연휴 전에 재명이 빵에 보내는 방법이 없을까.,True,1,2025-01-21T13:34:56+0900,849060591497642367,6,5,0
