user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kshj****,23FA0,국회마비 의도가 아닌데 비상입법기구가 왜 필요해 정신병 걸린것들이 믿어주니까 개소리를 아주 당연한듯 하는구만,True,1,2025-01-23T23:02:47+0900,849282718096163099,800,251,26
gall****,1WZ65,국회 말고 입법 기구를 만들려고 했다는 발상 자체가 위헌이다.. 기재부에서 법을 만들어?? 뭐가 되었던 내란이고 위헌이다.,True,1,2025-01-23T22:28:21+0900,849280499829440629,282,103,27
ssir****,2tFqR,"윤석열 ""군인들 부당한 지시 안 따를 것이란 전제 하 계엄"" 
스스로 자기 지시가 '부당'한 거라고 자백 ㅋ",True,1,2025-01-23T23:33:18+0900,849284683781898336,176,36,3
jhok****,,,False,1,2025-01-23T22:57:22+0900,849282368945520768,0,0,9
sam9****,dEnPn,헌재에서 해명하는거 보니까 횡설수설 앞뒤도 맞지 않는 개소리를 길게 하더만 석열이도 그렇고,True,1,2025-01-23T23:12:37+0900,849283351100522723,170,68,11
rusu****,8YQOO,의원이 아니라 요원..요원을 왜 끌어내남 복귀 이야기만 하면 되지. 완전 칠푼이 둘이서 개그 만담하는 거 같았어요. 헌재가 개그 장소가 될 줄은 몰랐네요.ㅋ,True,1,2025-01-23T23:27:06+0900,849284284786147351,45,6,0
drol****,1u0aI,덤 앤 더머 ㅋㅋ,True,1,2025-01-23T22:59:27+0900,849282503599456419,41,15,4
ttl2****,,,False,1,2025-01-23T23:32:20+0900,849284621941080183,0,0,0
bust****,,,False,1,2025-01-23T23:25:05+0900,849284154645282841,0,0,0
trad****,Wtl8,"정치에 관심 없는데 저런 논리라면 야당이 정권 잡을때 피토하는 심정으로 계엄 선포하고 잡아가면 조용히 잡혀가겠다는건가? 
좌우 떠나서 정신좀 차립시다.",True,1,2025-01-23T23:16:31+0900,849283602507104406,25,6,0
bkh2****,1EKxZ,정말 구차한 인간들이네.. 모든 국민들이 총든 군인들이 국회 유리창 깨고 가는 모습을 생중계로 봤는데 하지도 않은 지시를 따른 군인들 탓할 기세구나! 비겁한 인간들!!!! 반드시 사형으로 죗값을 받아라!!,True,1,2025-01-24T01:23:51+0900,849291805642981528,17,2,0
npsy****,1TKSJ,오늘 김용현이 큰 실수 했더만 포고령 시행 안될거 알아서 두창이랑 웃으면서 그냥 뒀는대 정작 여인형에게 그 포고령 어기는거 감시 시켰다고 함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시행 안될건대 왜 어길까봐 감시를 함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-23T23:20:55+0900,849283886511817016,18,4,0
kims****,1nid3,놀구들 있네요 정신이상자들 제발 빨리 둘다 무기징역 해주세요,True,1,2025-01-24T00:08:21+0900,849286941860954222,14,3,0
tara****,10bJf,최상목이한테는 비상입법기구를 위한 자금을 만들라했지. 너무나 의심스럽지. 국회 자금을 모두 끊으라고 한건 국회해산 목적이겠지. 논리적으로 그렇잖아. 국회가 입법기구인데 국회자금을 끊고 비상입법기구 자금을 마련하라면 그건 국보위  만들겠다는 의도가 분명한거지. 말장난 백날해봐라. 판사를 우습게 아는거지. 오늘 나와서 한 얘기는 지들 지지자들 먹잇감일뿐,True,1,2025-01-23T23:43:10+0900,849285319353172028,13,2,0
xkrd****,7JJ8A,윤석열 김용현 뻔뻔한 인간들 짜집기 도박하냐,True,1,2025-01-24T00:15:08+0900,849287379075203104,11,1,0
kool****,CiW7,"국회는 막고 본인이 입법도 하겠다는거 아니야??1960년대 유신헌법으로 행정,입법,사법 다 하겠다는거 아니야??",True,1,2025-01-23T23:15:35+0900,849283542964764848,13,4,0
tmda****,waq0,그러니까 국회를 군인을 이용해 틀어막으려 했지만 국회를 무력화하고자 한게 아니고 비상 입법기구를 만들 계획이니 기재부에게 자금 마련하라고 했지만 만들 생각은 없었다?  이게 뭔소리야?,True,1,2025-01-23T23:11:57+0900,849283308184404297,13,4,0
cw20****,UNZG,"아니라고 말하면 아닌게 되는거냐?
사기쳐놓고 사기치려는 의도 아니였다 하면 무죄인거?
그럴 의도가 아니였다고 하더라도 물의가 생겼고 불법적인 방식을 동원해서 탈취시도와 국가전복, 외환을  시도했으면 죗값을 받아야하는거 아닌가?",True,1,2025-01-23T22:58:52+0900,849282465867497814,12,3,2
cjw2****,6aOYI,살다 살다 70평생에 별 괴랄한 놈들을 다 겪어 보고 산다~  / 저들 깐에는 아주 티키타가 봉숭아 학당을 연출하는 꼴이란!!~~ / 차라리 박정희 전두환 패거리는 아예 까놓고 라도 해 먹었지```!   /   방울 달린 놈들이 정말 비루하고 짜증나는 인간들 아닌가?!~  마!~  그럼 니들하고 같이 공모한 놈들은 인생 ㅈ되고 바보가  되라는  겨?!~ / 행여나 길거리에서 라도 너희들 같은 놈들과 엮일까 겁난다~~,True,1,2025-01-24T00:09:51+0900,849287038732599530,11,3,0
3251****,1W2B2,아휴!! 생각만 해도 아찔하다.이런것들이 대한민국의 대통령이었고 국방장관이었다니!!,True,1,2025-01-24T00:39:45+0900,849288965260312728,10,3,0
