user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jayc****,8AYwk,"상목아, 대통령 놀이 그만 해라. 너 임명 자체가 무효잖아. 한덕수 대행이 탄핵정족수사 2/3인데 1/2로 탄핵시킨 위법이 있다.  현재도 대통령 대행은 한덕수다. 이런 개판인 나라가 어디 있냐? 한덕수 탄핵소추 무효 가처분 신청 및 권한쟁의 심판 냈더니 헌법재판소 좌파 재판관 문형배가 깔아뭉개고 있음...ㄷㄷ",True,1,2025-01-31T15:09:51+0900,849994419695255850,42,22,2
drks****,3drAK,지가 권한있어? 니 대행이야 대사 뭘 임명? ㅋㅋ,True,1,2025-01-31T15:12:42+0900,849994603036672274,19,4,0
jerb****,pmUv,아니 정권은 법적 절차적 논란있든 없든 자기들 맘대로 하면서.. 정작 법대로 절차대로 하는 윤석열 탄핵과 수사에 대해서는  사사건건 트집잡고 난리 부루스 추는거 보면...참 재미있는 집단 같다는...자기들 편한대로 법해석하고 절차 적용하는 꼴이라니...,True,1,2025-01-31T15:19:00+0900,849995009313734662,12,4,0
asht****,1NLDQ,"윤성열이하고 같은 과네... 지 가하고 싶은 것만 하는 놈.... 최 대행노 ㅁ,,,꼭 처단해야 한다",True,1,2025-01-31T15:15:07+0900,849994758662127665,13,6,0
lwb9****,,,False,1,2025-01-31T15:10:12+0900,849994442428383313,0,0,0
anal****,,,False,1,2025-01-31T16:31:56+0900,849999708326723902,0,0,0
ofco****,18Swc,여야 합의 필요 없나?,True,1,2025-01-31T15:18:09+0900,849994954519347274,3,0,0
min9****,10Owk,웃긴분이네 본인이 대통령인듯. 착각속에서 윤돼지 따라가네,True,1,2025-01-31T15:45:55+0900,849996743775879495,2,0,0
cto2****,1MImz,여야가 합의했니? 여야가 합의 안하면 암것도 안하는 줄 알았는데 맘대로 잘하네?,True,1,2025-01-31T17:33:07+0900,850003649747746848,1,0,0
ksic****,,,False,1,2025-01-31T16:21:02+0900,849999005847912470,0,0,0
yj50****,fnGx,뒤에서 조정하는 사람들 따고 있고. 이거 줄 달린 인형 아니야?,True,1,2025-01-31T15:50:53+0900,849997063834829129,1,0,0
hh12****,,,False,1,2025-01-31T15:47:13+0900,849996826789544028,0,0,0
nada****,4asKy,이 사람... 진짜.. 대통령 놀이하고 있으시네요~~ㅋㅋㅋ,True,1,2025-01-31T15:39:05+0900,849996303038414891,1,0,0
qufn****,3AsA3,대통령 짓 걸이  하고 있구만  .. .,True,1,2025-01-31T15:23:27+0900,849995296338346161,1,0,0
kyun****,4JXMM,"상목아
 니가 뭐 안다고 대통령 놀이 하고 있느냐.
콧웃음이 나온다
정신 차려라",True,1,2025-01-31T15:22:00+0900,849995203057025025,1,0,0
koin****,,,False,1,2025-01-31T18:02:14+0900,850005525054619732,0,0,0
jch8****,2revl,미친놈인가???,True,1,2025-01-31T17:37:52+0900,850003955579617588,0,0,0
ajdq****,1TFfz,ㅋㅋ쿠바에 뭐있는지 알제?,True,1,2025-01-31T17:16:16+0900,850002563792109659,0,0,0
9959****,9cxx,아니...니가 먼데..맘대로 임명하냐...!!난 너에게 권한준적없어!!!,True,1,2025-01-31T16:59:27+0900,850001480537604241,0,0,0
myma****,,,False,1,2025-01-31T16:18:54+0900,849998868174078299,0,0,0
sesi****,2vwmV,"국방장관, 행안장관도 임명하고, 검찰, 경찰등 인사이동도 너무 지연되면 공직사회가 무너진다. 단시일내에 실행하여, 공직자들이 안정적으로 공직수행이 가능하게 하라. 국민만 복 진행하면된다. 피페한 국개는 멀리하면 나라가 산다.",True,1,2025-01-31T15:50:55+0900,849997065848095059,0,0,0
kps3****,,,False,1,2025-01-31T15:21:38+0900,849995179183046896,0,0,0
jhjj****,2P686,민주당에서 내란특검인지 뭔특검인지 안받아주면 또 탄핵할거같은데 이렇게 대행체제로 가다가는 잘하면 나까지 올수도 있다는 생각에 나는지금 숨죽이고 있는중ㅋㅋㅋ,True,1,2025-01-31T15:21:23+0900,849995162422608021,0,0,2
luxu****,JqNs,"대통령짓하고 있네. 한국에 이런 조선인(최상목)들이 있으니, 5천년역사동안 계속 나라 빼앗겼지",True,1,2025-01-31T15:19:59+0900,849995072211517792,0,0,0
sam9****,,,False,1,2025-01-31T15:16:13+0900,849994829545865298,0,0,0
pjs6****,,,False,1,2025-01-31T15:13:43+0900,849994668887245037,0,0,1
merc****,2qYtC,썅목아 특거미나 받어,True,1,2025-01-31T15:12:54+0900,849994615971905855,0,0,0
blue****,,,False,1,2025-01-31T15:42:58+0900,849996553622913426,0,0,0
myma****,,,False,1,2025-01-31T16:19:55+0900,849998933353562443,0,0,0
push****,31cFH,파리보다 못한 목숨. 그냥 사퇴해라. 민주당놈들 앞잡이가 되어서 뭘하겠냐.,True,1,2025-01-31T15:27:26+0900,849995552929087677,0,1,0
qhdw****,r74h,대통령은 자유민주주의를 무너트릴려는 친중종북세력들과 홀로 싸워왔다.. 그걸 알리기 위해 계엄령을 한 것이고.. 국민들도 알기 시작했다.. 정치인들과 대통령실 참모들도 힘을 보태서 싸워라.. 일단 8년 전 처럼 좌익들이 국민들 거짓선동하는 방법은 실패했다.. 그래서 좌익 사법부카르텔이 무리해서 내란을 저지르고 있는것이다.,True,1,2025-01-31T15:16:15+0900,849994831928229983,0,2,0
