user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hmod****,fcd8,"투표자수 부풀리기가 부정선거의 가장 핵심이슈 중 하나인 것으로 알고 있는데, 이걸 빼는 것이 맞습니까????",True,1,2025-01-31T16:33:33+0900,849999812379017445,204,22,17
jjwo****,228GJ,그냥 선거인수 한번 획인하면 끝니는데 왜 이리 안할려고 하지? 정말 부정선거가 있었는지 의심이 높아진다..그냥 까자. 그게 뭐 어렵냐?,True,1,2025-01-31T16:41:40+0900,850000334687305955,97,5,3
byun****,8ZbPn,"왜 선거자 수 조사를 기각하지,국민들이 의심하면 오픈 하면 되는거지 왜 기각하는지 국민들이 더 의심하지 않을까,선관위 뼈를 깎는 개헉이 필요합니다",True,1,2025-01-31T16:37:01+0900,850000034979119110,71,5,4
scou****,bLrOR,우리법 재판소 니들 졸속으로 재판했다간 죽창 찔려 되진다.윤통 지지율 50%를 넘 어 60%로 가고 있다.명심해라,True,1,2025-01-31T16:42:23+0900,850000380975644806,59,12,5
kim0****,xk2n,투표자수 검증신청을 왜 기각하냐?,True,1,2025-01-31T16:42:31+0900,850000389414584511,43,2,1
syny****,Ka4x,"ㅡㅡ헌재는 전날 윤 대통령 측이 낸 '투표자 수' 관련 검증신청은 기각했다고 밝혔다.

윤 대통령 측은 계엄 선포 배경으로 지목해 온 부정선거 의혹과 관련해 선관위가 발표한 투표자 수를 검증해달라고 신청한 것으로 알려졌다.
윤 대통령은 지난 15일 체포 직후 페이스북 게시글에서 ""발표된 투표자 수와 실제 투표자 수의 일치 여부에 대한 검증과 확인을 거부한다면 총체적인 부정선거 시스템이 가동된 것""이라고 주장한 바 있다.
ㅡㅡㅡ 기각한 사유가 뭔가요?",True,1,2025-01-31T16:48:01+0900,850000743766163466,16,0,0
clai****,PuUi,"""""발표된 투표자 수와 실제 투표자 수의 일치 여부에 대한 검증과 확인을 거부한다면 총체적인 부정선거 시스템이 가동된 것"" 비상 계엄의 가장 큰 이유에 대해 검증을 하지 않다니.. 이런 헌재의 결정이 좌편향적이다",True,1,2025-01-31T17:07:51+0900,850002021586043207,7,0,0
aky0****,vCD7,투표인수 검증신청을 헌재가 기각함. 계엄령 선포의 당위성을 헌재가 증명,True,1,2025-01-31T17:03:17+0900,850001728068649067,7,0,0
good****,2E2Im,헌재도 선거관리위원회와 부정선거의 공범이네.,True,1,2025-01-31T17:04:47+0900,850001824302760190,6,0,0
juba****,2GsXn,투표자 수 기각!!! 그냥 웃는다 푸하하하~ 이러면서 뭔 부정선거가 없었다고 주장을 해 주장을 하길. 이건 무조건 부정선거 했습니다 인정하는 꼴 아닌가! 대법관이 선관위원이니.. 내가 법 집행하고 내가 판결 내리는 꼴이니 누가 자신에게 죄가 있다고 판결을 내리냐고. 푸하하하~개도 웃을일인. 썩고 썩어 문드러진 헌재.,True,1,2025-01-31T17:00:09+0900,850001526121300009,6,0,0
