user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
qkrt****,m5JV,저런 어리버리 개폐급이 쓰리스타에 특전사령관이라니 한심하다..,True,1,2025-02-06T21:50:53+0900,850576883899695401,2396,525,61
inee****,2pcPo,요원이랬다가 의원이랬다가 대통령과 한번통화했댔다가 두번이랬다가 세번이랜다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 헌재가 이 재판 생중계안하는 이유가 이거였나?? 이거 굳이 찾아보게 만드는 이유가 최대한 국민들이 못보게 하려는거였나?? 오늘 이 재판 본 사람은 알꺼다. 대한민국 3성 장군이 얼마나 초라하고 비굴하게 거짓말을 하고있는지....와~~ 이런 인간 말듣고 내란내란거리고 대한민국 대통령을 탄핵한거였어?? 이게 나라냐?? 진짜 이게 나라냐고~~~,True,1,2025-02-06T21:52:16+0900,850576973624246357,2079,462,57
iamy****,3Fjjf,간보는 군인은 군인이 아니다... 여기 붙었다 저기 붙었다... 군인은 명령에 죽고사는게 군인인데 저런 군인을 믿고 나라를 어찌 맏기냐???? 이번 계엄령은 계몽령이 맞다!!!,True,1,2025-02-06T21:50:49+0900,850576879420178714,1093,292,21
myna****,,,False,1,2025-02-06T21:52:31+0900,850576989361275083,0,0,19
ckaq****,4dOdp,"곽종근은 이제 배후를 밝히고 자수해라.
자꾸 위증하다가 큰일난다. 지금 살길은 민주당의
협박회유가 있었다면 그대로 사실을 말하는길밖에 없다. 저들 반국가세력에게 회유당해 역적이 되지말고
멈춰라. 이미 끝났다. . 자유시민 과윤석열대통령의 승리다.자유대한민국 만세!!!",True,1,2025-02-06T21:54:16+0900,850577101768622196,792,268,13
tisp****,,,False,1,2025-02-06T22:28:48+0900,850579326360355100,0,0,8
peak****,3bppH,"재판과정 일부를 잠시 보았는데... 정형식 재판관이 예리하더만! 곽종근이... 자기 기억도 아니고 김병주 등에 가스라이팅 당햇거나 혹 거짓말 한 내용을 정확히 짚어 내더만! 도대체 곽가 이넘은 멀 얼마나 협박을 받거나 댓가를 보장 받았으면... 별을 세개나 단 넘이 쪽팔리게 목숨을 구걸하고 그러나? ㅉㅉㅉ 한심한 넘! 대한민국 특전사의 명예를 더럽힌 넘! 향후 재판정에 나올때.., 계급장 떼고 나와라! 어깨 그 별이 아깝다.",True,1,2025-02-06T22:12:23+0900,850578269345415308,180,41,6
lak1****,2w6R2,찢재명 따까리 김병주의 부관을 지낸 곽종근이 꼬임에 넘어가 모종의 확약을 받고 분탕질을 치고 있다. 배후의 찢재명과 더불어공산당을 박살내야 한다.,True,1,2025-02-06T21:51:07+0900,850576899368288297,134,24,1
k611****,21aOj,의원.요원이 중요하냐.. 진짜 한심하다..계엄당일 영상으로 충분하다.. 나라 전체가 한심하다,True,1,2025-02-06T21:53:53+0900,850577077626208569,189,82,10
acto****,1ZFiu,"별 세개 달고, 민주당 딱가리로 살다니... 대한민국이 공산화되겠다...",True,1,2025-02-06T21:52:03+0900,850576959363612694,132,28,6
