user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
okha****,1f5tW,우덜법연구회에서 제일 좌라고 스스로 자백한 문형배는 물러나라,True,1,2025-02-11T12:17:52+0900,851003824419111273,1251,218,33
lail****,55buk,형배야 느그 수괴 재앙이가 그거 못하게 바꿨잖아 근데 저걸 증거로 쓰겠다고? 인권유린하는 헌재답다,True,1,2025-02-11T12:19:34+0900,851003933705896157,569,65,16
son2****,2ybpU,"증언자가 부인한 앞 뒤가 맞지 않는 조서를 채택한다면, 이 재판은 사기 재판이고, 인민 재판소나 다름없죠.",True,1,2025-02-11T12:27:32+0900,851004447340363991,449,48,12
esth****,2XpGe,헌재는  원칙대로 해라.  누구보다 법을 지켜야 할  재판관들이  어떻게  이 모양인가?  법치를  땅에 떨어트리고 있는  헌재는  당장  대통령 소추안 각하해라.   2차 탄핵소추안 표결은  불법이다.  당장  각하하라.  도무지 신뢰할 수 없는  헌재는  더이상  국민들을  우롱하지 말고   해체하라.,True,1,2025-02-11T12:24:20+0900,851004240712171677,302,54,10
hbd7****,2n32M,헌재에서 따져보고 그걸 토대로 판결을 쌔야 맞다,True,1,2025-02-11T12:18:24+0900,851003858661408944,72,10,3
jmdr****,1EkzA,형배야 박사방 아니 판사방에서 음란물 돌려봤다며 역시 좌파는 과학이다,True,1,2025-02-11T17:29:29+0900,851023899549237424,48,0,0
lka6****,,,False,1,2025-02-11T12:25:43+0900,851004329463644469,0,0,2
hjpl****,1nUDl,2020년 형소법이 개정되었는데도 이전 박근혜 대통령 탄핵 선례에 따르겠다는 건 우리나라 법을 연구하고 적용하는 것이 아니다. 엉터리 재판을 재판관 마음대로 하겠다는 것이다.,True,1,2025-02-11T12:52:03+0900,851006025841508376,30,2,1
hito****,37l3Z,문재판관  성착물 N번방 의혹 있는분이 헌재 재판관 해도 되나요?,True,1,2025-02-11T19:27:48+0900,851031522327658747,25,0,0
shsj****,7XeVn,문 재 인 이가 그거 못하게 바꿨잖아 오염된 조서를 증거로 채택하겠다는 게 그냥 결론 정해 놓고 쇼만 하겠다는 거네 그러고도 너네 가 헌법 어쩌고 할 자격이 있는 거냐 국민들이 보고 있다,True,1,2025-02-11T12:49:55+0900,851005889207861598,24,2,0
shm6****,32joN,"🥳행번방🥳에 대해 해명하라
헌재판사가 이런밑바닥까지 보여 국민을 분노하게 하고 부끄럽게 하는가
사퇴가 답이다",True,1,2025-02-11T17:37:33+0900,851024419928146130,21,1,0
