user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gran****,d4R76,중공은 만악의 근원이다,True,1,2025-02-11T18:26:50+0900,851027594865279266,486,59,20
spor****,2lmqF,각 언론사 부정선거 관련 속보 기를 쓰고 안내보내는거 너무 투명하다. 나라가 어디까지 썩은거냐,True,1,2025-02-11T18:31:11+0900,851027875128672311,320,62,17
dopo****,2NMCV,선관위는 왜 감사를 거부하는가?,True,1,2025-02-11T18:32:25+0900,851027954099028111,167,26,21
park****,,,False,1,2025-02-11T18:30:47+0900,851027849274982681,0,0,6
kimj****,elKf,대통이란 자가 과대망상에 빠져 허우적대니 그 지지자들 또한 같은우물에 빠져 허우적대는 꼬라지가 참 우숩광스럽고 우두머리 란자는 일저질러 놓고서는 책임회피에 졸려함 비겁함 비열함 비굴함의 극치를 달리니 치졸함도 하늘을 찌르는구나.......,True,1,2025-02-11T18:34:46+0900,851028105949610216,81,30,4
dnjs****,,,False,1,2025-02-11T18:30:49+0900,851027850768154910,0,0,16
no23****,19NOA,매국노 윤완용 헛소리좀 작작해라.....에휴,True,1,2025-02-11T18:34:58+0900,851028118700294433,49,13,2
swan****,3pK7V,어짜다 망상론자가 대통령이 되었나 탄식이 나온다. 애초에 손에 왕자 쓰도 나왔던 사람인데...,True,1,2025-02-11T20:09:32+0900,851034211111403722,35,5,0
mont****,1Y7k2,얼마나 말같지 않으면 자기 편도 답을 못하겠나 ㅋ~,True,1,2025-02-11T18:31:41+0900,851027907139600616,27,13,3
cill****,2cZZOT,선관위 A WEB 자체가 중국의 일대일로 국가에 수출한 시스템이고 각 국가에서 부정선거 유혈사태까지 났는데 당사자인 한국만 입틀막 조용하다는게 소름끼치네여. 안보와 직결되는 문제인데 의혹이 있으면 조사를 해 봐야하는거 아닌가요? 이대로 덮으실건가요?,True,1,2025-02-11T18:48:48+0900,851029009738236205,16,2,2
yail****,,,False,1,2025-02-11T19:01:04+0900,851029800330985500,0,0,1
qudr****,45sGu,선관위 다 까라고 니들 의심스러운거 전 국민들이 다안다. 니들이 모를이없다 공산당 만들지마라 자유국가를,True,1,2025-02-11T19:07:50+0900,851030235565523207,12,3,0
ppoi****,1ERSP,"정말 기가 막힌다 민주주의 국가의 근간인 선거가 중국에 의해 유린되고 있었다니
그 사실을 밝혀도 언론사는 제대로 보도하질 않는다니",True,1,2025-02-11T18:39:34+0900,851028415304695986,12,5,2
wisd****,1nURU,헌법재판소는 윤 대통령 측에서 요구한 투표자 명부와 투표자수 검증을 왜 거부했나? 부정선거를 숨기는 자가 범인이다.,True,1,2025-02-11T19:15:56+0900,851030758276464963,6,0,0
loli****,6KtbJ,선관위 서버까,True,1,2025-02-11T18:34:41+0900,851028100832559332,6,1,0
wate****,,,False,1,2025-02-11T18:59:06+0900,851029673612673063,0,0,1
