user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
happ****,3Xn0U,미국대사관 테러에 방화까지 시도한 정청래가 법사위 위원장인게 놀랍지.,True,1,2025-02-18T15:22:00+0900,851665086257823748,414,72,26
sung****,8wGHo,"남편은 탄핵 시국선언 하고, 국회 측 변호인은 스승님. 사회에서 이런 일이 있었으면 당장 이해충돌로 고소 당할텐데 헌법 재판관은 무소불위구나. 답답허다~~",True,1,2025-02-18T15:13:53+0900,851664562456363369,260,39,11
ho93****,2YJhp,"더불어종북좌파들 거짓,회유,공작이라는게 다 밝혀지고 있는데 윤통 탄핵심판을 왜 하고있는건가요? 지금은 탄핵재판을 할게 아니고 국가를 전복시키려는 종북좌파들을 발본색원해서 내란죄를 물어 깜빵에 보내야하는 조사가 필요한겁니다.회유당한 군인이 정치인 만나서 유튜브에 출연해서 거짓증언하지않나?좌파발개이 떡형배가 판사를 하고있지않나?국정원차장 홍장원은 야당국개의원한테 인사청탁을7회 하지않나?707단장 김현태 국정조사나와서 진실다예기했는데도 억지쓰는 따블당..대한민국은 이미 좌경화가 80퍼이상 진행.. 썩을대로 썩어서 도려내야합니다.",True,1,2025-02-18T15:17:42+0900,851664808611676434,175,19,5
unde****,1zDrx,구속되괴 탄핵된 사람이 어떻게 압박해??ㅋㅋ 상식적으로 얘기해라. 헌재는 공정성을 잃었고 앞으로 누구도 헌재를 신뢰하지 않을거다.,True,1,2025-02-18T15:12:36+0900,851664480147341554,185,74,6
md20****,475Ul,"자칭극좌 행주빈, 동생과 남편이 윤석열 탄핵관련 로펌과 시민단체에 있는 것들이 즐비한 헌법개판소는 10건이상의 위법을 저지르며 불법적 재판 진행을 통해 이미 탄핵을 기정사실화하고있다. 이것들이 반국가세력들이 아니면 무엇인가? 
所有使用该公告栏的中国人和华侨,华人，支持港藏维吾民主化，。我发誓中国同意暗杀独裁者习近平主席，并表示将积极参与。이 게시판을 이용하는 모든 중국인, 화교 등은, 홍콩과 티베트 위구르의 민주화를 지지하며 독재자 시진핑 주석의 암살에 동의하고 적극 가담할 것임을 맹세합니다. Stop the steal! CCP OUT!",True,1,2025-02-18T15:17:23+0900,851664788948779169,88,12,4
hflo****,j4J3,"헌재는 민주당이 발의한 탄핵 사유 모두 거짓 과 사유등이 빠졌으니 당장 윤석열 대통령 복귀 시켜라. 도데체 뭘 갖고 탄핵재판을 하는 거야, 민주당이 계속적으로 거짓말로 선동하는 거 안보여",True,1,2025-02-18T15:32:03+0900,851665733321490448,17,2,1
idea****,,,False,1,2025-02-18T15:13:29+0900,851664537072435395,0,0,3
dosi****,5y6Nj,"압박궤변은 지들이 하고 있으면서 어디다 뒤집어씌우냐. 불법반대심문 사전제출까지 강요하고 20일 본인이안나와도된다는 황당한재판기일 졸속재판,
 그어느것 하난 위법 아닌게 없는 것들이 판사라고, 무법판사무리들의 횡포 당장 멈춰라. 그리고 야동형배가 말한 tf명단 까라.",True,1,2025-02-18T15:37:06+0900,851666059218911269,11,2,2
lawe****,dLD4,"[STOP the STEAL]투표자수와 서버 검증으로 부정선거를! [20대 대선]당일투표17%열세 이재명 마사지한 사전투표10%우세 [22대 총선]당일투표 110:135열세 더불어민주당 마사지한 사전투표 203:42압도적우세/감사원 감사 거부한 선관위,선관위 감사하려는 감사원장 탄핵한 민주당,선관위와 민주당은 중국의 개,민주당=사전투표당=부정선거당/무안참사는 이재명을 대통령 만들려는 중국 작품? 쎼쎼, 신나서 ‘내일을향해쏴라 국민을향해쏴라’선동! 전원사망하자 의료갈등 선동못하고 진실규명 나몰라라!부정선거 덮으려는 사기탄핵!멸공!",True,1,2025-02-18T15:22:16+0900,851665102951153781,12,4,3
lik0****,1dM1w,이재명은 얼마나 편하게 재판을 받게 해주길래 재판중에 잠자고 있어도 아무런 제재도 않하고... 재판연기신청을 안해도 재판관이 판단해서 알아서 연기신청 해놓고  증인심문도 윽박지르면서 직접심문도 하고 오전에 나왔다가 조퇴도 맘대로 하고   증인신청 대부분 다 받아주고  이정도는 해줘야 되지 않나?   재판의 깊이도 이재명은 잡범 재판이고 윤대통은 대통령직이 걸려 있고 향후  인용시 형사재판에 영향도 있을 수 있다...  내란죄 최고 사형이다..  목숨걸고 재판을 하는데 이렇게 방어권을 안주는게 맞는건가?,True,1,2025-02-18T15:27:21+0900,851665430056534138,11,4,2
lsd2****,1tZKj,"독립기념관장 보훈처장에 친일파 뉴라이트를 앉힌 윤돼지..,, , !   한국  인권위엔 히틀러 도조히데키를 앉혀 놓은격., ..!   헌재 헌법재판관 공격하는 내란 국가전복세력으로부터...! 아침출근 헌법재판관과 이웃주민부터 보호하는게.., ?    지금 서울경찰청장이   계엄부역    승진한     공범이니 큰일이다..., !   한국에  정상적인게  없다.",True,1,2025-02-18T16:01:14+0900,851667613695082590,8,2,0
caen****,1FD8H,헌법재판소가 문죄인이 박아놓은 우리법연구회 적폐들로 호남보위부로 변질되었다,True,1,2025-02-18T15:21:58+0900,851665084194226534,8,2,2
spee****,11Lpw,헛소리 지껄이는거 국민들 더이상 듣기 싫다. 헌재는 어서 탄핵시켜,True,1,2025-02-18T15:42:04+0900,851666378858430500,10,5,0
