user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
pira****,2MjSR,뉴스에서 보도 안되는게 신기하다 광화문 직접 가보십쇼 대통령 탄핵 반대집회 규모가 새월호 촛불집회보다 큰데 언론에서 싹 숨기고 있음 언론까지 중국놈들이 장악했단게 증명됨,True,1,2025-02-22T19:06:49+0900,852050655236325583,2614,406,44
ssat****,6B0IN,비교가 되나여 ㅎㅎㅎ ㅎㅎㅎ  2030 젊은 친구들이 너무많아 깜짝 놀랐어요 ~~~~~~~~~~~~~~~~~~ ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ오늘너무 행복해요 ㅎㅎㅎㅎ전한길쌤 감사해요 ~~~~~~~~ ㅎㅎㅎㅎㅎㅎㅎㅎ 시원하고 속이뚫린 사이다급 연설에 가슴이 뜁니다 ㅎㅎㅎㅎ ㅎㅎㅎㅎ ㅎㅎㅎㅎ우리국민 가짜뉴스 안믿어요 ㅎㅎㅎㅎ전한길쌤 말씀만을 믿으면서 따라가요 ㅎㅎㅎㅎ 탄핵탄핵 또또탄핵 입법독재 지겨워요 ㅎㅎㅎㅎ전과자만 득실득실 전한길쌤 말씀대로 찣어버려 쓸어버려 ㅎㅎㅎㅎㅎㅎㅎㅎ 진실만을 알게되어 감사하고 고마워요 전한길쌤 ㅎㅎㅎㅎㅎㅎㅎㅎ,True,1,2025-02-22T19:04:19+0900,852050494191829067,1785,428,43
ompa****,1UApW,탄핵촉구집회는 왜 이렇게  갈수록 쪼그라들고 언론에선 이빨만 깔까?,True,1,2025-02-22T19:09:07+0900,852050803412697117,870,43,22
sill****,1txXc,전한길이 국개 300마리보다 60억배 소중하다.,True,1,2025-02-22T19:08:41+0900,852050774690103446,706,91,11
soyo****,ytXX,전한길 파워 정말 대단합니다.이죄명이 부러워할듯.,True,1,2025-02-22T19:07:25+0900,852050693756813436,447,78,16
shal****,4o9fG,"경찰 추산 탄핵반대1만 7천명 대 찬성 900명…. 오늘 처음으로 언론이 왜곡없이 보도하는 듯. 지난 광주도 탄핵반대가 20배 많이 모였는데도, 비숫한 사진 올렸던 언론. YTN은 심지어 탄핵반대 집회 서진을 탄핵찬성 집회 사진으로 둔갑시켜 보도했었지. 직접 집회 가본 후 언론을 보니 언론이 얼마나 왜곡보도하는 지 생눈으로 볼 수 있었다",True,1,2025-02-22T19:37:45+0900,852052647983710364,169,11,6
chol****,4UbjX,대전에 거주합니다 시청광장에 수많은 인원이 모여 한마음으로 탄핵반대집회 했습니다 탄핵찬성 500여명 탄핵반대 5만명 제가 직접본 사항입니다,True,1,2025-02-22T21:52:16+0900,852061313633878087,131,13,5
fool****,1KgDM,권력을 사유화해서 형사 1000명을 시커먼 한밤중에 대통령궁을 습격해서 현직 대통령을 때려잡아 빵에 집어처넣은 넘이 도적놈 중에 상 도적놈 법카횡령 국고횡령 이재명여 강도중에 완전 날강도 대장동 몸통 이재명여 상 도적놈 날강도 뻘개이놈이 현직 대통령을 내란죄의 누명을 뒤집어 씌워 감옥에 집어처넣은 것은 헌정사상 처음이거니와 단군이래 전대미문 전무후무했어 찢재명의 개가 아니라면 헌재는 찢재명과 김대중 뻘개이 간첩소굴의 집요한 탄핵공작에 의한 권력 찢어서 찬탈하기를 벌써 각하했어야 했는데 이제라도 인위적인 권력강탈 권력탈취를 기각해야혀,True,1,2025-02-22T19:25:25+0900,852051852710117479,128,15,1
josh****,2vSHa,"압도적으로 탄핵반대집회에 훨씬 많은 국민들이 참석했네요~!!
언론은 더이상 국민들의 탄핵반대 물결을 덮으려해서는 안됩니다! 진실을 보도하십시요!국민 과반이상이 이번 계엄의 정당성에 동의하고 있습니다~!!!!

대한민국은 더이상 중국의 속국이 되어가는것을 좌시해서는 결코 안될것입니다!",True,1,2025-02-22T20:03:11+0900,852054286060748838,107,9,1
basa****,38coH,탄핵을 찬성하는 우민한 백성들아 ! 너희는 눈과귀가 없느냐 ! 대한민국의 파괴공작과 민주당의 폭거 그리고 이재명의 광질을 보지못하는가 ! 참으로 이 나라의 백성은 망해봐야 아는 족속들인가 !,True,1,2025-02-22T19:09:08+0900,852050804117340198,99,20,3
