user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hana****,NurF,솔직히 이게 기각 아니면 헌재가 고장난 거다 증거가 다 조작이었고 간첩 있어서 계엄 한 건데 이걸 머라해?? 그럼 헌재가 간첩이게...,True,1,2025-02-26T11:11:16+0900,852391103150686333,458,204,42
sohn****,,,False,1,2025-02-26T11:11:16+0900,852391102345379964,0,0,29
qkrr****,,,False,1,2025-02-26T11:07:33+0900,852390863186166014,0,0,33
ilma****,vsPY,대한민국의 대통령 우리의 대통령은 윤석열뿐이다.. 김정은 추종자 더불당에 의해 우리 대통령이 박해받고 있다.. 얼릉 윤석열 대통령 복귀시켜 대한민국 바로 세우고 더불당 박살내자.. 윤석열 화이팅 !!!!,True,1,2025-02-26T11:08:54+0900,852390950595461562,258,137,18
ks52****,ah2ra,앞으로 나는 더불어공산당으로 부르기로 했다. https://www.youtube.com/watch?v=ljSwPvVE3uQ&amp;t=61s 이게 빨*이가 아니면 뭐란말인가?,True,1,2025-02-26T11:07:17+0900,852390845855301774,168,59,14
todr****,21SGh,좌파의 가장 소름돋고 무서운점은 가난한척 하는 부자이면서 남을 위하는 척 하며 뒤에서는 성적인 착취를 행하는 모순된 인간상을 가진 사람들 뿐이다. 그점이 북한과 닮아있다. 좌파는 언제나 페미니스트에 가깝다고 하지만 영부인한테 하는 말들이 세살부터의 습관처럼 서슴치않고 여성을 성적 도구라고 생각하고 하는거라 아무렇지가 않구나. 말은 가난한자를 대변하고 행동은 여성을 위한다고 하지만 안보이는곳에서서 말로는 가난한 사람을 멸시하고 행동으로는 여성을 성적으로밖에 부리지 않는구나. 이점은 일본과 닮아있다.,True,1,2025-02-26T11:12:46+0900,852391199384797558,47,3,3
wnsd****,3fQhW,계엄이 아니라 계몽이었습니다. 최종변론 보고 확실히 알았습니다.,True,1,2025-02-26T11:12:19+0900,852391170947416227,32,3,1
gran****,13eeo,탄핵기각 100% 확신한다,True,1,2025-02-26T11:12:29+0900,852391180745310463,35,9,1
free****,,,False,1,2025-02-26T11:13:47+0900,852391265201815896,0,0,2
wide****,36FCV,역사에 더러운 이름 남기지 말고 법과 양심에 따라 기각하라!,True,1,2025-02-26T11:53:51+0900,852393845755740554,19,2,1
pare****,2yCHR,탄핵은 기각되어야 한다. 대통도 저러고 당하는데 (완전 눈 뜨고 코 베이는 꼴) 보통 사람이 법원을 어떻게 믿나? 법원의 신뢰 회복을 위해서라도 탄핵은 기각되어야 한다. 손발 다 묶어 놓고 재판을 하다니? 지금 대통의 지지율이 오르는 것은 억울한 일을 당한 사람에 대한 국민의 분노 때문이다. 헌재는 국민이 무섭지도 않은가?,True,1,2025-02-26T13:18:29+0900,852399299240132823,17,3,0
kimk****,3lN0J,"헌법재판소
 도청보안 난리떨면서  충실한척 위장하면 누가 알아주나...!
  부부편향성 이해관계등  좌파재판관 에  어차피 공정하지못한 재판절차 하면서 양심을 버린넘들 꼴갑떨고있는게 한심하다.....",True,1,2025-02-26T11:33:32+0900,852392536998674679,14,2,1
troi****,W7Bw,무조건 각하해야 한다. 윤대통령 최종 변론듣고도 탄핵 인용하면 헌재가 간첩인거임,True,1,2025-02-26T11:19:22+0900,852391624586559672,13,2,0
thwj****,6Gf7o,도청방지하면 뭐하노? 좌측으로 치우치신 우덜법연구회 소속 음란수괴 및 여하 똘마니 재판관들이 다 입으로 옮길텐데 ㅋㅋ하여간 고고한척은 ㅋㅋ,True,1,2025-02-26T11:13:45+0900,852391262886560102,13,2,0
iamh****,4wP4w,기각하라  계몽령으로 국민들이 깨어났다,True,1,2025-02-26T12:04:07+0900,852394508036341812,12,2,0
hw01****,,,False,1,2025-02-26T13:19:18+0900,852399351366942870,0,0,0
mudl****,,,False,1,2025-02-26T13:42:46+0900,852400862893441333,0,0,0
glay****,2jZ1C,공식화된 중궈러 선거조작,True,1,2025-02-26T13:31:36+0900,852400143805186256,9,0,0
ehdg****,,,False,1,2025-02-26T12:11:47+0900,852395001823363373,0,0,0
uamy****,1Bqhh,일제 강점기에 조선인 재판하는거 같다! 짜장인이 우리 한국인 재판하는 느낌! 기시감이 든다!,True,1,2025-02-26T11:36:35+0900,852392734281957647,9,0,0
hsch****,3am1Z,"대한민국 국민은 평등해야 한다.  우리법 연구회, 민주당  등 특정집단이 귀족을 형성하고 있는 나라는 존재할 수 있겠는가,  우리법 연구회를 대표적으로 전원 사법처리 해야 한다",True,1,2025-02-26T11:13:44+0900,852391262014144832,9,2,1
pkt2****,37x00,"대통령의 계엄은 통치행위로 사법심사 대상이 아닌데,  형배가 왜 하는거야. 각하되지 않으면 형배를 직권남용으로 깜빵에 넣어야 하고 탄핵소추는 무효다",True,1,2025-02-26T13:38:53+0900,852400613047140714,8,1,0
qjsc****,bHwCZ,"언론은 자유대한민국을 위하여 민주노총 간첩들에 내린 북한지령내용에 대하여 특집방송 편성하여 국민께 집중 홍보하고 가장많은 시청시간대에 방송하길~~
/ 윤석열 복귀 후 모두 똘똘뭉쳐  이번 비상계엄으로 들어난 많은 문제점들을 정리한 후 미래의 힘찬 새로운 자유대한민국의 초석을 만들어야 하겠습니다.
국민들이 각자 자유로운삶을 영위하며 정치에  무관심할때. 그 틈새를 파고들어 곳곳에서 암약하는 반국가세력들에 국가위기임을알고서 눈 감으면 편히살텐데 비상계엄을 통해 위기를 국민이 알게해주어 고마워해야~",True,1,2025-02-26T11:33:18+0900,852392521815294100,7,1,0
poet****,6iwCD,"한미 요원들이 선관위 99명 (또는 30여명) 중국인 해커들을 압송하여 심문해서 알아낸 내용들을 전부 조속한 시일 내에 만천하에 공개해야 한다. 부정선거 내용을 중국(또는 한국의 민주당)과의 협상용 지렛대로 삼기 위해 공개하지 않는다면, 결국 미국은 하나님의 엄청난 심판(예를 들어, 유례가 없는 대지진으로 캘리포니아가 작살남 등)을 받거나 미국의 경제가 깡그리 무너져 버릴 수 있다. 부정선거에 대한 공개는 시기를 놓치지 말고 해야 대중국 전략이 최대 성공을 거둘 수 있다. 이 시대를 향한 하나님의 뜻을 미국은 잘 알아야 한다.",True,1,2025-02-26T13:29:10+0900,852399987290538058,6,0,0
feck****,3i8kR,"답정해놓고 달겨드는 문형배 이미선 정계선은
헌법재판과 자격이 없다~!
편파 재판괸들 축출하라~!!!",True,1,2025-02-26T12:13:49+0900,852395132853420360,6,0,0
lenk****,81Ovy,도청방지 철통 보안이래 ㅋㅋ쇼 그만하고 걍 오늘 선고때려. ㅋㅋㅋ,True,1,2025-02-26T11:47:08+0900,852393413994086465,6,0,0
ccjh****,,,False,1,2025-02-26T11:47:34+0900,852393441710047514,0,0,1
