user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
boso****,17Sl3,50만 넘을거 같은데,True,1,2025-03-01T16:50:43+0900,852691285327216876,2192,215,58
tora****,,,False,1,2025-03-01T16:57:31+0900,852691723447435407,0,0,31
dbyt****,1aMDL,민주당은 내란죄를 뺏는데 내란종식 피켓들고 앉아있네 ㅋㅋ 탄핵반대들은 진짜 세대구분없이 일반 시민들인데 찬성집회는 민주노총 깃발부터 시작해서 뭔 깃발들이 나부끼냐..  시위대 섭외한건가?  ㅋㅋㅋ,True,1,2025-03-01T16:57:48+0900,852691741935927530,1463,96,29
woo5****,2CE0r,탄핵 촉구하는 것들은 전부 조선족 전라도 간첩들이라고 보면 된다. 북한지령 받고 국정을 혼란시키고 친북정권 친중 정권으로 나라를 말아먹은 문재인을 보면 안다.,True,1,2025-03-01T16:58:20+0900,852691776647987306,1040,186,27
dyki****,aY6Z6,좌파식 집계로는 1000만명인데,True,1,2025-03-01T16:58:43+0900,852691801360826573,493,30,19
wkfk****,,,False,1,2025-03-01T17:00:30+0900,852691916335087757,0,0,3
amaz****,3bp4c,"탄핵반대가 압도적이네. 비교할 수가 없어. 지금까지 나온 여론조사결과 모두 가짜라는게 증명되었군. 민주당, 선관위, 헌재판사 일당 모두 무릎꿇고 손들고 있어라.",True,1,2025-03-01T17:05:48+0900,852692256879018214,193,13,1
heon****,GgHA,지금  광화문에서 막 돌아왔다.....  지금것 본 탄핵반대 인파 중에 이런 인파 처음봤다......  이재명 민주당과 좌익들은 다 죽었다고 각오해야 할듯..............,True,1,2025-03-01T17:19:10+0900,852693118489722928,175,10,4
jind****,2auAU,집회참석 못해도 탄핵반대 적극 지지합니다,True,1,2025-03-01T17:10:36+0900,852692566670311606,173,18,4
dipa****,c7e4E,여러분 더이상 좌우 / 보수 진보의 싸움이 아닙니다. 공산주의되면 진보고 보수고 없습니다. 민주당이 카톡검열한다는거 뜬구름 잡는 소리같죠? 중국 국민들은 이미 모든 sns 검찰 당하며 살고있습니다. 더불어민주당이 과연 진보라고 생각하십니까? 국민들 협박하고 법안 발의해서 손발묶으려는 발상 자체가 이미 공산주의입니다.,True,1,2025-03-01T17:14:07+0900,852692793246613523,124,9,5
ipho****,2Mi8C,탄핵반대가  찬성보다 최소 10배  많이 왔네.   대단하네,True,1,2025-03-01T17:04:50+0900,852692194954313984,119,6,5
buja****,1yTP3,찬반같은 소리하고 자빠졌네. 탄핵집회에 몇놈이나 왔을까? 탄핵을 주장하는 자가 간첩이고 내란 이적 행위이다. 탄핵집회에 참석한 중국인들의 체포가 시급하다. 내란수괴 이죄명의 구속이 시급하다.,True,1,2025-03-01T17:14:47+0900,852692835843965144,111,12,3
dmsr****,2Xd7e,탄핵찬성집회 태극기 하나 없는거 소름돋는다진짜~   공산당들~,True,1,2025-03-01T17:10:22+0900,852692551688257627,88,6,2
dong****,,,False,1,2025-03-01T17:00:00+0900,852691883334303748,0,0,4
mati****,4Etsw,이게 민심임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 박그네때랑 양상히 완전히 다르제? 그때속아서 문재앙 같은넘을 대통령만든게 화나네 ㅋㅋㅋㅋㅋㅋ 그사람들이 이제 탄핵반대집회 나간건데 찢재명? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 꿈도 꾸지마라 ㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-03-01T17:47:39+0900,852694953413836967,78,8,2
whac****,,,False,1,2025-03-01T17:08:14+0900,852692413745987651,0,0,4
2091****,,,False,1,2025-03-01T16:57:59+0900,852691753747087657,0,0,0
hair****,,,False,1,2025-03-01T16:58:54+0900,852691813155209478,0,0,2
auro****,,,False,1,2025-03-01T17:04:34+0900,852692177623449764,0,0,0
erio****,,,False,1,2025-03-01T17:26:31+0900,852693592278302848,0,0,0
