user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gloy****,2mJVw,민주당 해산해야 나라가 산다,True,1,2025-03-03T15:51:21+0900,852873003329912960,309,29,12
tram****,R24e,"집회 참석 숫자만 봐도 극우 세력이라 말하기 민망하지 않냐?
전국민 대부분이 계몽 되고 있음
너처럼 얼마 남지도 않은 극좌 공산주의 세력 + 화교 . 장깨 . 조선족
니들이 없어져야 나라가 산다.",True,1,2025-03-03T15:53:32+0900,852873144006869157,156,14,9
aflg****,4xFbv,중도층 민심 이미 탄핵반대 70%,True,1,2025-03-03T15:55:26+0900,852873266530877576,121,17,5
owo_****,4A2ON,"누구 맘대로 ㅋㅋ 국민 여론은 윤통 복귀, 민주당 해산, 부정선거 척결, 가담자 색출 및 사형이다. 니들이 백날 손바닥으로 하늘 가리고 이불 덮고 만세 불러봐야 국민들은 계몽됐다.",True,1,2025-03-03T15:54:07+0900,852873181420060721,76,10,4
1122****,,,False,1,2025-03-03T15:56:36+0900,852873341776691391,0,0,1
yagu****,3O401,절이 싫으면 중이 떠나야지! 나라를 너네들의 사상으로 물들이려 하지말고 소수인 너희들만 좋아하는 나라로 가라! 자유대한에는 공산주의자가 딛을 땅은 없다!! 자유민주 절대수호!!,True,1,2025-03-03T16:15:27+0900,852874555692155012,7,1,0
gswi****,3V7HL,"중도층인데 ""탄핵반대"" 합니다,  복귀해서 임기단축 개헌해야 옳다 !",True,1,2025-03-03T15:58:29+0900,852873462924968072,7,2,1
faqe****,7CM66,민심은 정 반대입니다!!! 윤석열 대통령 불법감금납치 중단하라!!!,True,1,2025-03-03T16:38:20+0900,852876030577213543,6,1,0
lost****,,,False,1,2025-03-03T16:10:48+0900,852874256906715369,0,0,0
miti****,5HKDK,더불어 전과 9범 공산 종북 사기 부정부패 개딸 잡범 방탄 쓰레기 범죄당 당수이자 경기동부연합 오야붕 이재명 너도 이번 기회에 법원 영장 호출 수용하고 감방 입소를 피하지 말고 자발적으로 대응하는 차원에서 제대로 조사를 받아라. 만약에 더불어 전과 9범 공산 종북 사기 부정부패 전과 개딸당 당수 이재명 너가 방탄하지 않고 조사를 제대로 받아서 무죄가 나온다면 많은 사람들이 인정을 하지 않겠는가? 아울러 국제 사법 재판소 대북 송금 관련 재판도 조속히 들어가기 바라며 감방 오야붕으로 처벌을 확실하게 받기 바란다.,True,1,2025-03-03T16:17:51+0900,852874710361309465,5,0,0
iamk****,1lIGw,"쫄리니까 서둘고 , 탄핵하고, 공작하고 난리 부르스를 추는거지??? 안그래?",True,1,2025-03-03T15:59:50+0900,852873550518812920,7,3,0
