user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sowe****,5G3V,"정치가 양극화가 치열한데 당연히 학교 휴무해야지. 학생들 안전, 평범한 직장인 안전이 우선임.",True,1,2025-03-05T12:45:35+0900,853046577923621074,36,6,3
k_gu****,49zoj,검토가 아니라 걍 해야됨 거기 주변 직장인들도 걱정됨,True,1,2025-03-05T12:42:30+0900,853046379449155772,17,0,0
epoc****,3uQa1,"윤통 탄핵으로 자르지 않으면 부정선거 수사 본격적으로 되는게 무섭거든.
선관위였던 헌재사람들, 쭝꿔돈 받은 국힘과 민주당 애들.....줄줄이 수사선에 올라간다. 
저들 입장에서는 국민저항은 중국공안이랑 때려잡으면 되니까.",True,1,2025-03-05T15:20:40+0900,853056569393283338,24,11,0
s2gh****,3GUVL,탄핵기각 확정임 ㅋㅋㅋㅋㅋㅋㅋ 재판관들도  슬슬 알아버림,True,1,2025-03-05T14:29:26+0900,853053268459258009,88,77,15
lman****,,,False,1,2025-03-05T15:05:24+0900,853055585896104115,0,0,0
awar****,iRYo,"윤석열 대통령은 목숨을 걸었다. 윤대통령은 얼마든지 편한 길을 갈 수 있었다. 남은 임기 2년 6월 동안 대통령직 대충 수행하고, 은퇴해서 연금 받고, 경호 받으며 얼마든지 편하게 살 수 있었다. 좌파들의 매국행위에 눈 질끈 감고 넘어가면 그만이었다. 하지만 좌파와 중공 아가리 속으로 던져질 뻔한 자유 대한민국을 위해 비상 계몽령을 발동한 것이었다. 좌파와 중공으로부터 나라 구한 윤석열 대통령! 구국의 영웅!",True,1,2025-03-05T15:09:28+0900,853055847889109185,12,3,2
peop****,T4sp,"윤통이 헌재에서 각하 또는 기각되면 국민들 아무런 데모도 일어키지 않는다 왜냐면 당연한것을 여태껏 사기 탄핵을 하여 정상으로 돌아가는 것 뿐이다 또 찢쥐명 쪽에서 보면 약간 아쉬워도 원래 사기 거짓 탄핵이였기에 말도 못한다 문제는 사기탄핵으로 윤통이 인용되면 헌재및 재판관은 흔적도 없이 가루가 될것이다. 찢쥐명 쪽에서는 흡족할 뿐이다 사기를 진짜로 만들었기 때문에~결론은 사기 탄핵으로 꼴리는대로 인용할 경우 박살난다. 왜 헌재는 이런 경우만 상정하나? 혹시 회유 공작하여 8:0 , 7:1,
6:2 로 만들어 놔서 미리 겁을 내는건가",True,1,2025-03-05T15:15:33+0900,853056239335112946,13,8,2
leej****,dOS26,"4대 4   또는 5대~ 3  기각일 바에야  8대0
으로  기각  될 뜻?",True,1,2025-03-05T14:16:49+0900,853052456358117736,8,3,1
bobp****,,,False,1,2025-03-05T14:26:11+0900,853053059666804809,0,0,0
ywjk****,1BTmH,"기각 안되면 헌재재판관들  역사에  오심으로 낙인찍히고  처벌 받을수 있다~~~내란이란 말 자체가 빠진 것은 기각이 아니라 각하가 정상인데~~그조차 안하고 기각 내려도 봐줄수 있는데  인용일경우
심각한 문제에 부딪힌다",True,1,2025-03-05T15:40:41+0900,853057858822996265,4,0,0
hflo****,j4J3,"헌법을 수호하지 않는 헌재는 필요없다. 불법을 저지르면 범죄자야 그런데 헌재가 불법을 용인하고 있어 그럼 헌재도 공범이란 거지 거짓말로 탄핵되어 온 걸 알면서도 기각을 하지 않는게 말이 됨. 그런데 웃긴 건 경찰을 깔고 휴교를 실시한다는게 탄핵 가결 한다는 걸 전재 한다는 거야 그럼 시민은 어떻게 해야 해 법을 지키라고 경찰, 판사을 둔건데 그들이 어기면 국민이 저들을 처단해야지 이건 상식이야 결국 유혈사태도 날 수있다는 거야 그럼 최상목은 지금 상황에서 양쪽진영 나오게 하여 끝장 TV토론을 실시하란 말이야 국민 화합차원에서",True,1,2025-03-05T14:15:44+0900,853052385910587707,7,5,0
hidd****,,,False,1,2025-03-05T15:35:42+0900,853057538210398495,0,0,0
mnij****,1MGHh,"언론들은, 탄핵반대를 외치는 사람들을, 극우이며, 폭력적이며, 비상식적인 사람들로 프레임을 씌우고, 이미 결론은 나와 있는데, 마치 이 사람들이 위험하기 때문에 일반 시민들이 피해를 받고 있다는 식으로 몰고 가고 있다. 도대체 어떤 사고 체계로 어떤 안경을 써야, 현 상황을 이렇게 보고 이런 보도들을 낼 수 있는지 의문이다. 여태까지의 집회 참석 인원세를 봤을 텐데도, 그리고, 어디가 더 폭력적이고 비인도주의적으로 집회를 하는지도 뻔히 보이고 들릴텐데도.",True,1,2025-03-05T14:04:45+0900,853051678281171240,3,1,0
ksh1****,1S8qB,“최근 몇 년 동안 우리 사법 체계는 급진 좌파 미치광이들에 의해 뒤집혔다” 트럼프…,True,1,2025-03-05T17:16:39+0900,853064041680077031,2,0,0
dosi****,5y6Nj,"휴업을 왜하냐. 헌재가 불법부당한일을 감행하기라도하겟단거냐, 3.1절 100만명이 모인 윤석열탄핵반대시위에서도  5살 어린아이 무사히 잘도 웃으며평화시위햇다. 삼단봉에 최류가스타령하는 좌파공산동재당의불법만 아니면 아무 일 없다.",True,1,2025-03-05T15:43:44+0900,853058055502299447,2,0,0
leej****,dOS26,언론사 제정신이  않이다,True,1,2025-03-05T14:14:15+0900,853052290683109469,2,0,0
opop****,24el4,"캡사이신, 삼단봉, 최루탄 사용 허가 검토한다질 않나 휴학 검토 한다질 않나 진짜 이미 탄핵시키기로 결론내고 하는거냐??",True,1,2025-03-05T14:04:34+0900,853051666235130067,2,0,1
