user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dude****,,,False,1,2025-03-13T09:25:48+0900,853775877480120619,0,0,8
wide****,36FCV,이재명 박찬대 박지원 박선원 박범개 김병주 김민석 양문석...최소 이사람들은 이제 그만 좀 보자.,True,1,2025-03-13T09:28:01+0900,853776020019347460,180,15,10
kyr0****,1ZFRB,"찬대야 해산해야 될 당은  내란당 민주당 패거리들이다, 
  그리고 이재명 방탄 짖거리좀 그만해라  국민들 지친다,
  하루속히 이재명 감옥에 보내라 그래야 나라가 평온해진다",True,1,2025-03-13T09:27:14+0900,853775970107129956,162,13,2
mamy****,2JBfr,똘마니야. 당 해산은 더불당이 먼저지. 아니지 국회를 해산하는게 정답이다. 대한민국에서 가장 쓸모없는 집단이 국회다.,True,1,2025-03-13T09:27:13+0900,853775968530071665,89,8,1
8679****,faM4,"이재명 씨 최종 선고 전에 어떻게든 조기 대선을 치뤄야 기가 찬 박찬대씨도 나락 안 가겠지요. 말은 바로 하세요, 국민이 바보도 아니고. 박찬대 당신 같은 성향의 원내대표도 국정에 하등 도움 안 됩니다.",True,1,2025-03-13T09:27:00+0900,853775954621759492,78,4,0
sung****,49st5,사사건건 행정부 발목 잡고 탄핵이나 남발하는 주제에 세금은 더럽게 처먹는 더불어공산당이야말로 해산이 바람직,True,1,2025-03-13T09:49:55+0900,853777431234871660,8,0,0
bigs****,1wIqz,생긴자체가 영화에 나오는 똘만이형인데 행동까지 우째그리 똑같냐.,True,1,2025-03-13T09:31:22+0900,853776236344770687,8,0,0
hjpl****,1nUDl,"그 얘기를 들을 것은 민주당이다. 국민의힘은 당론 조차 없는 정도로 한심한데, 무슨 헛소리냐? 위헌정당해산심판을 받아야 하는 것은 바로 민주당이다.",True,1,2025-03-13T09:30:50+0900,853776201800483132,8,1,0
push****,31cFH,"민주당 해산이 바람직 하지. 근데, 434억은 국고반납하고 해산해라.",True,1,2025-03-13T09:49:00+0900,853777372111962113,7,0,0
qpxm****,4qaEv,역적 박찬대를 내란공모혐의로 체포하여 구속수사하라,True,1,2025-03-13T10:21:23+0900,853779459046637748,4,0,0
5039****,1g0rd,헌재가 인용 정족수가 안되니 ㅂㅌ행배가 마은혁 보내달라고 너희들한테 신호 보낸거 아니겠냐. 그리고 한덕수 심판도 지연 윤석열 심판도 지연. 지연 꼼수가 다 보인다,True,1,2025-03-13T10:01:11+0900,853778157453443160,4,0,0
kdh9****,135k8,내란선동당 니들이 해산되어야지.. 어디서 헛소릴 지껄이는거냐? 니들은 위헌정당이야  진짜 도둑놈들이 지들이 잘했다고 활개치고 다니네..,True,1,2025-03-13T09:52:30+0900,853777597228646584,4,0,0
hsms****,,,False,1,2025-03-13T09:50:09+0900,853777446854459464,0,0,0
njmv****,2SlQ8,너희들이나 잘 하세요.,True,1,2025-03-13T11:48:39+0900,853785080991056172,3,0,0
chok****,2vquW,이재명 박찬대 정청래 등이 이 모든 것 책임지고 사퇴하라!!!!,True,1,2025-03-13T10:58:59+0900,853781880804213180,3,0,0
rhkw****,2Tor8,더불어. 민주당에서 민주빼고 내란당이라해라 더불어내란당만 해체되면 대한민국은 곧바로 안정이다.,True,1,2025-03-13T10:41:17+0900,853780740909826170,3,0,0
mose****,1MSgp,"나도 민주당 지지자지만(물론 이재명 지지자는 아니고 김부겸, 이낙연 지지) ..박찬대씨 연설할 때 억양은 완전 북한방송 아나운서 같아 ~ 선동조 ~ 상당히 거북해. 참고해~",True,1,2025-03-13T10:00:15+0900,853778097122574437,3,0,1
noeu****,1EAeY,니들이 우리나라 가장 큰 리스크야 니들이 원하는 거 중국북한에 다 있는 거 같은데 가서 엔비디아 삼성 함 만들어봐 ㅋㅋ,True,1,2025-03-13T09:51:21+0900,853777523912212643,3,0,0
ww11****,2VIsi,민주당 나라를 위해서 해산 부탁드립니다,True,1,2025-03-13T09:47:59+0900,853777306647265654,3,0,0
leej****,,,False,1,2025-03-13T14:38:19+0900,853796011699601568,0,0,1
chro****,2m5CS,니네가 더 문제.   니부터 해라. 해산.,True,1,2025-03-13T11:42:58+0900,853784714828317129,2,0,0
shk2****,3O9hW,민주당은 문제없다는거냐?  오만이 어떤 결과를 가져올지 궁굼하구나.,True,1,2025-03-13T11:40:35+0900,853784560595370232,2,0,0
chro****,2m5CS,니네들이 남발한 탄핵은 누가 책임지냐?,True,1,2025-03-13T11:36:53+0900,853784322157576583,2,0,0
saeh****,10qPB,감사원장 탄핵기각. 중앙지검장 탄핵기각 헌법재판소 판결이다. 박찬대 이재명 김민석 박지원 등 민주당 의원들은 국가기능을 마비시킬 목적으로 탄핵하여 입법부에서 정부 전복을 획책한건 아닌가 ? 사퇴하고 정계은퇴해라,True,1,2025-03-13T10:58:48+0900,853781869529923947,2,0,0
plus****,8lhWk,이재명 구속,True,1,2025-03-13T10:37:20+0900,853780485778702491,2,0,0
jiju****,196jU,이놈은 지맘에 안들면 다 사라지란다ㅋ,True,1,2025-03-13T10:27:32+0900,853779854737277190,2,0,0
hjle****,45Yp2,더불어탄핵당의 해산을 요구합니다,True,1,2025-03-13T10:24:07+0900,853779634200772668,2,0,0
hjpl****,4vjlw,사악한 범죄자 코딱지 파주 찬대야 해체는 더불어범죄조작당 범죄 집단이야 뇌가없는 인간아 쓰레기보다 못한 인간이네.,True,1,2025-03-13T10:21:20+0900,853779455707971747,2,0,0
cjh8****,1qjKI,해산되어야 할놈들은 바로 너희 더불어만지면서강간하는당이다.....수오지심을 갖추지 못한 인간은 안간이아니다.그런데 니들은 명백히 죄를 짓고도 독립투사처럼 행동하잖니? 조국이 깜방에서 티비보고 윤석열 욕하는 것 보고 느끼는 거 없니?,True,1,2025-03-13T10:17:33+0900,853779211733696767,2,0,0
chki****,1jHTX,찬대야!!!!!!!!!!!!  너같은 쓰레기 탄핵당이 해산되어야 나라가 산다!!!!!!!!!!!!!  알았니!!!!!!!! 뚤린 입이라고 지껄이지 말고!!!!!!!!!!,True,1,2025-03-13T10:16:52+0900,853779167995494779,2,0,0
nk49****,1FhRW,국익에 해가 되는 더불어터진당은 해체하고 전과4범찢죄명은 구속되어야 한다,True,1,2025-03-13T10:10:22+0900,853778748548317365,2,0,0
hehj****,1iQId,욕도 아까운 나라십창내는 더불어돈봉투당..  29번의 줄탄핵은 지들 마음대로 들어가는 비용은 국민세금으로.. 캬 달달하네,True,1,2025-03-13T10:04:23+0900,853778362806567092,2,0,0
tops****,,,False,1,2025-03-13T10:00:58+0900,853778143444468108,0,0,1
k123****,1vXnG,리자이밍 떨거지 반찬대는 북한서열 5위라는 소문이 있던데 빨리 체포해서 내란죄로 처형이 정답이쥐,True,1,2025-03-13T10:00:02+0900,853778082727723024,2,0,0
jbst****,2sXEL,찬대 보면  짠하다   악한 소리는 혼자 다 하니깐   사람들이   재명보다   찬대를 더 싫어 하는 사람도  많드라    찬대야  찬대야,True,1,2025-03-13T09:59:39+0900,853778058417537292,2,0,0
sang****,,,False,1,2025-03-13T09:59:32+0900,853778050934898929,0,0,0
3733****,dnHeu,적반하장 입니다 .박찬대 간신중 간신,True,1,2025-03-13T09:46:06+0900,853777185817755683,2,0,0
woos****,3QNT6,국힘 해산하면 말그대로 북한식 1당 독재네 ㅋㅋㅋ 재미있겠다 ㅋㅋ 그렇게 되기전에 내가 힘들게 모은돈 나라에 뺏기기 전에 언능 이민준비해야 겠다 ㅋㅋ,True,1,2025-03-13T09:39:12+0900,853776740936319070,2,0,0
dusa****,4kBli,"그래 양당해산 걸고 국민투표 한번해보자. 국민투표에 지는당은 깔끔하게 해산하는걸로.
1)국민의힘 해산 2)민주당해산 3) 양당모두해산 요걸로",True,1,2025-03-13T09:33:58+0900,853776404083376545,2,0,0
kimp****,,,False,1,2025-03-13T16:55:44+0900,853804863979520363,0,0,1
kdj1****,wCMa,"현행 헌법재판소법엔 ‘정당의 목적이나 활동이 민주적 기본질서에 위배될 때 정부가 국무회의의 심의를 거쳐 헌법재판소에 정당해산심판을 청구할 수 있다’고 규정하고 있다.""
법 조문을 상세히 입법해야한다.  ""청구할수있다"" 를 ""즉시 청구한다""로 개정하라.",True,1,2025-03-13T14:52:23+0900,853796917635711158,1,0,0
8679****,faM4,국민의 힘이요? 왜요? 더불어 한심당도 존치하는 마당에...,True,1,2025-03-13T14:16:42+0900,853794618687357244,1,0,1
stee****,,,False,1,2025-03-13T11:46:05+0900,853784915081166900,0,0,0
weir****,,,False,1,2025-03-13T11:15:52+0900,853782968387240301,0,0,0
drph****,6xx7R,더보러 토착 간첩단,True,1,2025-03-13T11:04:11+0900,853782216046542955,1,0,0
lifl****,cygAQ,국회 해산,True,1,2025-03-13T11:01:49+0900,853782063541649796,1,0,0
dowa****,,,False,1,2025-03-13T10:47:21+0900,853781131483414699,0,0,0
skdh****,CWFc,코딱지-찬대네 식솔들아!!!....네 애비가 남의 코딱지 파주면서 먹고사는데 잘해줘라?????........ㅉㅉㅉ,True,1,2025-03-13T10:33:56+0900,853780267406459303,1,0,0
hak6****,zYed,찬대야 너가 탄핵뜻을 알고 탄핵 탄핵하는지 여기 대한민국이다 더블어공산당 아닌다,True,1,2025-03-13T10:28:20+0900,853779906830532781,1,0,0
insu****,176Ek,"더블어공산당.더블어탄핵당,더블어만진당,더블어간첩당,더블어범죄당 더블어개딸당 등
도대체 이름이 몇개야? 더블어민주당은 해체가 답이다
다음 국개의원 선거는 반드시 수개표로 진행하여 더블어간첩당을 북조선으로 보내주마",True,1,2025-03-13T10:25:30+0900,853779724244091084,1,0,0
chg6****,14RXR,민주당 해산,True,1,2025-03-13T10:20:56+0900,853779429099307483,1,0,0
hosa****,,,False,1,2025-03-13T10:20:30+0900,853779401198797038,0,0,0
mdfo****,,,False,1,2025-03-13T10:16:45+0900,853779159925653840,0,0,0
hwl0****,mF7B,"사돈 남말하네,  더불어내란당이야말로 즉각 해산해라, 국민의 명령이다.",True,1,2025-03-13T10:11:53+0900,853778846023942535,1,0,0
gby7****,2QlNZ,"찬대야, 니가 헌재 재판관 해라. 그리고 민주당이 헌재를 대신해라.
헌법재판소가 그렇다고 판결했으면 그런 것이지 뭔 말이 많아?
민주당이 헌재냐? 다수당이라고 헌법위에 군림할라고 하네?",True,1,2025-03-13T10:11:20+0900,853778811160887484,1,0,0
