user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
blue****,KFLl,29번의 탄핵남발로 대한민국을 마비시킨 민주당이 바로 내란 세력이다.,True,1,2025-03-13T12:58:41+0900,853789592703205659,1530,278,38
nfho****,23qzs,사이비교주 같은 사악한 일제샴푸남 이죄명의 방탄을 위해 대한민국을 망하도록 29번의 탄핵을 시키고도 아직도 더불어내란유발당과 이죄명은 거짓선동중 ~,True,1,2025-03-13T12:58:01+0900,853789549518651408,548,58,9
ol******,1UIi8,"탄핵된다고 해도 내란죄는 성립하기 어려운데 왜 좌파들은 내라내란 거리는거임?
후쿠시마 오염수도 오염수 오염수 거리더니 결국 아무 문제 없이 회만 잘 쳐먹고. 좌파 지지는 걍 지능 딸리는 애들 모임 확정 아니냐 이쯤되면?",True,1,2025-03-13T13:01:14+0900,853789756750823536,530,61,16
mong****,3ICSX,얼마나 말도 안되는걸로 탄핵질 해댔으면 헌재 느그법 연구회 애들조차 등을 돌림 ㅋㅋ 걔들도 최소한 법관인데 민주당 하는 개소리에 들러리가 될 순 없다는거지. 윤석열 탄핵건도 각하가 나와야 하고 형사재판은 공소기각될 수 밖에 없다. 정상적인 법관들 판단이라면,True,1,2025-03-13T13:01:38+0900,853789782201860361,373,39,13
yuho****,2l22p,"""조국을 구하는 자는 어떤 법도 위반하지 않는다."" &lt;나폴레옹&gt; 윤석열의 계엄은 대통령의 통치권이고 정당하다!",True,1,2025-03-13T12:59:02+0900,853789615369224213,263,75,14
hpla****,67uc,나라가 국가 비상사태인지 아닌지 판단하는것은 오로지 대통령의 권한이다. 그런 판단하라고 국민이 직접 뽑아준거다. 그런데 그런 판단을 내란이라구 하는것은 위헌적인 발상이며 대의민주주의를 부정하는 것이다. 29번 줄탄핵이 국정을 마비시키려는 음흉한 목적임에 분명한바 이것을 국가비상사태라 보는것은 대통령의 권한이다. 누구도 대신 판단할수 없다. 따라서 이런 판단에 의거하여 대통령의 고유권한인 계엄령을 선포한것도 합법인것이다.,True,1,2025-03-13T13:09:54+0900,853790315616665976,43,6,0
wide****,36FCV,29건의 줄탄핵으로 직무 정지됐는데 국정 마비가 아니라는 추잡하고 교활한 궤변을 늘어놓네. 이재명은 교도소로 민주당은 해체가 답이다!,True,1,2025-03-13T13:11:32+0900,853790419987726556,37,3,1
kaj0****,1Rljs,"왜 민주당은 이럴까요?
전국민들은 사는게 너무 힘들어 하고 있는데 도대체 그들은 이재명 대통령 만들기에 혈안이 되서 국정을 마비 시키는걸까 우리 국민들은 잘살고 싶습니다 제발 정치하는사람들 정신 차리시길 바랍니다 이러다가 진짜 우리 모두죽습니다 다른나라들은 지금 난리인데 왜 우리나라 는 정치권이 정신을 못차리는 걸까 제발 국민들 보기 부끄러운줄 알기를 ~
국민들이 정치권을 바라보면서 왜 국민이 부끄러워야 하는지~  왜 국민이 정치 걱정을 해야하는지 묻고싶습니다",True,1,2025-03-13T13:23:41+0900,853791203232055598,33,3,4
mint****,2bUl0C,알고보니 민주당이 국가 전복 세력이였네..,True,1,2025-03-13T13:17:52+0900,853790828009619810,30,2,0
ybki****,2SJja,"""""냬란은 더부러 민쥬당이 저질렀다""""부졍성거를 감추려는 헌볍쟤판소가 더부러민쥬당의 사쥬에 따라서 움직인다""""부졍성거의 증거를 다 감추려는 헌볍쟤판소의 엽기적인 행태를 보라""""""""또한 아무 죄없는 이진숙 방통 위원장을 출근한지 이틀뿐인데 헌볍쟤판관 절반이 그녀를 탄핵을 했는데 윤통은 어쩌겠는가?"" """"다"""" 특히 '헌볍쟤판소의 문헁베""이미션""졍졍미""졍걔선 악질중 악질임""""""""""더부러민쥬당 앞잡이인"" 뻘계이 헌볍쟤판관 4인 문헁뱨 행번방 변턔와 , 정졍미, 정걔산, 이미션(주식35억) 이런것들이 댸통령을 재판한다니 걔가 웃것다""""",True,1,2025-03-13T13:16:24+0900,853790734241759406,22,1,0
hand****,1pV5z,윤통의  말이 맞는거잖아~ 무책임한 탄핵 남발로 국정이 마비된게 맞는거네. 국정을 마비시키기 위해 탄핵을 남발했다면 그게 진짜 내란이잖아~,True,1,2025-03-13T13:11:19+0900,853790406263963774,22,6,1
arom****,2MQgw,대통령을 불법체포하고 감금해서 정권탈취를 노린게 쿠테타 아닌가? 쿠테타 수괴 찢재명이를 당장 체포구속해라!!,True,1,2025-03-13T13:22:43+0900,853791141206688069,17,1,0
hsko****,2xckk,묻지마탄핵으로 국정을 마비시킨 민주당을 내란당으로 수사해라,True,1,2025-03-13T13:33:11+0900,853791815516553290,15,0,0
papa****,9s2E9,쓸데없는줄탄핵ㆍ비용은국민이ᆢ민주당 돈 내놔!,True,1,2025-03-13T13:26:59+0900,853791416252367297,17,3,0
leem****,3R582,"실체적 국정마비,  심리적 국정마비...공황적 국정마비를 초래한 줄탄핵 29이었다...29번째까지 탄핵을 당하면심리적으로 공황상태, 마비 상태는 당연한 것이다.  더부러 뱀당은 뱀의 혀를 놀리지 마라",True,1,2025-03-13T13:11:59+0900,853790449163305405,13,0,0
zxzx****,,,False,1,2025-03-13T14:18:21+0900,853794725189124270,0,0,0
over****,nExh,제가 보기엔 민주당이 국가의 질서와 안녕을 해치는 내란과 선동을 일삼는것 같습니다.,True,1,2025-03-13T14:08:16+0900,853794075206221945,12,1,0
