user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ikt0****,1UPTN,"(대한민국 공산화망조!)민주당이 중심으로 동원해서 모인 탄핵찬성집회의 참여단체깃발 종류1. 마르크스-레닌 및 제게바라. 2. 망치와 낫모양의 맑스주의 3. 볼셰비키 깃발. 4. 사회주의전진. 5. 사회주의정당. 6.자주연합(북한식). 7. 전위공산주의적 미래주의 연합. 8. 팔레스타인깃팔. 9. 무지개LGBT)(성소수자연합) 10. 자유공주주의연연맹(페미단체). 북한지령으로 움직이 민주노총과 한몸인 이재명과 민주당을 더불어공산당인 이유입니다. 이재명이 대통령이 되는 순간, 북한과 연방제통일이며 여러분의 자유민주주의는 종말입니다.",True,1,2025-03-14T21:36:07+0900,853915698764709925,111,21,15
park****,,,False,1,2025-03-14T21:41:48+0900,853916065397211399,0,0,5
brad****,6hR5I,벌써 기각됐다.,True,1,2025-03-14T21:35:57+0900,853915688849375508,38,9,3
park****,,,False,1,2025-03-14T21:45:00+0900,853916272025403400,0,0,0
bell****,2YXLk,윤석열대통령  같은  사람이 한 명 뿐인게 참 아쉽다.~~!!! 검찰 총장도.**헌재판사도. *선관위도 공수처도* 윤석열대통령과 같은 능력과 인성이 있는 분이 자리하셨으면~  나라가 참 정의롭게 돌아갔을텐데,True,1,2025-03-14T21:45:31+0900,853916304908746909,30,12,0
what****,,,False,1,2025-03-14T21:50:46+0900,853916642650882270,0,0,0
caro****,1YP9r,윤석열 대통령의 탄핵기각을 기원합니다,True,1,2025-03-14T21:58:52+0900,853917164606849252,6,1,0
onda****,33fNb,상식적이지 않은 이상한 사람들이 너무 많다.,True,1,2025-03-14T22:32:51+0900,853919354184532228,3,0,1
seou****,1rhDQ,탄핵은 북한 민주공화국 정은이와 중공진핑이가 선동시작한 원조. 민주당민주노총 지령받고 지금까지 난리발광,True,1,2025-03-14T22:20:14+0900,853918541311639632,3,0,0
glor****,5Dw1O,자유대학 멸공 화이팅 🇰🇷헌재는 내란죄뺐으니 당연히 각하다,True,1,2025-03-14T21:41:00+0900,853916014327365638,3,0,0
mbsk****,5Aoe6,찢짜이밍 구속이 먼저다,True,1,2025-03-14T22:23:47+0900,853918769817321711,4,2,0
rain****,2EEJW,이미 각하지. 탄핵심판 자체가 불가하다.,True,1,2025-03-14T22:14:30+0900,853918171592130705,2,0,0
carm****,,,False,1,2025-03-14T22:07:31+0900,853917722063405204,0,0,0
insi****,1dgns,연합뉴스 어이없네 사진 정반대로 또 올린다…,True,1,2025-03-14T21:58:52+0900,853917164657180928,2,0,1
mkb2****,7mzad,헌법재판소가 탄핵을 히던지 기각을 하던지 공정하게 판결 할수 있도록 여야당 정치권은 지지자들을 선동하지 말고 조용히 있어야 한다. 그리고 탄핵이 어디로 판결나던 탄핵결과에 대해서는 여야당은 물론이고 국민모두가 깨끗하게 승복하고 분열된 국가혼란을 막아야한다. 자유민주 대한민국이 대통령 탄핵심판 결과로 국론이 분열돼서 망하는것은 누구도 원치 않을 것이다.,True,1,2025-03-14T21:55:02+0900,853916918350872589,2,0,0
