user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
khgz****,1DSdh,내일이라도 좋으니 얼른 선고 합시다. 기다리기 너무 힘듭니다!,True,1,2025-03-17T09:04:48+0900,854145609622356224,112,20,9
dkfh****,enmLg,배급견이란 무엇인가? 배급 + 개(견) 으로써 1찍 민주당 지지자를 뜻한다. 이들은 2만5천원만 배급해준다고 해도 헥헥거리면서 이재명 사랑해요!!! 외치는데 최근에 이재명이 발표한 25만원에는 아주 눈알이 돌아버리면서 헥헥을 넘어서서 침까지 질질흘려버린다. 침 질질 흘리면서 몹시 흥분한 상태로 25만원을 배급해달라고 짖는다. 하지만 배급견들은 무지하고 아둔한 개(강아지)이거나 화짱조간첩둘중하나이다. 좌파 유행지났는데도 아직 유행 지났는지 모르는 이들을 배급견이라고 칭한다,True,1,2025-03-17T09:25:16+0900,854146927975989350,85,31,13
wpdl****,,,False,1,2025-03-17T09:22:07+0900,854146725860868134,0,0,3
wbbq****,135iK,상식적으로 생각해도 각하하고 바로 찢재명 구속에 문재앙 사형 해야하는거 아님?,True,1,2025-03-17T09:23:46+0900,854146831674769727,31,9,3
hsb1****,6rPe7,당연히 기각 또는 각하!  반국가세력 척결하자!!!,True,1,2025-03-17T09:27:57+0900,854147101402071390,36,21,2
mira****,a500b,탄핵 기각이라고 소문이 자자한데 맞나요??^^❤️드뎌 나라가 정상으로~~~~이젠 줄탄핵 사기탄핵 절대 못하겠네👍,True,1,2025-03-17T09:26:58+0900,854147037833200015,30,21,4
rnab****,5brUn,곧 당당하게 돌아오실 윤대통령을 보고싶다면 공감 / 보기싫다면 비공감 댓글여조 ㄱㄱㄱ,True,1,2025-03-17T09:33:13+0900,854147440889036865,17,8,0
joyf****,1Mqkd,26일날 이재명 빵에 가는거 맞지. 지금 쫄아서 나오지도 않어,True,1,2025-03-17T09:30:28+0900,854147263151210673,10,2,0
gnhi****,dmwSm,내란죄 뺀 사기탄핵,True,1,2025-03-17T09:20:44+0900,854146636136317192,10,2,0
yon1****,1Twyf,"또 화짱조들 난리구만.. 니네 나라가서 놀아~
無論雨怎麼打

自由仍是會開花

但有一樣是永遠不會變

忘記自己的根

​

忘不了的 年月也不會蠶蝕

心中深處始終也記憶那年那夕

曾經痛惜 年月裏轉化為力

一點真理 一個理想永遠地尋覓

悠悠長長繼續前航不懂去驚怕

荊荊棘棘通通斬去不必多看它

浮浮沉沉昨日人群雖不說一話

不想清楚分析太多真心抑意假

但有一個夢 不會死 記著吧

無論雨怎麼打 自由仍是會開花

但有一個夢 不會死 記著吧

來自你我的心 記著吧

忘不了的 留下了不死意識

深深相信始終會變真某年某夕

如此訊息 仍賴你跟我全力

加一把勁 將這理想繼續在尋覓",True,1,2025-03-17T09:28:49+0900,854147157152760153,7,0,2
sun0****,3PaV4,"재판관들 국민이 무서워 철조망??
니들 역사에 죄를 짓지는 말아야.. 광명을 찾을수 있다 박근혜대통령때 재판관들 봐라 죄를 짓고는 돌아 다니지 못하고 있다  사기탄핵 당연히 각하다!",True,1,2025-03-17T09:35:05+0900,854147560342814761,4,0,0
not-****,7AuIs,"어디가 보수냐.
지들 권력에 눈이 멀어서 . 지들도 같이 끌려갈까보ㅏ
썩은 동아줄이라도 잡아서 꾸역꾸역 살아가는 돼지 집단 같아 보이는데",True,1,2025-03-17T09:15:56+0900,854146327083221320,18,15,3
jeje****,6z3fx,사기탄핵 기각하라!!! 더불어공산당 해산!!! 찢재명 구속!!!!,True,1,2025-03-17T09:17:36+0900,854146434709061815,12,9,0
qeqe****,2WLd7,기각입니다  홧팅,True,1,2025-03-17T09:32:30+0900,854147393946386637,3,0,0
glas****,2IXWq,민노총 간첩부대들 동원?,True,1,2025-03-17T09:31:14+0900,854147312560111708,3,0,0
toto****,2d28AN,헌재가 소를 잡아잡쉈나??? 대체 언제까지 입다물고 있을거야? 언제까지 윤석열 내란범을 그대로 둘거야?,True,1,2025-03-17T16:15:45+0900,854173373096263998,2,0,0
pyni****,,,False,1,2025-03-17T11:52:54+0900,854156439399170412,0,0,0
