user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ski6****,2vWOx,국회에서 내란으로 탄핵선동해놓고 헌재가서는 내란을뺀게 더불어것들의 패착이었다.내란이아니면 윤통이 헌재에갈일도없었지.,True,1,2025-03-19T07:22:05+0900,854324535124557845,594,267,40
wide****,36FCV,"어제 안된 게 오늘 되겠냐. 이재명 구속하고 이후에 하려는 거다. 사기탄핵 기각! 이재명 구속, 민주당 해체!",True,1,2025-03-19T07:06:02+0900,854323501295730695,1007,720,49
hotp****,bemSY,"민주당은 이재명이나 혹시, 꼭 이재명이 아니더라도 어떻게든 본인들이 속한 민주당에 누구라도 정권을 꼭 잡기 위해서 윤석열 대통령을 악착같이 탄핵시킬려고 발악을 할뿐만 아니라, 무려 29번씩이나 탄핵을 남발하고, 헌법재판관 6명에서 2명을 더 임명한것도 모잘라 마은혁 후보까지 헌법재판관으로 임명하라고 말하고 있고, 마은혁 후보를 임명 안할경우에 최상목 대행까지도 탄핵시키고 싶은 마음이 있고, 이재명은 본인이 정권을 꼭 잡고 싶어서 아주 안달이 났으니 민주당과 이재명이 내란세력이 맞고, 이재명이 내란수괴 맞습니다.",True,1,2025-03-19T07:07:10+0900,854323573655863322,403,161,11
sgki****,epdQq,각하상황이라 설득하는중 인용이면 벌써발표했을거다,True,1,2025-03-19T07:18:03+0900,854324275379699719,304,129,13
netk****,2xev8,안될각이다. 될거면 진즉에 끝났다.,True,1,2025-03-19T07:17:15+0900,854324223252889650,145,54,12
juni****,S5JQ,전국민이 불법 저지르는걸 생중계로 봤는데... 기가찬다 진짜.,True,1,2025-03-19T08:06:26+0900,854327392401883263,79,36,11
nupt****,cwkiD,"다들 미친거 아니냐??? 상식적으로 군대를 동원해서 친위쿠테타 하면서 국회해산및 의원체포를 시도하다가 실패한건데, 당연히 탄핵에 파면인걸 뭔 넘의 시간을 끄는건지...이죄명이야 당연히 구속시키고 지은 범죄 처벌해야 맞지만...썩열이 놈은 진즉에 처넣고 온갖 사건 비리 조사해서 처벌해야 하는게 상식에 맞는거다!!!  지하고 지 마누라가 벌인 범죄 덮자고 계엄선포에 신성한 군대 동원해 범죄 저지르고 단 하나도 인정하지 않고 부하들에게 책임을 떠 넘기는 놈을 비호하냐???",True,1,2025-03-19T08:06:19+0900,854327384415928408,79,38,11
god2****,JmBi,어차피 늦는거 찢재명 깜빵 보내고 해도 늦지 안다,True,1,2025-03-19T07:52:02+0900,854326464001081356,38,7,0
chks****,13xj8,전과4범부터 구속하고 해라! 그게답이다.,True,1,2025-03-19T07:50:58+0900,854326395919139080,38,9,0
klaw****,qgsZ,헌재는 오늘 반드시 선고일자를 공지해야한다. 선고일자는 늦어도 3월 21일까지다. 정말 하루하루가 엄청 힘들다. 윤석열이가 경제를 폭망시켜서 너무 힘드니까 빨리 끝내고 새출발해야 경제도 살아날것이다.,True,1,2025-03-19T08:02:26+0900,854327134653513848,51,23,5
