user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cho2****,32iU8,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지 재판은 무슨 우주에서 재판받냐? 참 정치인 하려면 철판 몇겹으로 깔고 살아야하는 건지 ㅉㅉ,True,1,2025-03-19T11:31:35+0900,854340609257767166,72,7,5
yesk****,2yTL6,이재명 대표의 재판이 시작되어 구속 먼저!,True,1,2025-03-19T11:35:33+0900,854340864321781997,34,5,0
wide****,36FCV,전투기 오폭은 이런 곳에 하는 거다...라고 얘기하고 싶다.,True,1,2025-03-19T11:35:41+0900,854340873213706510,24,2,2
khki****,TgK8,한 인간 감싼다고 애들 쓴다,True,1,2025-03-19T11:35:46+0900,854340878666301744,20,0,0
suh5****,b0fL,"문제는 20  30  여성들이  돌아서고  있다는데  불안감이  증폭된다는데  있다
왜냐하면  20  30  여성들은  

  현시국을  보여주는  바로미터인갑다",True,1,2025-03-19T12:21:23+0900,854343817162129594,10,1,1
00kk****,6C3RP,이죄명 구속도 이렇게 시간끌어야 되는일인가,True,1,2025-03-20T14:19:39+0900,854444208264577306,3,0,0
nety****,,,False,1,2025-03-19T11:37:39+0900,854340999328039209,0,0,0
kg-3****,8QXAt,"이재명재판만 하랴, 나라와 국민은 안중에도 없고, 오로지 찢재명 방탄만 위해 온갖수단과 방법을 동원하는 인간들아, 하루라도 인간답게 살아라,",True,1,2025-03-19T11:37:11+0900,854340969816916056,3,0,0
jwco****,2ZkM0,탄핵 기각은 헌법수호 !,True,1,2025-03-19T13:57:45+0900,854350025470247251,4,2,5
iste****,9pTLt,정신 나간  인간들만  가득,True,1,2025-03-19T20:55:08+0900,854376915354517547,2,0,0
yozz****,,,False,1,2025-03-19T12:47:41+0900,854345511207960847,0,0,0
rich****,eaFX,응~ 인민 재판 하려다 이리 됨!,True,1,2025-03-19T11:46:58+0900,854341600237584805,2,0,0
iras****,3eYNh,찢님 재판은 그렇게 오래 끌 일이었나...? 후딱 징역 때리고 끝내면 될 거 같은데....,True,1,2025-03-19T11:41:16+0900,854341233185652880,2,0,0
k2hu****,1SFHH,역적놈 윤새끼 치우는게 이렇게 시간 끌  일인가  역적놈 윤새끼  이미 끝난  새끼인데,True,1,2025-03-22T12:21:31+0900,854622139867725975,2,1,0
kill****,DAhU,이재명 이 좌불안석.똥줄타는구나 ㅎㅎ,True,1,2025-03-19T21:56:26+0900,854380864409174174,2,1,0
gysk****,3L7PW,이러니 국민들이 계엄령 취소시킨거에 감사하면서도 등을 돌리지. 이 한심한 민주당들아.,True,1,2025-03-19T21:33:53+0900,854379411351273773,2,1,0
sjcb****,3HmQc,"그럼 너희당 대방은 지금 정치하면 안될사람이다.장난치는것도 아니고 이제것 재판을 얼마나
질질 시간을끈사람이 누구인지 ?",True,1,2025-03-20T21:58:24+0900,854473762387525864,1,0,0
sjea****,,,False,1,2025-03-20T13:31:52+0900,854441129393783152,0,0,0
fusi****,1CA0b,"이건 정당이 아니라 국가 전복세력, 내란세력, 매국노 범죄집단이다.",True,1,2025-03-20T08:14:51+0900,854420705565999311,1,0,0
dald****,2wBEZ,"10재명이 위증교사, 공직선거법 위반, 대장동 주범, 대북 불법 송금 재판 끝내고 대통령 탄핵 선고 해야 정상이다.",True,1,2025-03-19T20:27:15+0900,854375119101886554,1,0,0
fa08****,3AtT8,그럴거면 그냥 헌제를 없애고 늬들끼리 판결하지....? 뭐하려고 삼권분립을 하지?,True,1,2025-03-19T13:07:43+0900,854346801879187739,1,0,0
