user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yum1****,,,False,1,2025-03-20T07:05:18+0900,854416224791035966,0,0,29
dyyo****,,,False,1,2025-03-20T07:20:47+0900,854417223035388038,0,0,2
park****,3l72u,"저 시민단체는 고 박원순 시장 시절 관변단체 라고  꿀 빨던 어용 집단들이거늘...
민주당 하수인 짓거리 그만들 하라구!",True,1,2025-03-20T07:26:31+0900,854417592335466606,43,6,4
kimc****,5liLf,410 총선 서울 모 선거구 재검표와 서버검증이 결정되었다고 합니다. 대통령이 계엄으로도 헌재의 거부로 막힌 부정선거 의혹은 반드시 조사해서 나라 바로세우고 참정권 찾아야 합니다. 그리고 무소불위 선관위 부패는 망국의 징조입니다. STOP THE STEAL,True,1,2025-03-20T07:08:16+0900,854416416219070512,50,21,8
okmi****,2GJgx,헌재가 불법 탈법적인 졸속심리를 하더니...결국 이런 꼴이..다 그 대행의 짓인 것 같네...당장 각하시켜라!!,True,1,2025-03-20T07:54:05+0900,854419367381696531,22,3,0
cmh0****,3C7c1,늦어진다는 자체가 정말 넌센스구만.. 국민들의 맘과 나라를 걱정한다면 이게 왜 늦어지나....... 역사에 남을 을사오적이 되지 말고 빠르고 제대로 된 판단 내려라 ㅉㅉㅉ,True,1,2025-03-20T07:12:39+0900,854416698814496872,7,3,0
seoj****,,,False,1,2025-03-20T07:21:08+0900,854417245567189024,0,0,1
aceo****,,,False,1,2025-03-20T07:04:51+0900,854416196202659989,0,0,0
mj-g****,afS4M,빨리좀 선고 해라...초딩들도 똥인지 된장인지 알겟구만...나라 망하고 나서 선고 할래?,True,1,2025-03-20T08:42:13+0900,854422468952064076,3,0,0
wan1****,3oNXW,펙트 찬성쪽은 민노총을 필두로 대진연 전교조 페미니스트 모였고 반대쪽은 자발적으로 모임,True,1,2025-03-20T12:14:36+0900,854436152063557860,2,0,0
seoe****,6v2bt,6.25 이후에 남아있는 잔류 공산주의자들을 북한으로 보내지 않고 남한 내에서 자율적으로 처리하려고 했지만 이에 실패했던 부작용이 21세기 들어와서 이제 터지는거라고 봐야함.. 저거 어떡할거야 공산주의자들 ㅉㅉ 이제와서 북송시킬수도 없고 에휴..,True,1,2025-03-20T09:19:56+0900,854424898645262704,2,0,0
sm55****,10QBJ,헌법재판소는 나라가 이렇게 혼란스러운데 남의 일처럼 저러고 잇는거냐?  빨리 끝냅시다,True,1,2025-03-20T08:46:12+0900,854422725492473928,2,0,0
rjad****,dFW0S,행정부를 신뢰할수없고.검찰도 신뢰할수없고 법원마져 신뢰할수없으면 이나라 국민은 어찌 살란말이냐!!국민들 피를 말려 죽일작정이냐!!,True,1,2025-03-20T08:45:45+0900,854422696065237218,2,0,0
jise****,sGk5,결과 늦어지는거보니 인용으로 가는듯.. 비상계엄이 워낙커서 인용은하지만 이재명 재판때문에 최대한 늦게 발표하려고 하는거같은데,True,1,2025-03-20T08:32:36+0900,854421849050710209,2,0,0
eart****,pxo6,세계적 망신 그 자체,True,1,2025-03-20T22:38:04+0900,854476318010507292,1,0,0
dkss****,6UnN,제대로 돌아가고 기능하는 국가기관이 없다ㅋㅋㅋ 헌재조차 신선놀음하고 자빠졌으니 나라가 이미 대충 망한 수준이다ㅉㅉ,True,1,2025-03-20T09:18:04+0900,854424778621059105,1,0,0
p_se****,,,False,1,2025-03-20T09:08:15+0900,854424146539446361,0,0,3
yjsh****,,,False,1,2025-03-20T08:53:36+0900,854423202200289496,0,0,0
2011****,4q3Wv,왜???행배???살길 ....18일 도망???법대로 해라,True,1,2025-03-20T08:37:00+0900,854422132652769281,1,0,0
qnsg****,3CmXi,"진보측에서는, 윤석열 계엄 내란범을 절대 용서치 못할 것이다",True,1,2025-03-20T08:14:16+0900,854420668404465740,1,0,1
luck****,,,False,1,2025-03-20T08:10:06+0900,854420400069672992,0,0,0
