user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cthw****,28yZF,오로지 정권을 탈취하기 위해 국가 존립이나 국민 경제 따위는 안중에도 없는 상설내란집단 민주당의 폭거가 도를 넘었다. 국회 해산권 없는 대통령이 계엄 선포로 이를 막아보려 했는데 오히려 이를 내란이라니 어처구니가 없네! 헌재는 하루 빨리 탄핵 기각하고 대통령을 복귀시켜야 한다. 이재명은 오는 26일 선고에서 법정 구속이 나라를 살리는 길로 판사들의 결단을 바란다.,True,1,2025-03-21T17:39:12+0900,854549835334811724,145,30,8
what****,,,False,1,2025-03-21T17:35:10+0900,854549575623508024,0,0,5
hann****,UYPk,이정도면 내란죄 주범 찢,True,1,2025-03-21T17:44:16+0900,854550161534222465,59,10,1
s110****,,,False,1,2025-03-21T17:46:47+0900,854550324105445723,0,0,0
pitc****,5Rf41,⚠️ 북・중・러 공산진영 두둔하면서 정권 침탈 시도하는 종북 주사파 더불어공산당이 내란수괴인 거 아직도 모르는 인간이 있냐?? 화짱조도 아니고 오리지널 한국인들은 정신 차려라!,True,1,2025-03-21T17:38:39+0900,854549799347683562,39,6,0
chox****,1jIde,이죄명.우원식이 내란죄 주범,True,1,2025-03-21T17:36:18+0900,854549648705060970,11,2,0
dki7****,nDYH,이러니 계엄할수밖에,True,1,2025-03-21T18:31:53+0900,854553228879069488,8,0,0
19az****,9m4p1,조폭 깡패집단은 귀신이 마귀가 씌였다 내란집단 위헌정당 해산신청하라 더는 안된다,True,1,2025-03-21T17:42:58+0900,854550077211935100,8,0,0
jfdd****,,,False,1,2025-03-21T21:16:02+0900,854563804531392521,0,0,0
yn86****,6kv1F,"민주당 나라 망하길 원하냐!
  내란당민주당 공산스럽다.",True,1,2025-03-21T18:24:37+0900,854552760761188543,5,0,0
hjan****,mgEO,진짜 내란이 누구냐 민주당 하는짓이 나라 망치기 원하는 집단이 아니냐?,True,1,2025-03-21T18:18:12+0900,854552347957788750,5,0,0
lees****,31d0S,민주당이 내란수괴!,True,1,2025-03-21T19:48:43+0900,854558178543665391,4,0,0
jeey****,18E9r,민주당은 나라와 국민을 위한 일은 왜안하나요?  150석 차지하고서 나라를 망가트리고 있네요. 진짜 내란범이네요.,True,1,2025-03-21T18:58:55+0900,854554970941292826,4,0,0
coni****,4V4mh,"대한민국이 민주당의놀음에 망국으로가던지말던지 우덜말안들으면 탄핵에 고소고발 
민주당나라냐 해체해라 더불어공산당아",True,1,2025-03-21T18:05:44+0900,854551544446583010,4,0,0
cuzl****,lh2y,"도데체 민주당은 국민을 위해 하는일이 뭐가 있음??
이재명 방탄만을 위해 나라를 어지럽히고!! 정말 신물 난다! 작작하고 해산하길~ 내란당은 너희 인민주당이다!",True,1,2025-03-21T18:02:54+0900,854551362296349006,4,0,0
stud****,,,False,1,2025-03-22T00:08:29+0900,854574914890367104,0,0,0
grac****,17GaJ,민주당은 이재명 방탄을 위해 뭐든 다하네 민주당이 내란당이다,True,1,2025-03-21T17:57:49+0900,854551033932677405,3,0,0
ssy0****,akrPC,최상목에 경제로 뭘했는데 ㅋㅋㅋ 개 웃기고 자빠졌네. 헌재가 지금 선고늦추면서 경제를 얼마나 말아먹었냐? 윤석열도 계엄으로 나라 경제를 얼마나 말아먹고,True,1,2025-03-21T23:42:01+0900,854573209670909963,2,0,0
mbol****,1bVgr,"기사제목 꼬라지보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
헌법을 파괴하는데 가만 냅두리??
야5당이 미쳤다고 탄핵하겠냐 내란범들 잡아들여야지",True,1,2025-03-21T21:54:23+0900,854566274959671424,2,0,0
lulu****,2bNuER,진찌 헷갈리네 이제 누가 내란범이냐 전부 케이블타이로 묶고 야구 빠따질을.해야.정신 차리지,True,1,2025-03-21T17:51:48+0900,854550646748086578,2,0,0
yeli****,dDVHn,최대행 없는게 경제에 유익하다,True,1,2025-03-21T17:36:16+0900,854549646524022891,2,0,0
yuns****,8K9yi,뭐 까는 소리 좀 작작해라. 헌재에서 위헌이라고 결정났는데도 안하니까 탄핵하는거지. 몇번이나 헌재결정 따르라고 기회를 줬는데 그냥 배째라고 한놈을 탄핵하는게 왜 잘못이냐. 지는 헌법 개무시하면서 국민들한테 헌재결정에 따르라고 하는게 정상이냐. 내가 진짜 저 면상만 보면 천불이나서. 되도 않는거로 또 프레임 씌우려고 연병을 떠네. 그리고 이 나라 경제 망친게 윤석열이랑 경제부총리인 최상목인데 뭔 최상목이 있으면 경제 살아날것처럼. 경제 살릴라면 빨리 윤석열 탄핵하고 나라 정상화하는게 맞는거지. 지들 살려고 난장까면서 나라위하는척은,True,1,2025-03-21T21:54:45+0900,854566299001422046,3,2,0
jump****,2cQuZ,"최상목이가 뭘 했는데 물가를 잡았냐?
소상공인을 살렸냐. 
최상목이는 목에 힘주고 
대통령 놀이한 것 밖에 없다.",True,1,2025-03-22T08:59:20+0900,854609114607648822,1,0,0
biok****,,,False,1,2025-03-22T01:51:21+0900,854581541488033834,0,0,1
kimt****,1VtPa,ㅎㅎ 완전히 돌아 부렀네  오메  더불어 범죄단아   북 여정이 명령이 안먹히니 리선권 동무가 특별 명령 내렸나 보네 ㅋㅋ 니들에게  190석 만들어 준 북 여정이 야마 돌았다.  준비 하고 있어라 ㅋㅋㅋ,True,1,2025-03-21T23:55:15+0900,854574061852819524,1,0,0
secu****,3ltMl,국민을 볼모로 반란수괴들이 탄핵을 피하려고 하네. 경제는 탄핵정국이 끝나면 당연히 살아난다. 제발 빨리 나가라,True,1,2025-03-21T23:48:06+0900,854573601569898527,1,0,0
plec****,49mYM,"그렇게 경제를 생각하는 자들이 쿠데타 내란을 일으키고 거기에 동조하셔. 누구 때문에 경제가 하락하고 있는데? 자기 자신을 모르고, 자기 죄를 남에게 덧 쒸우는 데는 아주 그냥 선수들.",True,1,2025-03-21T23:30:42+0900,854572480382107848,1,0,0
3379****,,,False,1,2025-03-21T23:08:01+0900,854571018952376325,0,0,0
pds4****,32IxR,"나라야 어찌되든 상관하지 않고 오로지 죄명정권만 추구하는 똘마니 민주당과 추종세력들, 진짜 내란세력은 얘들이래요! 요즘 죄명이 완존 거북목이던데~",True,1,2025-03-21T22:31:21+0900,854568656200269940,1,0,0
kevi****,JEfq,"민주당 은 진짜 한국인들이 아니야
 북한이나 중공 지령받은 놈들이지
  도대체 뭐하자는거지?",True,1,2025-03-21T22:14:58+0900,854567600879829299,1,0,0
happ****,XlvB,더불어 공산당의 목적은 대한민국의 전복이다.,True,1,2025-03-21T22:06:03+0900,854567026243403791,1,0,0
choi****,6CBp7,"자신들의 뜻대로 하지 않으면 무조건, 탄핵, ... 그게 전체주의고 그게 공산당이지. 협치와 타협은 개나주고 민주당의 뜻대로만 이나라를 좌지우지 하려고 탄핵카드 맘대로 쓴 민주당은 천벌을 받게 될것이다.",True,1,2025-03-21T21:53:33+0900,854566221205471400,1,0,0
rjsp****,6iYEv,해도해도너무하네.나라를망치려는 민주당과 도적이재명을 우리국민이 단죄합시다!!!,True,1,2025-03-21T21:53:27+0900,854566214897238159,1,0,0
burn****,bvn5A,"파란색들아~ 지금부터가 눈치싸움이다

줄 잘~서라
과연 어디가 본인한테 옳은 길인지 잘~ 생각해보시게~
미래를 위해서 내 가족을 위해서 
과연 지금 이게 맞나 
여기까지만 말할께요
정상인이라면 꼭 잘 생각해내길 빕니다만....",True,1,2025-03-21T21:39:43+0900,854565330687623386,1,0,0
jfdd****,,,False,1,2025-03-21T21:23:15+0900,854564269260275793,0,0,0
romh****,1xhmx,"이것들이 국회의원이라니,,!! 국민을 개 무시하는 나라 망치는 집단이다, 이들을 그냥 둬서는 안된다",True,1,2025-03-21T21:19:22+0900,854564019514638462,1,0,0
bju1****,BngL,"당초부터  내란세력은  더불어민주당인것  같다  ...  하는짓  보면   국가안위는  전혀   고려치 않고
... 정권찬탈에만....    더불어탄핵중독당....",True,1,2025-03-21T21:16:17+0900,854563821006618701,1,0,0
doyo****,1ppG2,여당? 날아가는 새가 똥 싸겠다 혈세 축내며 나라와 국민들을 나락으로 떨어뜨리고 미쿡엔 속보이고 실속없는 조공과 아부외교로 민감국가로 만든 단체가 적반하장도 유분수지!,True,1,2025-03-21T20:24:18+0900,854560471167008866,1,0,0
dddo****,,,False,1,2025-03-21T20:11:14+0900,854559629219201095,0,0,0
jhle****,7q1o0,내란죄는 민주당-00대학교 이00교수 경제학박사-,True,1,2025-03-21T18:42:13+0900,854553894515114069,1,0,0
2756****,2o3Vi,"민쭈당 니가 할말은 아니지
양심이 쫌 있어라
반국가세력",True,1,2025-03-21T18:39:36+0900,854553725803430104,1,0,0
palr****,2nLfu,이런 매국노들을 지지하는 건 대한민국의 공산화 세력과 중국인 밖에 없다.,True,1,2025-03-21T18:23:17+0900,854552675331604586,1,0,0
nmck****,ayMoy,"중도로서 , , 솔직히 한국은 정치꾼들의 쌈질로 박정희대통령 덕택에 이룬 경제성장이 답보상태는 커녕 후퇴할 조짐이 보이므로 누구든 정권을 가지면 최소한 집권기간중엔 반대파를 계엄등으로라도 짓눌러 정치꾼들의 쌈질을 멈춰야만 한국이 발전할수있다 , , 그러므로 윤통의 탄핵을 기각하고  누구든 정권을 잡으면 법으로 집권기간동안만 계엄등의 수단으로 정치꾼들이 쌈질 못하게하자 , 단 계엄등 비상조치를 취한 대통령은 추가로 대통령 될수없게하고 비상조치기한도 다음대선 1년전까지로 한정해서 장기집권 못하게하자 , , ,",True,1,2025-03-21T17:42:10+0900,854550026460856378,1,0,1
kira****,39AV6,"누가내란세력이겠냐? ㅋㅋㅋ 재판결과 나와도 헛소리하는 애들, 헌법지키지 않아도 된다고 헛소리하는 자들이지... 국힘도 정권교체되면 위헌정당해산심판 못면할꺼다~",True,1,2025-03-21T23:03:33+0900,854570731088904392,1,1,0
lj60****,N0Av,헌법을 짓밟는 놈은...  대통령은 커녕  동장 자격도 없는 것이다,True,1,2025-03-21T20:35:10+0900,854561171297009717,1,1,0
