user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
endi****,,,False,1,2025-03-22T09:12:37+0900,854609970245664921,0,0,4
luke****,1xmpL,이 모든게 헌재가 자초한 일이다..  이제 선출직의 탄핵 최종결론은 그냥 국민투표로 하는게 맞다고 본다.,True,1,2025-03-22T09:58:12+0900,854612906560454717,30,6,1
lsch****,ak36o,본인들의 입맛에 맞는 판결이 나오지 않음 큰일 치룰 듯이 설치니 나라가 이 모양 이 꼴이다. 헌재의 판결이 나올 때 까지 얌전히 기다리는 게 법치 국가의 기본이다.,True,1,2025-03-22T09:11:22+0900,854609889916354661,25,4,5
wide****,36FCV,국회에 들어온 전과자는 의원 뱃지 대신에 전과 횟수에 따라 빨간 별을 만들어 왼쪽 가슴에 훈장처럼 달아라. 이재명은 일단 4개 달고 시작하고 12개혐의 5개재판중이니 최대 9개까지 가능하다. 그런데 그전에 의원직 박탈에 교도소 행이구나.,True,1,2025-03-22T09:47:59+0900,854612248709038325,22,12,4
care****,e1Pkp,헌재가 정치하는거야?,True,1,2025-03-22T09:16:30+0900,854610219789975684,9,2,0
purp****,s0PQ,헌재가 원흉이다. 헌재가 나라를 망치고 있다. 내부에서 선고를 방해하는 자가 있다면 반역죄로 다스려야 한다.,True,1,2025-03-22T09:43:25+0900,854611954201788500,4,0,0
miso****,2btxL,선고가  늦어지니  내란공범 이  헌재도  있는지  의심스럽다.  자영업   민생은  다 죽는데   헌재는  빨리   윤석열 파면 하고 대선으로 대한민국 정상화 하자.,True,1,2025-03-22T09:48:55+0900,854612308066828523,3,0,0
ujc3****,1Hicw,"헌재 니들 얼마나 국민의 원망을 들으려 그러니? 정치질 하지 말랬지 ! 니들은 헌법위반 판단만 하면 되는 거야? 전국민이 생방송으로 계엄군이 총을 들고  헬기를 타고 국회진입하는 걸 밤새도록 봤는데, 무슨 더이상의 말이 필요하니?",True,1,2025-03-22T14:05:10+0900,854628817031921704,2,0,0
mama****,6lgmI,"국민투표로 탄핵 결정하도록  입법하라! 친일 극우 사이비 무속 정치꾼들 눈치를 봐가며 탄핵 선고 지연시키고 법 장난을 치고 있는 법조비리 카르텔 부패 법조개 0들이 대한민국의 법치, 민주주의, 나라를 망가뜨리는 내란범과 한통속인 현실",True,1,2025-03-22T11:15:03+0900,854617858087321620,2,0,0
anal****,,,False,1,2025-03-22T09:14:03+0900,854610061748600846,0,0,3
zip8****,1DXCl,답나오거지 ㅋㅋㅋ 민주당에서 재판관 임명압박하고 헌재는시간끌고 모겠냐 기각,True,1,2025-03-22T20:29:42+0900,854653590705275068,1,0,0
glau****,1WG5K,왜 이리 지라시가 나오게 됐는지 그 원인이 지네한테 있는데 지라시 경계령 운운 전세계가 다 본 불법계엄 내란죄 파면이 뭐가 어려운데?? 나라 망한 다음에 파면할 거냐?,True,1,2025-03-22T16:20:07+0900,854637510901366816,1,0,0
fact****,,,False,1,2025-03-22T11:21:05+0900,854618246496649246,0,0,0
yant****,8Mf0X,"저 낯짝들을 영원히기억해서 역사교과서에 넣어라..
내란동조범들..저 후안무치의 극치를 보여주는 놈들.",True,1,2025-03-22T10:45:55+0900,854615980431638774,1,0,0
cumu****,,,False,1,2025-03-22T09:33:12+0900,854611295964495925,0,0,0
kepc****,4a7Nl,"모든 악의 근원을 자초한 헌재…,능력이 없는것인지… 의도한것인지….",True,1,2025-03-22T09:26:51+0900,854610886717866178,1,0,0
jjh3****,4PA03,정상 대한민국 국민은 탄핵인용이 상식이겠지.. 이렇게 법리 명확하고 증거증언 차고 넘치는 사건도 드물다.,True,1,2025-03-22T09:18:42+0900,854610361523896485,7,7,0
kdx2****,C2C1,전국민이 다 봤는대  아니지 전 세계가 다 봤는데 탄핵이 기각된다면 대한민국 헌재는 세계적인 웃음거리가 될 것이고 한국의 사법부는 존폐기로에 설것이다.,True,1,2025-03-22T09:40:01+0900,854611735628218372,3,3,0
lydi****,3rouS,국민이 진실을 말한다. 국민은 두 눈으로 목도한 진실과 경험을 믿는다. 내란죄는 민주당 스스로 철회한 사실을 여도 알고 야도 알고 국민도 알고 세계도 알게 된 팩트이다. 반국가세력이자 공산세력인 민주당이 사법부와 행정부를 장악해 경찰에게 총과 무기를 들고 무력으로 대한민국 정부를 향해 내전을 준비시킨 쿠데타를 국민이 목도했다.이것이 내란죄이고 팩트이다. 헌재는 진실과 팩트를 근거로 결정하면 된다. 국민은 국회의 반국가세력과 공산세력을 척결하고 정의와 공정을 되찾아 자유민주주의 대한민국을 지킨다. 탄핵 각하가 마땅하다.,True,1,2025-03-22T09:27:56+0900,854610956477530333,3,3,0
tyho****,,,False,1,2025-03-22T14:07:49+0900,854628988209856760,0,0,0
tk24****,5EVYs,"내전 일어나면 일본 자위대가 조선사람 보호하러 오며 되겠지,,, 감사하므니다,",True,1,2025-03-22T09:13:07+0900,854610001988157470,2,2,0
zmal****,,,False,1,2025-03-22T17:31:13+0900,854642092238962755,0,0,0
ujk7****,2uj1N,"종북찌라씨 반국가세력인찌라씨들이지금도 가짜뉴스를 생산하고퍼뜨리는데 열중하고있는데가관이야특이 한걸레찌라씨 오마이뉴스,미디어오늘,뉴시스,뉴스팜,국민일보등이찌라씨들 은 종북을넘어 이적행동을언론이라는가면을이용하여 서슴없이자행하고있고 엠비씨,제이티비씨 찌라씨 방송들은 아니면말고식 사실확이절차없이 윤통에게 불리한 내용이라면 무조건퍼뜨리는 극악한반국가세력이며 심지어 한국 갤럽이라 여론조사업체는 조작 하고왜곡한 발표로 여론을 호도하는데 도가넘을지경이다 이 조사업체는 윤통이나 국짐당에게 지지률이이나 여론이좋게나왔다고다른 조사업체발표하며 회석시키위하",True,1,2025-03-22T10:02:13+0900,854613165214793791,1,1,1
eye_****,XrI0,일상을 지내고 있는 가정집에  질서유지를 한다고  총을 들고 갑자기 난입했다고 생각해봐라...,True,1,2025-03-22T09:32:42+0900,854611263886459073,1,1,0
cci0****,2CvbS,한 기각 이 유죄 윤 각하 ~,True,1,2025-03-23T08:54:08+0900,854701550021378076,0,0,0
shha****,1wjfX,"정작 일 퍼질러논 씨발 석열이는 집에서  편히 쉬고
자빠져 있고  엄한 재판관들에게 책임지라니 나참",True,1,2025-03-22T21:47:57+0900,854658631386267884,0,0,0
zip8****,1DXCl,헌재에서 썩렬이먼저한다고 했다가 시간끄는거니 100% 탄핵안됨,True,1,2025-03-22T20:32:10+0900,854653749686173740,0,0,0
shha****,1wjfX,"판결 허지마!   천년만년 질질끌어 헌재 앞에  있는
광분자들  다 지풀에 다 떨어져 나갈때까지  쭉~~",True,1,2025-03-22T18:44:54+0900,854646838530146542,0,0,0
skyj****,WIV3,헌재에서 판사노릇하는 정정미..... 발음이 상당히 이상하다.... 동영상 검색해서 꼭 보세요......,True,1,2025-03-22T17:00:43+0900,854640126737776855,0,0,0
46******,3nN36,"헌재법의 평결기준이 불합리하다,,,기각/각하(3인이면 가능)가 유리하고 인용(6인이상이어야 가능)이 절대적으로 불리,,,소수가 다수를 이긴다???다수결의 민주원칙에 어긋남,,,헌재의 현상황은 다수의견에 반대하는 소수의견(이놈이 암덩어리)의 꼴통사수로 평결을 못하고 있음",True,1,2025-03-22T13:14:13+0900,854625535223922752,0,0,0
ptjr****,F8MU,니네가 선고를 하면 되잖아. 안하니까 계속 추측만 난무하지,True,1,2025-03-22T12:44:38+0900,854623629533511867,0,0,0
ifel****,2x73P,아 그냥 기각해 니들이 원하는 독재국가 가보자고,True,1,2025-03-22T12:12:49+0900,854621579424825572,0,0,0
alic****,6GFMm,찌라시 가스통협박 총기협박 계란자작극 반국가세력에 대해 더이상 설명이 필요한가,True,1,2025-03-22T11:52:51+0900,854620293015011549,0,0,1
ujk7****,2uj1N,"이찌라씨야 ! 윤통탄핵 몇월 몇칠 된다고 온동네방네선동짓꺼리한것은 저종북반국가단체인 양치집단의정치모리배들이많이했잖냐! 선동한 모리배들을 나열하면  무식한똥별 김병주,박쥐 박쥐앙,거덜먹거리는 박뿜계,똘아이녀 추미애,외5명도합 10여명이 찌라씨를통해서몇칠날에 윤통파면된다고나팔불고발짝해잖냐 일반국민이한것이아니다 이런자를규탄하지못하는비굴한찌라씨는 이런기사를냈지말거라!! 당시마치 헌재에정통한 정보가있는데 과시용 내밷았고해는데 지금은 굴밑에숨었느지!!",True,1,2025-03-22T11:44:32+0900,854619756999737488,0,0,0
