user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
tora****,2CUac,종북좌파 중공 간첩 세력 척살.,True,1,2025-03-25T15:33:26+0900,854912817415848153,705,63,18
happ****,,,False,1,2025-03-25T15:37:50+0900,854913101688996226,0,0,8
cthw****,28yZF,저게 바로 내란이다! 저런 것들 때문에 계엄이 필요한 것이지!,True,1,2025-03-25T15:36:22+0900,854913007216492713,390,29,8
kpic****,16NUy,마치 북한군들 쳐들어 오는 느낌!정말 반사회적 반민주적 좌파집단들,True,1,2025-03-25T15:35:37+0900,854912958780670220,243,20,6
soun****,1Smtz,가짜농민들.,True,1,2025-03-25T15:39:28+0900,854913206076834031,199,6,8
lcj6****,6uhPi,전농민 같은 소리하고 자빠졌다. 남한 사회를 혼란 시키라는 너희들만이 찬양하는 김정은의 지령이 도착했니?,True,1,2025-03-25T15:54:03+0900,854914145819033646,42,0,0
rive****,1kpml,"농민들과 계엄이 무슨 관련이 있냐?
 그렇다면 순수한 농민이 아니라는 것이지?
 모택동이 농민을 기반으로 중국 공산화에 성공한 것을 모델로 삼아 대한민국 농촌에도 공산주의자들이 
 침투했다는 말이냐?
 싹 잡아다가 조사해보자. 누구의 지령으로 이런행동을 하는지~
 순수한 농민은 봄에 밭갈기 바뻐서 저런 시위를 할 겨를이 없다. 저것들은 농민을 빙자한 간첩세력들이다.",True,1,2025-03-25T15:44:16+0900,854913515381588102,37,0,1
jh56****,5k6th,중장비 트럭 트랙터를몰고헌재를향한다  사기꾼재명이 가 주동자  이게 내란좌압니다,True,1,2025-03-25T15:58:57+0900,854914461465575855,23,0,0
yjle****,31Zl1,정상 트랙터 아닙니다. 시위용으로 개조한 트랙터죠. 이런걸 농민들이 왜 끌고 다닙니까. 이사람들은 전문 시위꾼입니다.,True,1,2025-03-25T16:28:30+0900,854916365276938503,21,0,0
idea****,,,False,1,2025-03-25T16:09:26+0900,854915137335722219,0,0,1
limb****,6blaa,"대통령체포할땐 경찰 3000명씩 쳐들어오더니 불법트랙터시위는 왜 허술하게 대처하냐.
전부 강제체포해서 모두 구속수사해라",True,1,2025-03-25T16:02:12+0900,854914671046557785,18,0,0
lkpo****,bWW6u,살인흉기 트랙터를 몰고 시위하는 인간들은 완전 내란세력이다 즉시구속하라!!!,True,1,2025-03-25T15:52:40+0900,854914056446804268,17,0,0
jt05****,3j4Cl,"찢재명이 집회 참석인원이 부족하니
  돈주고 트랙터를 동원하는구먼..
   저기 트럭 운전사 통장 확인해봐라
    운송비 누구로 부터 받있는지.",True,1,2025-03-25T16:02:30+0900,854914690558460148,16,0,0
lhj4****,7AEk6,"말도 안되는 짓을 하누만~~
도대체 어느나라 사람인가~~
불나고 나라꼴을 봐라 제발 조용히좀 살자~~",True,1,2025-03-25T15:39:46+0900,854913226226270560,15,0,0
dras****,,,False,1,2025-03-25T15:52:49+0900,854914066144035200,0,0,0
sswb****,2nwWM,내일 찢명이 운명의날 열심히 까불어라,True,1,2025-03-25T15:35:17+0900,854912937272279167,14,1,0
c1h8****,1TxZS,국민 세금 축 내는 거지 기생충 집단 전농에 대한 일체의 지원금을 없애야 한다.,True,1,2025-03-25T16:21:55+0900,854915940897259974,12,0,0
afac****,5mcOd,내란은 이런것,True,1,2025-03-25T15:45:18+0900,854913581852917904,12,0,0
ingo****,eULjO,국가보안법 폐지와 옛 통진당 옹호.지지했던 전농은 친북단체입니다... 예전에 사이트 찾아서 들어가 봤을때도 슬로건이 얼마나 북한스러뤘는지..하 ... 민노총에서 또 간첩 행위한 간부 한명이 잡혔다죠?  전농에도 분명 간첩 많을거에요... 국가보안법 살리고 ... 친북단체 다 해체시키고.. 간첩활동하며 나라 말아먹는 이완용같은 인간들 다 잡아들이세요 ..,True,1,2025-03-25T17:00:19+0900,854918415201075370,11,0,0
lysk****,5zImo,전농은 허울뿐 전 농좌파들이다 모두 구속하라,True,1,2025-03-25T16:21:46+0900,854915931971780967,10,0,0
chok****,31kP5,농민 코스프레 하지 맙시다. 역겹습니다....,True,1,2025-03-25T17:00:38+0900,854918435300180304,6,0,0
ehdw****,7LeUv,전국농민회인데 트랙터가 왜 전부 전라도임?,True,1,2025-03-25T16:55:34+0900,854918108899442955,6,0,0
hw18****,sJKt,트렉터를 막으니까. 대형트럭에. 트렉터를 싣고 서울로 진입하네~ 진짜 공산당이 처들어오는듯!!  무섭다 진짜!!~대형트럭 50대 싣고진입!!~전쟁이다 진짜,True,1,2025-03-25T16:01:32+0900,854914628046553333,6,0,0
pby4****,cDJaM,농사일이나 그런식으로. 열심히해라. 농수산물 전면수입개방하라.,True,1,2025-03-25T15:43:13+0900,854913448524382295,6,0,0
ljk6****,3imyW,"극좌 시민단체는 모두 해산시켜라. 전농, 민노총, 민언론, 참여연대, 민변 등. 이게 시민단체냐 개잡법 집합소지.",True,1,2025-03-25T16:28:43+0900,854916379202027881,6,1,0
for0****,Koqr,죄다 새거라고 했더니 이젠 흙 좀 뭍혀서 왔네. 아주 가지가지한다.,True,1,2025-03-25T16:09:09+0900,854915118394245203,5,1,0
tmdw****,2ZJ7v,헌재여! 내란은 나라가 산불로 위태로운데 이런 양아치 노릇으로 국민들을 분노케하는 것이 내란이지 비상게엄이 내란이 아니다 헌재 재판장님들도 양심이 있으면 똑똑히 세상을 바라보시고 판단하시오,True,1,2025-03-25T15:59:23+0900,854914489181536467,5,1,0
gasl****,b9KU4,"""2023년 10월, 지방 정부로부터 보조금을 타낸 뒤 윤석열 퇴진 집회에 참가하기 위한 교통비, 식대, 홍보비 등으로 사용한 정황이 드러났다"" 농사 잘 지으라고 지자체에서 보조금 줬더니 그 돈을 반정부 폭동에 사용하고 있음 계엄 훨씬 이전부터 보수정부를 퇴진시키려고 혈안이었고 계엄이나 탄핵은 그냥 핑계일 뿐",True,1,2025-03-25T15:43:37+0900,854913473941864753,5,1,1
tac6****,2Gauj,저것들은 농민이아니라 사회혼란을 일으키고 부칸을 이롭게하는 반국가단체 데모꾼에 불과하니 인정사정 보지말고 조금이라도 정도에 벗어나면 곤봉으로 대가리를 작살내고 물대포로 평양까지 날려버려,True,1,2025-03-25T18:01:17+0900,854922342881558667,4,0,0
yang****,,,False,1,2025-03-25T15:49:31+0900,854913853710926063,0,0,0
