user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
zaqw****,4boY5,FBI 강릉 마약 터진거봤지? 경고하는거다 좌파들아,True,1,2025-04-03T06:03:37+0900,855711048999632976,132,43,17
just****,auU0Q,이재명 살려주면 이나라는 망한다,True,1,2025-04-03T05:42:09+0900,855709666171158542,151,87,16
dksw****,1B5LJ,코로나가 한국거냐? 중국에서 자연발생한것도 아니잖아? 실험실에서 만들다 유출된거지 중국에서 인적재난이고 한국엔 생화학테러지 . 근데 왜 글케 문재앙이랑 이죄명 민주당 을 그렇게 빠냐? 1찍들아 .. ㅉㅂ 코로나수입업자들을 왜그렇게 좋아해? 사스 메르스 우리때는 코로나  그럼 우리 자식 때는 무슨 생화학테러를 받아야되냐?,True,1,2025-04-03T05:47:23+0900,855710002873106459,67,15,7
f1da****,1Ra11,"좌파 유투버들 탄핵인용이라고 급 대량으로 방송 쏟아내고 있더군. 
mbc는 북한 방송같은 여자앵커에 그런 제스쳐 취해가면 탄핵전원일치로 인용이다.
등등..있는거 없는거 다 가져다가 이유를 대는 방송하느라 바쁨.
암튼 좌파유투버들 급 바빠진 이유가 뭔지 궁금하네.",True,1,2025-04-03T05:23:22+0900,855708456097677337,88,42,5
pier****,,,False,1,2025-04-03T07:12:17+0900,855715472866279492,0,0,0
jiin****,1KHXB,"군대를 동원에 국민에게 총을 겨누고, 민주주의를 말살한 인간이 다시 대통령으로 돌아 온다면... 그야말로 전 세계의 웃음거리가 될 것이고, 대한민국은 망하는 길로 들어서는 것이다.  헌재는 잘 판단해라 !!",True,1,2025-04-03T09:41:59+0900,855725117215342999,20,10,0
miso****,uV6J,"민주주의 국가에서 독재정치 할려고 계엄 때린건데 옹호 하는 인간들 머리속이 궁금하다..
뭐만하면 빨개이 중국 북한 찾고있네 나도 그것들은 싫은데
왜 자꾸 국힘 반대는 다 그딴 프레임 씌우는거냐?
제정신들이 아니구만 국민의 70%가 전부 중국 간첩이고
빨개이고 그런거냐?
상식적으로 생각해봐라 탄핵 했다고 극우들이 폭동 일으키는게 민주주의야?
우익이 됐든 좌익이 됐든 잘못된걸 잘못 됐다고 하는게 민주주의다 그냥 극우들처럼 옹호하는게 아니라",True,1,2025-04-03T10:33:45+0900,855728452156784936,23,15,0
ppcd****,,,False,1,2025-04-03T10:00:11+0900,855726289607196764,0,0,0
hots****,3c77m,"준비된 학살자!  윤석열 살려주면 국민들  다 죽는다 !    나라는 엉망진창이 되고...    헌재 재판관들은   국민과 국가와 본인들을 위해서, 역사적 사명감을 가지고, 상식과  양심과 정의와 원칙에 따라서 꼭  파면선고 해주길 바랍니다. 그것이 우리 모두가 사는 길입니다.  특히, 보수 재판관님들
절대로 내란수괴와 내란당과 내란세력 같은 악의 편에 서지 말고, 정의롭게  파면에 동참해주세요!",True,1,2025-04-03T10:45:14+0900,855729191713243228,14,8,1
ingd****,4WpCo,"윤돼지 이지경으로 나라를 만들어놓고 
  목숨은 아까운가 
  죽었다는 속보가 안뜨네 오늘밤 저승으로 가라",True,1,2025-04-03T16:19:17+0900,855750713542705283,10,4,0
s100****,1uTOT,아니장난해?? 지금. 탄핵을해야지. 않되면. 이제. 우리나라 쿠데타 계속일어난다 사형시켜야지. 참나. 왜김재규아저씨는 사형시킨거냐 그분아니였음 우리도 공산국가에살았을텐데….,True,1,2025-04-03T14:04:32+0900,855742032423944462,10,4,0
acet****,6ah0c,법대로 해..그럼되...탄핵 인용.. 정상적인 사고를 가지고 있다면. 당연,True,1,2025-04-03T10:36:57+0900,855728658600427889,19,14,3
inte****,4zN85,자유 민주주의를 지켜주세요! 존경하는 정형식 김복형 조한창 김형두재판관님 반드시 기각해 주세요! 사법과 정의는 살아있다는 걸 보여주시길 부탁드립니다. 탄핵 기각 반드시 요청드립니다.,True,1,2025-04-03T12:11:47+0900,855734768241738035,13,8,0
sust****,97Ty4,"애들아, 볼거 머 있냐, 만장일치 파면, 만에 하나 기각되면, 앞으로 대통령은 언제든 계엄하여 야당 인사, 적대파, 판사들 끌고가 반죽여 놓는다. 군바리가 지배한다는게 말이냐 방구냐. 1970년대로 가는거야. 그걸 헌재가 용인하겠냐.",True,1,2025-04-03T10:27:21+0900,855728039974142089,13,8,0
kiop****,2CpLa,빨리탄핵하고 정리했으면,True,1,2025-04-03T12:06:36+0900,855734433871823067,11,6,0
eryt****,2X6uw,박근혜 때보다 배로 위중한 사안 아닌가. 탄핵 안되면 박근혜는 뭣인가. 박근혜에 뒤집어 씌운 윤가놈은 인과응보. 감옥행이 마땅하다.,True,1,2025-04-03T10:30:35+0900,855728248045175048,11,6,0
kook****,xCZy,8년전   헌재 편파짓 오판으로 문씨 문죄인 촛불시위로 책방 차려다,True,1,2025-04-03T06:04:20+0900,855711095707402277,10,5,0
arms****,2rCSm,탄핵이 답이다 풀어주면 또 계엄을 하라는 명분을 주는거다,True,1,2025-04-03T11:47:05+0900,855733177191235625,9,4,0
casi****,jcin,건희랑 둘다 사형해라~~ 그게 답이다!! 더이상 나라 망조들면 큰일난다~~,True,1,2025-04-03T10:22:46+0900,855727745097793844,9,4,0
ksyy****,,,False,1,2025-04-03T15:55:24+0900,855749174870671556,0,0,0
seok****,KHa3,찢죄명도 참 싫은데 윤석열은 탄핵 인용이 맞다 북한과 전쟁할려고 한 넘 ...,True,1,2025-04-03T08:29:27+0900,855720444660023408,7,3,2
321m****,3fYDZ,계엄으로 국민들 피해가 이만저만이 아닌데 2시간 계엄도 계엄이냐는 요상한 발언을 하신 분 국민의 당인 여당은  집권당이면 국정을 제대로 하고자 애를 써야함입니다. 탄핵으로 물러가시고 새로운 분이 국가를 이끄시길 청합니다. 국가와 국민을 위한 판결부탁드립니다. 헌법재판소 분들 힘내십시요!!!,True,1,2025-04-03T05:24:33+0900,855708532585005103,57,54,9
