user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
silv****,3Sbny,기사를 왜 써주지?,True,1,2025-04-13T14:06:29+0900,856669871038005360,120,2,3
boss****,4c2Dx,이런 쓰레기를 기사화 하는 기자는 참,True,1,2025-04-13T14:12:58+0900,856670288035709180,59,1,2
fizi****,2ZKAV,"전광훈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 2쮝이들 불쌍해서 어떡해 ㅠㅠ. 다 춰발렸어. ㅠㅠ 총선 춰발려, 교육감 춰발려. 안방 부산마저 털려. 이젠 완용이 마저 날렸어 ㅠㅠㅜ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우리 2찍이 불쌍해서 어떡해. 패배자 인생. 니들 지지율 1위 전과 6범 김문수 빼고 아무것도 안남았어. 상대는 대통령되면 불소추특권인데 ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ폭도 2찍이들은 내 아래로 댓글달때 시진핑 궤새귀 꼭 앞에 붙이고 써라. 내가 보기엔 아무래도 니네가 나라 망치려는 찐 조선족",True,1,2025-04-13T14:05:48+0900,856669826981036206,50,11,5
jund****,,,False,1,2025-04-13T14:19:33+0900,856670712532828326,0,0,0
24jk****,,,False,1,2025-04-13T14:18:17+0900,856670631163330640,0,0,0
onna****,5guFw,전광훈이는 목사가 되어서는 안될 인간이 목사가 되어 나라와 사회에 해악을 끼친다.,True,1,2025-04-13T15:00:23+0900,856673343149965415,9,1,1
onna****,5guFw,전광훈 저 인간 증거도 없이 유언비어 퍼트려 국민을 분열시키고 사회를 혼란하게 만드는 악마이다.,True,1,2025-04-13T14:44:32+0900,856672321920827540,7,1,0
chun****,1mbCd,"윤석열, 전광훈, 전한길, 윤상현, 나경원, 권성동 등 이런애들때문에....앞으로도 국힘은 힘들거라 본다...신 꼰대들을 대거 양성했고 세력화 했기 때문에.,,.,",True,1,2025-04-13T15:52:01+0900,856676669098819589,5,0,0
onna****,5guFw,전광훈이 저 인간이 말하는 것 믿는 인간은 아이큐가 50도 안되는 인간이다.,True,1,2025-04-13T14:54:18+0900,856672950948986942,5,0,0
bhhc****,7r0CI,언론사들 이런잡종 기사좀쓰지마시요,True,1,2025-04-13T17:24:13+0900,856682609927782447,4,0,0
sook****,6kd7n,전목사 예수믿으세요 이런짓 계속하면 지옥갑니다,True,1,2025-04-13T16:54:45+0900,856680710646268093,4,0,0
prid****,1ymgp,허경영 조용하니 이런놈이 또나오네,True,1,2025-04-13T17:56:51+0900,856684711894843608,3,0,0
