user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
echo****,19wUy,그와중에 반대가 있다는게 신기하다 어떤 사고방식일지 궁금하네,True,1,2024-12-05T10:10:05+0900,844687143740637231,155,6,5
sieg****,2wOHu,"그제밤에 계엄령 사유를 들어보면 세상에서 가장 황당한 계엄령일텐데, 그걸 듣고도 아직도 똥인지된장인지 분간못하는 사람들이 있다는게 신기할 따름이네. 대통령은 니들의 주인이 아니다. 니들이 나라의 주인이지",True,1,2024-12-05T10:20:10+0900,844687793589321813,49,1,0
gbmd****,,,False,1,2024-12-05T10:14:19+0900,844687416471060622,0,0,2
ykch****,1rVkr,국짐당 윤도리 탄핵은 찬성이지~   윤석열의 엉터리 상상력~  저딴게 검사였다는게 대한민국의 수치다,True,1,2024-12-05T10:06:09+0900,844686890639556672,31,4,0
drjp****,wZtD,"화요일 밤 공포스러운 장면을 목격하고도 윤깡통 탄핵을 반대하는 사람들이 있네,, 놀랍다!",True,1,2024-12-05T10:23:58+0900,844688038419235268,16,2,0
ykch****,1rVkr,저런 행동 하는거 보면  검새 특활비 수사가 필요~  비리의 온상일거  같다~,True,1,2024-12-05T10:07:17+0900,844686963804995708,16,3,0
happ****,dQmaL,"이런 독재자를 직접 보고도 탄해 반대?    .
그 밑에서 뭘 기대하려고?      .
독재면 어때.       .
나만 잘먹고 잘살면 되지..   .  
생각하면서 간신배 추종하는 기회주의자들 아냐?",True,1,2024-12-05T10:19:08+0900,844687727134769212,8,2,0
andl****,2Gy0W,나라팔아먹어도 지지하는 20퍼 있다는게 사실이네....,True,1,2024-12-05T10:12:40+0900,844687310690713950,4,1,0
jhan****,4YIJ,당연히 탄핵되어야 하지만 계엄군이 불법적으로 국회에 침입하여 의도적으로 입법부를 무력화하려고 하였기에 명백한 내란죄에 해당하며 먼저 구속 수사해야한다 . 더이상 대통령직을 못하게 해야한다 그냥두면 우크라이나 같이 될지도 모른다 국민의힘은 당리당략으로 탄핵을 반대한다는데 당보다 나라의 미래를 먼저 걱정해야한다,True,1,2024-12-05T11:23:57+0900,844691902195302867,3,0,0
sorr****,5Ofd,사태가이지경인데도 윤두광은  심각성을 모름니다. 자기 생각에  사로잡혀  계엄을  손바닥 뒤집듯  했다는점  역사적으로나  사회적으로나 도저이 용서가  될수 없어요. 문제는  안변한다는거. 법위에  군림해서  내가법 이라는 생각을 하는자인데  큰일입니다남에게  적용하는 죄는 무자비하고  잔인하며 본인 배우자.장모에게는 한없이 관대한.  어쩌면  이렇게 독제자의  모습을 보이는지  앞으로가  더각정입니다. 어떤이유라도 본인판 으로 계엄을 선포한것은  있을수 없어요. 이걸 해프닝이라고  생가하면  결국 국민에게 철퇴를 맞을것입니다.,True,1,2024-12-05T10:15:15+0900,844687476315390072,3,0,0
lsbo****,2Ykv5,국민들도 정치에 관심을 가져야 한다,True,1,2024-12-05T16:46:16+0900,844712667439431811,2,0,0
tkdg****,2OZf,이게 쉴드가 되냐???? 어떻게 이룬 민주주의국가인데... 세계에서 가장 안전한 국가인데... 하루아침에 불안해지는데,True,1,2024-12-05T11:15:00+0900,844691326216699910,2,0,0
l664****,qscl,"국민의힘 당원부터 국민들은 정상적인 사고를 하고있음을 보여줘야합니다.

제정신이 아닌 윤통을 막을 수 있는건 역시 국민밖에 없습니다.",True,1,2024-12-05T10:47:36+0900,844689561220022561,2,0,0
bss1****,,,False,1,2024-12-05T10:23:51+0900,844688030231953809,0,0,0
