user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mmjj****,6qQaC,윤서열이 큰일 해냈네. 우리나라의 가장 악한 인간들을 수면 위로 띄워 올렸어. 이것들만 처단해도 우리나라 무지 깨끗해질듯. 오히려 고맙네. 누가 악인들인지 명확하게 해줘서...,True,1,2025-01-11T21:09:07+0900,848162139569913898,621,38,14
ggul****,7k2Cz,똥에겐 똥파리만 꼬이는법,True,1,2025-01-11T20:33:57+0900,848159873706230018,380,53,11
kkkc****,ccjxX,"대한민국 온갖 쓰레기 다모였네
 섞은냄세가 진동하고 온갖벌레가
  다있는곳  윤가의 관저",True,1,2025-01-11T20:42:04+0900,848160396584943628,136,64,7
cogi****,1wb9p,매국 독재 추종의 극우 꼴통들이 이렇게나 사회 구석구석에  많으니 나라가 한번 개벽해서 싸그리 청소가 필요할 듯~~~,True,1,2025-01-11T21:04:57+0900,848161871117680909,92,37,6
s254****,,,False,1,2025-01-11T20:46:40+0900,848160693692661938,0,0,4
nuri****,11Gik,관상봐라 ㅋㅋㅋㅋㅋ,True,1,2025-01-11T21:13:15+0900,848162405824331879,40,5,1
hanh****,vkJo,다갓이.감방보내고.평생못나오게해라.저런것들이.나라말아먹고잇다,True,1,2025-01-11T20:54:55+0900,848161224741880049,46,12,0
trom****,3N3AX,윤석열을 탄핵시키지 않으면 나라는 또 다시 혼란의 소용돌이 속으로 들어가고 소수의 반국가 잔당들의 소유물로 전락한다. 지금의 위기극복의 유일한 해결책은 윤석열 탄핵과 법정최고형에 의한 처벌뿐이다.,True,1,2025-01-11T20:55:48+0900,848161281163657457,57,26,2
mpt1****,HQ1R,이런놈들이 지금까지 법을 맘되로 한놈들,True,1,2025-01-11T20:58:51+0900,848161478463717578,35,7,3
misa****,6q88w,윤 주변에는 제대로 된 인간이 없어서 놀랍지도 않아 이패거리 들이 평생 나라를 얼마나 말아먹었을지 상상하기 어렵다,True,1,2025-01-12T10:09:42+0900,848212428771557521,23,7,0
sang****,5vKaT,대한민국을 좀먹는 반국가세력이... 다름아닌 윤 떨거지들이구만...,True,1,2025-01-11T22:14:48+0900,848166371605872850,25,10,2
stin****,9XsJy,윤측은 적법여부의 최종 판단의 주체가 법원이 아니라 자기한테 있다고 생각한다. 자유민주주의적 기본질서를 짓밟은 반헌법세력이다. 즉 반국가세력이다.,True,1,2025-01-12T03:40:58+0900,848187384330715193,21,6,0
frid****,1kft1,변호사들이 자기 정치하느라 변호는 뒷전이니 윤석열 무기가 아니라 사형 받을 듯,True,1,2025-01-11T20:23:40+0900,848159211543068867,37,23,0
utop****,Uq0M,"범죄자 윤석열이 숨어서 언론을 통해 가스라이팅 하고 있다.
 생각을 할 줄 알면, 윤석열 12.3비상계엄은 명백한 범죄다.
범죄자에게 가스라이팅 당하지 마라.
범죄자가 법꾸라지 처럼 빠져나가게 두지 마라.
윤석열 체포가 국격을 망친다고 말하지 마라.
법을 무시하고 자신 마음대로 해석하는게 이미 국가의 법과 질서를 무너뜨려 국격을 망친것이다.

윤석열 시간 끌면서 군중들 가스라이팅하고 있음.",True,1,2025-01-11T21:21:34+0900,848162941923492001,30,16,3
scry****,2UcKH,비상계엄령을 옹호하는 갑근이형.진한이형..참 불쌍하다..어찌 계엄을 옹호하니?전두환허고 또같애..성공하면 혁명이고 실패하면 겁줄려고 했다고? 에라이 답답한 친구야...,True,1,2025-01-11T22:13:33+0900,848166291075235988,16,6,0
snsj****,3RzjW,선을 넘은건 너네겠지,True,1,2025-01-11T21:03:39+0900,848161786946388149,14,5,0
hoya****,5eJhN,박근혜 전대통령 탄핵때는 그렇게 윤석열 한동훈 검사들 모질게들 욕하는 극우들이 지금은 박대통령을 구속시킨 그 모지리을 찬양하고있네 참 가관이다.,True,1,2025-01-12T03:47:19+0900,848187793225023513,13,4,0
bari****,6mNm,이들 변호인들 말을 들어보면 머리가 아프다. 교묘히 꾸민 말 하는 사람 중에 선한 사람 드물다.,True,1,2025-01-11T20:58:51+0900,848161477775851772,12,6,0
inso****,1q3bt,저 쓰레기 8인과 국짐들 안보게 해주세요……특히 파렴치한윤모지리랑 거니도………🙏🙏🙏🙏🙏🙏,True,1,2025-01-11T21:56:46+0900,848165209498452161,9,3,1
njbn****,5h3P7,오마이 미쳤네 카톡 검열이 선 넘은거지 그걸 보도 하는게 선 넘은거냐???? 아무리 좌파 뉴스라도 적당히 해야지 니네야 말로 선 넘었어,True,1,2025-01-11T23:45:41+0900,848172226350940323,9,4,1
ksc1****,QDw7,와 극우들 댓글조작 기사 나고 민주당에서 고발 조치 하니깐 댓글 일바들 싹 사라졌네,True,1,2025-01-12T00:12:54+0900,848173979268022443,8,4,1
yns8****,ropi,전부 중범죄로다스려야  15년이상,True,1,2025-01-12T10:17:49+0900,848212950744301740,4,0,0
seon****,etJU5,🐕와 친구는 🐕가 아닌가 같은 똥 냄새 나는 것들이 모여 극우 일베들과 어울리니 이런 지경에 온 것이다,True,1,2025-01-12T08:29:16+0900,848205957715460139,4,0,0
jly1****,ezG6S,사기꾼 변호인들 모조리 싹다 잡아서 내란수괴 윤섴열과 함께 체포 해야한다!!,True,1,2025-01-12T00:15:02+0900,848174117092851718,4,0,0
jaha****,22Egw,이렇게 엉터리 인간들이 많다니 윤계엄선포자로 인해 엉터리 인간들이 잘 살고 있었음을 알게 되었음. 그런가그런가 했는데 윤측 변호사들 하는 말을 들을 때마다 혀를 차게 됨.,True,1,2025-01-11T21:59:16+0900,848165370039631930,4,0,0
goso****,2J0Gl,한국은 보수가 원판인데 이제는 진보좌파가 큰공을굴리는격이다 앞으로 전에도 진보가 집권시 대북친북사례를 볼때 공산국가에 머릴조아리며 굴복하듯 비굴한 한국이 열리는 진보에변화를 받아들이는 국민이 많아졌음을 실감할수있는 현실에서 이제는 이민이나 갈까한다  한국사회가 사회주의로 변하는꼴 못보겠다,True,1,2025-01-11T20:46:36+0900,848160689179590817,20,17,3
mi_r****,1R4tp,이런 비난을 위한 기사때문에 오마이뉴스가 삼류에 머물러 욕먹는 이유다. 중립과 공정을 위한 언론인의 직업윤리를 지켜라.!,True,1,2025-02-01T20:46:14+0900,850108862236196923,3,0,0
