user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
doda****,,,False,1,2025-01-13T18:24:40+0900,848337087026430184,0,0,7
blac****,2RXB6,"코로나 펜데믹 1년치  보다 계엄1달간이 이나라 돈이 더 많이 풀렸단다.이렇게 나라 엉망진창으로 말아먹었구 또 계속 말아먹고 있는데도,내란수괴와 내란당의 지지율이 계속 오르고 있다 라고? 그게 사실이람 내란동조 지지세력들은 진짜 민주주의 국가에서 살 자격이 없는 사람들임.걍 노예근성 그야말로 개돼지들 임",True,1,2025-01-13T18:47:04+0900,848338530823307286,84,22,10
bski****,2SoCH,"나라를 절딴 낸 보수정권.
다시는 찍지 말자.",True,1,2025-01-13T18:39:42+0900,848338056061649137,55,25,2
sunw****,2qmkk,2찍 🐕 🐖 들 조용 🔥 코로나 문때보다 더 쓴 윤완용 🔫 나라 구석구석 쑥대밭,True,1,2025-01-13T18:34:24+0900,848337714477531293,35,14,0
rood****,2FYPs,세계적 위기였던 코로나때보다 더 심각하게 대한민국의 위기를 만들어온 윤석열을 지지하는 2찍들은 그저 매국노일뿐이다. 부정선거조차 명태균을 통해 윤석열이 했다는게 밝혀진 상황에 stop the steal은 2찍들이 외칠게 아니라 국민들이 윤석열과 2찍들에게 외쳐야한다.,True,1,2025-01-13T19:35:27+0900,848341647493169315,30,10,0
moom****,,,False,1,2025-01-14T03:31:03+0900,848372288209289219,0,0,2
jabp****,3Rf1K,윤석열 김건희를 비롯해서 고질적인 경제 마피아들의 작품이다. 엄중하게 책임을 물어야한다,True,1,2025-01-13T19:22:08+0900,848340789841887283,14,6,0
arch****,1CfEY,이창용은 문재인이 임명하고 튐,True,1,2025-01-13T19:20:08+0900,848340661210972202,12,7,1
chuc****,64qVR,"✔️✔️ 공산화가 된다면 최악의 인플레이션으로 치닫아, 베네수엘라처럼 화폐가치가 추락하게 되어, 화폐로 종이학을 접거나, 길가에 밟히는 낙엽이 될것입니다. 잘잘못은 본질이 아니며, 공상화된 국가에서의 경제는 논할 가치조차 없다는 것입니다. 자본주의 사회에서 사회주의 국가로 체제가 변경되면 개인의 자산은 허용되지 않습니다.",True,1,2025-01-13T21:09:47+0900,848347724670566672,5,2,0
hear****,VzCo,14일짜리 RP채권의 개념도 모르면서 기사를 쓰나?,True,1,2025-01-15T10:03:20+0900,848490331425996951,3,0,0
ggul****,7k2Cz,찢석열이 나라를 찢으셨다 ㄷㄷㄷㄷㄷㄷ,True,1,2025-01-13T21:48:53+0900,848350244239311171,5,3,0
musi****,,,False,1,2025-01-13T21:28:49+0900,848348951554818344,0,0,0
gran****,8jyN2,"대한민국 대외신인도는 태국, 미얀마같은 쿠데타가 있는 국가로 분류되어 12.3이전으로 회복하기는 어렵게 되었다, 멧돼지 재앙신이 40년간 국민이 이룩한 업적을 송두리채 날려버렸다",True,1,2025-01-13T19:12:55+0900,848340196112990557,3,1,0
mavi****,vO7t,한은총재를 문재인이 임명하고 간건 왜 말씀안하시죠?,True,1,2025-01-14T20:09:34+0900,848436616820162772,2,0,0
nhhk****,4dxFg,"정 의원이 이날 밝힌 바에 따르면 ""한국은행은 2024년 12월 한 달에만 47조 6000억 원의 채권을 매입""했습니다. 문재인 정부 5년 매입 총액의 무려 73.6%에 달하는 유동성이 단 한 달 동안 풀렸다는 계산이 나옵니다. 특히 2024년 12월 한국은행 RP 총액은 2020년 한 해 동안 매입했던 42조 3000억 원보다도 그 규모가 큽니다. 그래서 정 의원은 ""내란 한 달간 쏟아 부은 돈이 코로나 한 해보다 많았다""라면서 ""내란으로 인한 금융시장 악영향이 코로나 팬데믹보다 크다는 것을 한국은행이 입증한 셈""이라고 했습니다.",True,1,2025-01-14T14:23:53+0900,848414346827530657,2,0,0
eugi****,,,False,1,2025-01-14T07:41:18+0900,848388410124009539,0,0,0
78mi****,2jhAP,구라임,True,1,2025-01-14T01:02:07+0900,848362693202018340,2,0,0
saew****,3H179,오마이뉴스 기사 역시 ㅋㅋ.이젠놀랍지도않음,True,1,2025-01-13T18:55:06+0900,848339048316534826,18,17,7
pjh7****,HHRm,문재앙 초기 600조 국가 부채가 문재앙 말기에 1000조로 되야 뿐졌다고 혀제에 ~~? 소득주도성장 운운 거리면서 아파트 가격을 3배~4배 핵거품으로 쳐 올려서 나라 경제를 아예 캥판 난장판으로 망조로 철저히 망쳐 놓아 뿐졌었제에 ~~?,True,1,2025-01-13T20:24:07+0900,848344782886404145,6,5,4
simo****,22awn,놀고 자빠지셨습니다. 당시 민주당 유력후보는 원화는 기축통화니 마음껏 찍어보자는 말도 할지경까지 만둘었다,True,1,2025-01-13T20:32:14+0900,848345306452983906,4,3,0
sara****,kz0k,"금투세 하나도 다수당인 민주당이 결정하고 있는판에
윤석열을 욕하면 안되지 안나?
지금 2030은 그걸 모두 알고 있어 돌아서고
있는중임. 민주당은 금투세부터 실수했음.
1800만 개인투자자를 무시했으니 
중요한건 1800만 개인투자자가 모두 투표권이
있는 성인 이라는거다.",True,1,2025-01-14T00:56:40+0900,848362341417353352,3,2,0
nkh9****,,,False,1,2025-01-13T19:38:09+0900,848341821808443442,0,0,0
