user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lnk8****,578Pn,이미 기울어지니 숫자싸움이 아니란다. 지들이 좌표찍고 선동한건 어디가고ㅋㅋㅋ,True,1,2025-02-09T20:10:43+0900,850848744374010070,222,56,9
kebb****,cWH4g,대구경북은 계엄 지지한다고 하니 대구경북만 계엄선포해서 홍시장 끌어내고 시청 경찰서 법원 다 계엄군이 접수해라.,True,1,2025-02-09T19:53:39+0900,850847644845605024,158,79,7
eunj****,aapeA,오마이갈라치기일등공신가짜뉴스 답네,True,1,2025-02-09T20:22:05+0900,850849477236359188,130,55,3
tnvm****,eHjS7,악이 선을 절대로 이길수 없다....,True,1,2025-02-09T20:25:09+0900,850849674033102894,76,5,0
bin3****,vfvm,"탄핵반대는 딱 세 부류로 나눠지지. TK의 뇌가 반쪽도 안되는 노친네들, 탄핵반대 붐일으켜서 유튜브 수익 얻으려는 극우천민자본주의자들, 사이비종파에 신을 팔아서 이 나라를 소돔과 고모라로 만들려는 가짜 목회자들과 정신 나간 신도들. 어디 하나 정상이 없음. 이 나라가 치열하고 맹렬한 민주화의 길을 걸어왔는데 이렇게 퇴행하고 독재와 계엄과 내란을 옹호하는 2025년이 되었는지 참으로 개탄스럽고 슬프다. 저들과 같은 한표라니, 저들과 같은 국가의 국민이라니. 너무 마음 아프다.",True,1,2025-02-09T19:52:58+0900,850847600973185272,150,88,11
gore****,4Lois,윤석열 대통령 탄핵은 '숫자 싸움'이 아니다 -&gt; 예전에 박근혜 때는 탄핵 100만 국민이 원한다라고 하지 않았나? 그때는 숫자가 국민이고 지금의 숫자는 숫자인가?? 참 우숩다,True,1,2025-02-09T19:46:28+0900,850847182415200365,68,22,3
ssal****,3jOr8,법과 원칙에 따라  내란수괴 사형  내란공범들 처단하면  이념분쟁도 끝,True,1,2025-02-09T19:54:10+0900,850847678030938156,69,39,5
wngl****,2plnP,"우리나라는  간첩들이 너무 많다

국가보안법 더욱 강력하게 해서  다때려잡아야됨",True,1,2025-02-09T21:58:02+0900,850855658952589325,35,11,1
skub****,4U0iD,자신의 글에 달린 댓글도 안읽어본다니...뭐  쓸 필요도 없겠지만. 이렇게 된데에는 언론의 책임이 제일 크다는 것만 알아두세요. 그럼 일기는 그냥 일기장에 쓰세요. 기자인척 하지말고.. 읽어봤다면 입만 열면 거짓말인가요? 그리고 원래 자유민주주의는 시끄러운 겁니다. 총을 쏴서라도 잡아오라고 한 그 누구보다는 훨씬 낫네요.,True,1,2025-02-09T20:21:10+0900,850849418348331039,35,11,0
long****,2bL30C,"헌법재판관 앞에서 궤변 늘어놓고, 횡설수설하고, 극우선동할수록 윤석열이 내란범죄는 더욱 뚜렷이 드러나네... 윤석열이와 그 변호인단꼬락서니가 한심하다... 죄의 엄중함, 반성없음, 재판받는 태도로 볼때 파면은 당연, 형사재판에서도 사형 선고 받을듯...곧 내란수괴 윤석열이의 입에서 공범자들 명단 튀어나오겠지. 국민의힘 국회의원들, 대통령실 인간들, 충견 검새들 지금 떨고 있니? 곧 내란수괴 윤석열이의 입에서 극악무도한 내란공범자들 명단 튀어나온다. 니네들 무섭제? 그래서 구치소 들락거리면서 윤석열이 협박도 하고 달래기도 하고 ㅉㅉ",True,1,2025-02-09T20:10:28+0900,850848728553095285,45,22,2
