user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sada****,2EOhI,니들이 수용안하면 어쩔껀데~?,True,1,2025-02-24T16:46:13+0900,852227139569713236,305,38,9
qzpm****,6wbJM,윤석열이 사형당해서 디질때 저것도 덤으로 어떻게 좀 하자.. 저거 인간이 아니다 저거..,True,1,2025-02-24T16:47:31+0900,852227222516269289,167,44,15
jbs4****,1fsjX,헌재 결정이 났는데 안따르고 수용  못하면 대한민국 국회의원 반납해야지 ㅡ 제도에 벗어난 자 가 어찌 공무를 정치를 한단말인가  하다못해  프랑스에 놀러가도  그나라 법을 따르는것이 존중인데ㅡ  무슨 자신이 헌재위에 있는것처럼 말을 호도하네 ㅡ 기득권이라도  주권자인 국민도 헌법수호  하는것이 당연한걸  !  무슨  헌법을 수락하는 것처럼  위세를 ㅡ,True,1,2025-02-24T17:40:31+0900,852230637233373405,128,20,5
grmt****,7V9bs,인상 참 더티,True,1,2025-02-24T16:48:26+0900,852227282075386058,102,4,3
higo****,2E8JE,왜 탄핵판결도 나오기전에 수용뜻을 밝히냐..머냐?,True,1,2025-02-24T19:32:31+0900,852237853533405331,50,1,3
cho4****,,,False,1,2025-02-24T16:54:55+0900,852227699526074751,0,0,0
2270****,jvHu,편향된 헌제 판결 그결과가 어떻게 나오든 인정하겄다는건가 수많은 국민들이 엄동설한 추위속에서 편향된 헌제에 대항  탄핵반대를 외첬는데도,True,1,2025-02-24T17:04:27+0900,852228314176159920,25,4,3
kore****,3UYBz,"어제 Cpac 2025에서 고든창이라는 트럼프 핵심인사가 한국의 부정선거, 중국의 개입 그리고 민주당의 쿠데타, 윤석열 대통령 지지 등을 이야기했다. 그리고 나서 트럼프의 고든창 호명 후 극찬하는 샤라웃을 함.. 근데 한국언론에서는 철저히 감추고 안나온다. 반드시 직접 찾아보기 바람..",True,1,2025-02-24T16:44:08+0900,852227004563456054,34,21,5
jhu7****,bQ9hi,지금의헌법재판소를. 만들어지는데일조했던 허영석좌법학교수가. 오늘헌법재판소의불법자행을. 지적했는데지금허ㆍ법재판소는.  시작부터가. 불법적으로시작된재판이라고그리고진행과정도다불법이라고지적했다.   정치프로패널중민주당대변인변호사들도.  허영교수지적에토달지못하고. 맞다고하연서여론조사전화가왔다면. 본인도.  불공정한재판이라고했을거라고했다. 누가봐도. 헌법재판소의대통령재판은.  불법이다.  대통렁탄핵기각이며. 저재판을. 주도하는. 문형배이민선등편파적정치재판관은. 탄핵되어야한다,True,1,2025-02-24T18:50:23+0900,852235138409431176,8,3,0
came****,1bpN0,이 개는 박근혜 대통령 때도 이렇게 하고... 또 개 소리... 너는 태생부터 더불어공산당 ... 가짜 눈물... 너는 숨 쉬는 것도 의심간다... 이젠 너의 고향인 더불어공산당 으로 가라....,True,1,2025-02-24T18:12:36+0900,852232704119275730,6,1,0
