user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yssk****,,,False,1,2025-02-26T10:02:16+0900,852386657272332420,0,0,10
bogi****,2jDX0,김건희   마약 수사나 좀 해봐라~,True,1,2025-02-26T10:02:47+0900,852386690625438084,197,94,8
wkdd****,3PDaD,"☆간첩법 반대: 민주당
☆국가 보안법폐지: 민주당
☆한미동맹 해지 :  민주당
☆국정원 대공수사권폐지 : 민주당
☆미국 대사관 테러범: 정청래
☆마약 수사반대 :민주당
☆대북송금 : 이재명
☆김정은에 USB 전달 : 문재인
....누가 내란범이고 간첩일까요?",True,1,2025-02-26T14:13:18+0900,852402830206566535,100,14,3
magi****,1m1q,석열이랑 손 잡고 다 그만둬라 그게 새로운 시대를 여는 길이다,True,1,2025-02-26T10:11:09+0900,852387230298144840,133,61,0
lome****,3youY,대통령실에 대해서도 내란공범 수사를 해야한다  대통령실이 몰랐다는건 말도 안되는 소리다,True,1,2025-02-26T10:36:54+0900,852388888373625274,112,52,2
choc****,1xF0a,대통령 복귀  환영. 공산주의 자들 일거에 척결하자,True,1,2025-02-26T14:38:14+0900,852404436188790904,58,10,2
sads****,1IbLh,청와대 안가고 용산 국방부 건물 뺏을때 부터 계엄을 계획했지 싶다...정진석이하 용산 대통형실 니들도 수사 받고 죄 값치뤄야지...윤석열이 복귀할 수 있는 곳은 구치소뿐임...,True,1,2025-02-26T11:14:00+0900,852391278522925059,73,34,3
jsh5****,56iy0,개헌이 필요하다 그러나 윤에 의한 개헌아닌 차기정권에서 해야한다,True,1,2025-02-26T10:00:55+0900,852386571070996869,68,29,0
sund****,7swEw,정말 저런 사람이 대통령이었다니.....왕자 손에 쓸때부터 독재를 꿈꾸었던건 아닌지...,True,1,2025-02-26T10:41:54+0900,852389210982711704,62,29,0
capt****,4puZd,풉!!!!  니들 해체야 ㅋㅋㅋ,True,1,2025-02-26T10:19:06+0900,852387742187782202,33,15,0
envy****,uGgL,미쳤나?,True,1,2025-02-26T12:56:52+0900,852397906110447972,25,11,3
qand****,1TsmN,참.. 정신이 나간 집단이구나.. 될거라고 생각하냐?..,True,1,2025-02-26T11:27:09+0900,852392126174986313,18,10,0
parr****,f8xR,생각만 해도 끔찍하다.,True,1,2025-02-26T11:20:47+0900,852391715602956635,11,4,1
cjdm****,333O3,이번 계엄이 정상이라고 하면 앞으로 계엄을 정권마다 하겠네 상대가 조금만 삐딱하게 나가면 군 경찰을 이용 계엄으로 총 칼로 적과 전투 하듯이 북한과 전쟁이 아니라 국민끼리 총으로 상대를 무력화 시키려 들려고 하지 않을까 특검을 한번도 안 받아 줄때는 먼가 꾸린내가 나니까 안 받아 주겠지 당당하면 왜 안 받아줘,True,1,2025-02-26T11:15:53+0900,852391399956414870,14,8,4
kyum****,Fha5,뻔뻔함의 극치!!   저 인간이 복귀한다고??? 치가 떨린다!!!!!!!!!!!!!!!!!!!!!!,True,1,2025-02-26T10:43:38+0900,852389322685415705,13,8,0
kso9****,xwxx,탄핵 기각되는 순간. 파국이고 망국이다. 단언한다.,True,1,2025-02-26T14:19:14+0900,852403212089557065,15,11,3
mmjl****,2WagO,대통령실도 마음 고생 심하셨을듯 ㅠㅠ 따스한 봄에 대한민국에도 봄이 찾아오길. 윤석열 대통령 복귀!!!!,True,1,2025-02-26T14:09:26+0900,852402580880359599,14,10,0
miji****,1uKzX,"폭탄주 50잔 습관적으로 먹고 뇌에 이상 생긴 듯. 마누라 김건희와 장모 최은순이 도이치모터스 주가조작하고 23억이나 해먹었는데 끝까지 무슨 간첩타령. 마지막까지 욕을 안할래야 안할수가 없다. 명태균 여론조작과 김건희가 김영선, 김상민 공천개입한 녹취록 다 나왔는데도 저렇게 뻔뻔할 수 있다는게 놀랍다.",True,1,2025-02-26T20:26:48+0900,852426893113164053,4,0,0
