user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cant****,1ZHWJ,니가 아직 감옥에 안간게 더 믿기지 않음. 주변인이 도대체 몇명이 죽은거여?,True,1,2025-03-09T17:25:25+0900,853435691726536796,705,91,18
jmk5****,6iEuS,"나도 믿기지가 않아.
범죄자가 거대야당 대표인게.",True,1,2025-03-09T17:32:19+0900,853436135601340505,418,54,10
hany****,,,False,1,2025-03-09T18:15:02+0900,853438887752630283,0,0,4
hard****,2WhMN,응 국민들은 전과4범 니가 아직까지 구속이 안됬다는게 믿기지않는다 이 개뻔뻔한 내로남불 ㅇㅇ ㅉㅉㅉ,True,1,2025-03-09T18:26:28+0900,853439624272412805,303,41,2
okju****,55Jv9,심장이 오그라들고 다리에 힘빠져 휘청거리제 너때문에 돌아가신 7영 원혼들이  구천을 떠돌고 있는데  두다리 뻗고 편하게 자면 안되제 너는  아마도 끝까지   비열하고 추잡스럽게  끌려 갈거 같다  이제  주변 정리해라.,True,1,2025-03-09T17:53:21+0900,853437491636600943,237,31,0
pari****,drnnM,이상해 범죄 전과 4범이 자기 살려고 선동에 열정인게 믿기지 않음,True,1,2025-03-09T18:09:52+0900,853438555479867593,105,16,0
yak3****,am55l,"50여일 이죄명  이 넘  대통령이나ㅈ된듯 깝치더니  ㅎㅎㅎㅎㅎ   꼴  좋다~~~!!!
이죄명 구속 될 날만 남았다",True,1,2025-03-09T17:54:00+0900,853437532690448385,101,14,0
jsg5****,,,False,1,2025-03-09T20:32:30+0900,853447744713392288,0,0,1
taij****,20qKJ,"니네는 앞뒤가 안맞아도, 과정이 위헌이어도, 자료가 다 거짓이어도 같은편이면 괜찮고 다른편을 치기 위해서는 다 용인되지. 정의로운 자유민주주의 대한민국에서는 그게 안되거든. 니가 그래서 믿기지가 않는거야. 그런 세계가 좋으면 우리나라에서 당대표하지 말고 중국이나 북한에 가서 살아",True,1,2025-03-09T20:34:27+0900,853447869418438826,58,12,1
dbsw****,4szCm,니가 아직도 감빵안가고 정치질하고있는게 믿기지않는다 믿기지않는다 믿기지않는다ㅋ,True,1,2025-03-09T21:13:56+0900,853450413716799803,46,8,0
huih****,1Q6Hy,대통령으로서 다른거 다 엉망진창이지만 이재명 하나만 조져도 윤석열은 업적 하나 만드는것.,True,1,2025-03-09T18:04:57+0900,853438238507925783,44,8,2
doct****,1k2ep,"중국 간첩이 판치는 마당이라서 계엄은 정당했다고 본다. 지금 우리 나라는 하이브리드전 한가운데 있고, 기술 유출은 심각한 상황이고, 나라가 중국 속국이 되느냐 마느냐의 기로에 있다. 윤석열 대통령님은 국가의 이러한 위기 상황을 알리고, 중국 간첩들이 활개칠수 있도록 선거를 조작한 선관위를 털려고 계엄을 하신 거다.",True,1,2025-03-09T21:15:03+0900,853450485758165025,45,10,1
band****,Vb2M,감옥갈까 겁나서 그런가보네,True,1,2025-03-09T17:49:23+0900,853437235263963237,38,6,0
shal****,301LW,도련님 형수 거기를 찢겠다는 말을 도저히 믿을 수가 없지만 진짜네요~,True,1,2025-03-09T17:52:41+0900,853437447915176128,32,5,0
sush****,,,False,1,2025-03-09T17:53:54+0900,853437526482878708,0,0,0
hoh7****,,,False,1,2025-03-09T21:31:16+0900,853451530374742114,0,0,0
guap****,S3v3,"지네가 내란죄를 빼놓고 내란수괴라고 하고!! 어디서 북한에서 쓰는말을 쓰고 대통령에게 내란수괴가 모냐! 못배워먹은x,, 빨리 감옥으로 가야함!!",True,1,2025-03-09T20:40:33+0900,853448262491832485,23,5,0
bae8****,,,False,1,2025-03-10T00:56:28+0900,853464750133084247,0,0,1
sung****,1trKk,이재명이 거짓말쟁이지........아마 본인도 떨고 있을걸...불안해서....,True,1,2025-03-09T22:28:06+0900,853455191767253031,22,4,0
jjoo****,,,False,1,2025-03-09T17:33:19+0900,853436200847933545,0,0,0
jwp1****,1LlhO,"재명이와 민주당은 정신차려라! 너희들이 공수처를 압박해서, 무리한 수사를 하다가 내란범 썩열이가 풀려나온 책임이 있다. 그리고 극우가 아닌 많은 중도층 국민들이 계엄령은 잘못되었다하지만, 탄핵반대를 부르짖는 이유를 알거라. 바로 썩열이 보다 더 뱀같은 재명이 때문이다. 재명이가 대통령이 되고 홍위병 같은 개딸들과 극좌들이 인민재판으로 대한민국을 절딴낼 것이라는 것을 알고 있기 때문이다. 썩열이와 재명이가 대한 민국의 지도라라는게 대한민국의 불행이다.",True,1,2025-03-09T20:27:30+0900,853447422557290662,17,3,0
issh****,,,False,1,2025-03-09T22:47:06+0900,853456415849709612,0,0,1
soak****,r0is,난 전과4범이 대통 후보로 나왔다는 사실이 믿기지 않는다고 3천번 외쳤다~~,True,1,2025-03-09T23:35:42+0900,853459547182858446,14,3,2
gree****,2nOhh,난 전과4범이 제1야당 당대표인게 더 믿기지 않는다.  인물이 그리업더냐??,True,1,2025-03-09T22:23:41+0900,853454906722353400,10,2,0
sscs****,,,False,1,2025-03-09T23:47:43+0900,853460320713179338,0,0,0
lmks****,3gzj5,"이재명은
아직강력처벌않는이유.이해불가
구속후죄상하나하나추가.무기까지가야할사항",True,1,2025-03-09T23:51:58+0900,853460594433458488,7,2,0
litt****,,,False,1,2025-03-10T01:56:45+0900,853468633706266713,0,0,0
isar****,5JXEp,"믿기지 않겠지 곧 당신이 깜방가야 한다는 현실이..,
인과응보 사필귀정 , 이 모든 일들을  곧 믿게 될거야.  미리 축하해 죄명",True,1,2025-03-10T05:04:20+0900,853480719375138833,7,3,0
iwmj****,2IVOK,나는 찢재명같은 국민이 극혐하는 자가 대권을 도모하는 지금이 믿기지 않는다.,True,1,2025-03-10T04:09:10+0900,853477164366954502,6,2,0
hank****,1TRLf,너재판연기가 이렇게나 가능한지 믿을수가없다,True,1,2025-03-10T00:04:19+0900,853461390696906851,6,2,0
ley2****,5ji0w,전과4범 주제에 대통령을 넘보는게 더 믿기지않는다,True,1,2025-03-10T03:41:39+0900,853475391686311968,5,1,2
joon****,,,False,1,2025-03-10T00:10:49+0900,853461809506549994,0,0,0
jyc6****,3rAPR,감옥에 있어야 할 이재명이 대권후보 라는 사실이 믿기지 않는다.,True,1,2025-03-10T10:45:39+0900,853502707644760363,4,0,0
sjto****,TLgQ,천하의 조선족 수장 개잡범이 아직도 야당 대표를 하고 있다는 게 믿기지 않는다,True,1,2025-03-10T00:46:55+0900,853464134660915395,4,0,0
flut****,oLmD,"찢명아 니가 국회위원인게 더 안믿긴다ㅉㅉ
어떻게 전과4범이ㅉㅉㅉ",True,1,2025-03-09T18:20:14+0900,853439223397613634,4,0,1
rnfj****,56dai,죄명이가 감옥안간거  제일 이상하다,True,1,2025-03-09T17:39:12+0900,853436579794911298,4,0,0
hsy4****,1SCAH,난 니가 아직도 감빵에 있지 않은게 더 신기하다.....전과4범도 모자라 지금도 재판을 받고있는데.....판사는 다 니 편인가보다...몇년째 질질 끌어온거보니.....,True,1,2025-03-10T12:02:21+0900,853507649575059582,3,0,0
yoon****,,,False,1,2025-03-10T10:12:03+0900,853500542930911265,0,0,0
aszx****,639ct,너나잘하세요,True,1,2025-03-10T01:57:47+0900,853468700563472478,3,0,0
rbkh****,2bXzWc,"이재명 이제 주제파악 좀 해라
대통령 되겠다는 꿈깨라~~~",True,1,2025-03-10T01:22:34+0900,853466431277236320,3,0,0
kell****,5cbQs,"찢이 아직도 구속되지 않았다는게
정말 믿기지 않는다",True,1,2025-03-10T00:22:22+0900,853462553139871858,3,0,0
koji****,1nGUp,나도 안믿긴다. 한 인간주변에서 그렇게 많은 사람이 의문사한것이~,True,1,2025-03-10T00:19:22+0900,853462359950229617,3,0,0
khjk****,3myfG,난 너가 믿기지 않는다.구속이 안되고 아직 뭐하고 있는가요,True,1,2025-03-09T23:21:53+0900,853458657185104133,3,0,0
devi****,28oUp,재판전 단식으로 재판연기시킨 당신을 절대 믿을수가 없음 ㅋㅋ,True,1,2025-03-09T23:13:59+0900,853458148030153026,3,0,0
