user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sisi****,3Yli4,중요한 교육입니다.응원합니다,True,1,2025-04-01T18:38:26+0900,855574135072358557,320,16,2
jodj****,23Oew,육군사관학교는 반드시 TV생중계 직관해야지,True,1,2025-04-01T18:42:30+0900,855574397853892774,228,3,5
hets****,2X5GE,전국 모든 학교에서 중계방송을 수업으로 인정해야,True,1,2025-04-01T18:45:03+0900,855574561633075229,151,5,0
anda****,,,False,1,2025-04-01T18:54:38+0900,855575178833297634,0,0,2
prts****,,,False,1,2025-04-01T20:37:36+0900,855581812745830606,0,0,0
haip****,cyOt,멋지다 광주,True,1,2025-04-01T19:08:45+0900,855576087940301049,67,6,0
stsc****,1en2m,전국 중고등학교에서 시청토록 해라~ 요즘 애들 역사 교육이 부족하다.,True,1,2025-04-01T19:53:30+0900,855578971037761717,61,1,1
blue****,19xNu,전국의 모든 학생들이 시청하면 좋겠네요. 공부만 잘하면 뭐든 용서된다는 지금의 교육이 윤석렬같은 괴물을 만든거 아닙니까? 죄를 저지르면 죄값 받는다는걸 똑똑히 가르쳐야합니다.,True,1,2025-04-01T20:21:41+0900,855580786819072246,37,3,0
gogo****,9sCHS,헌법파괴 내란수괴는 당연히 파면이다 온 국민이 민주주의 되찾고 회복하는 날이다!,True,1,2025-04-01T18:36:41+0900,855574022849560818,43,10,1
wjdw****,4dpN9,"전국학교에 하면안될까.. 
울아들에게도 보여주고싶은데",True,1,2025-04-01T23:40:27+0900,855593592700272766,32,2,0
chon****,1L7I4,당연히 그렇게해야지..역시 전라도는 항상 옳다..,True,1,2025-04-01T19:00:40+0900,855575567695610098,27,9,0
felx****,DytR,진정한 민주주의 교육이라 생각되네요. 정치인들은 무서워해야하며 재판관들은 학생들에게 부끄럽지 않은 판결하길 기대합니다.,True,1,2025-04-01T21:20:43+0900,855584590700478796,18,1,0
judy****,3VEaM,"다른 시, 도 들도 그랬으면 좋겠네 이게 살아있는 교육이지 그리고 미래에 바른 지도자를 뽑는게 얼마나 중요한지 느낄 수도 있고",True,1,2025-04-01T20:11:28+0900,855580128950878378,13,1,0
hyow****,2cMnta,역사는교과서에만있는게아니다. . 지금 이순간순간이 역사인것을~  전국에 학생들 다보여줘야한다고 본다.,True,1,2025-04-01T19:06:02+0900,855575913172041756,12,2,0
pray****,3EqZq,"경상도는 안 봐? 경상도에도 보여줘야지. 내란 일으키면 뒤진다는걸 알려줘야지. 서울대, 육사 꼭 봐라.",True,1,2025-04-01T23:53:21+0900,855594424011325528,11,1,0
jeju****,cEALt,역시 광주 시민들은 이렇게 화끈하게 정의를 가르칩니다!,True,1,2025-04-01T20:01:35+0900,855579491953541339,8,1,0
saun****,40ZFa,이것이 살아있는 민주주의교육. 부산에서 응원합니다,True,1,2025-04-01T19:54:09+0900,855579013417009218,8,1,0
syst****,3qJzz,이게 맞지,True,1,2025-04-01T21:34:12+0900,855585458569085008,7,0,0
ahru****,1QaDY,우와 멋있네요 교육청!!! 이런게 교육이지!! 경상도 지역이 꼭 봐야할텐데!!!!!,True,1,2025-04-01T20:53:19+0900,855582824663613568,7,2,0
kjmi****,UJiP,대구ㅇ경북 교육청은 반드시 시청하게 하고 그 쪽 경로당에도 전부 모여서 보게 해라!,True,1,2025-04-01T20:58:48+0900,855583178058891538,6,1,0
okok****,1CMrw,"학생들도 봐야지. 범법자,범죄자, 사기꾼이였던 자, 마누라와 본인의 범죄를 덮기위해 계엄구테타를 꾀했던 자의 마지막을...",True,1,2025-04-02T06:34:14+0900,855620250337542183,5,0,0
wk13****,3ybRd,정치에 관심을 가져야만 가장저급한 자에게 지배당하지 않는다,True,1,2025-04-01T23:54:13+0900,855594479158034499,4,0,0
mywa****,2NQi4,서울대 법대생들은 의무로 듣게 해야합니다.,True,1,2025-04-01T20:44:54+0900,855582283178967349,4,0,0
hihe****,4UJb3,저희는 경기도 인데 담임쌤 주관으로 3교시에 탄핵선고 본다네요 역사적인 날입니다 우리도 다리 뻗고 좀 살자!!,True,1,2025-04-01T20:41:21+0900,855582054237077625,4,0,1
ohy7****,Bt2n,살아있는 역사를 교육하는 좋은방법입니다.,True,1,2025-04-01T20:36:11+0900,855581721595215933,4,0,0
06lo****,3uEOR,필요합니다~~역사의 현장에서 보고 느끼고 생각할 필요가 있습니다~~,True,1,2025-04-01T19:02:12+0900,855575666714738766,4,0,0
dolv****,,,False,1,2025-04-02T01:43:36+0900,855601526813491280,0,0,0
imee****,4VFr0,"공부보다 
정의 
역시 다르다",True,1,2025-04-02T09:16:26+0900,855630700009750699,3,0,0
1020****,2uxvl,역시 광주다. 숙연히 지켜보리라.,True,1,2025-04-01T21:35:54+0900,855585568577290558,3,0,0
rnrt****,W3Nl,충암고는 시청 안하나?,True,1,2025-04-01T20:59:44+0900,855583238725304583,3,0,0
ehfv****,46cn1,대구갱북학생들이 꼭 봐야하는데 저지역은 파면이 이해하기힘들겠지,True,1,2025-04-01T20:51:13+0900,855582690227781707,3,0,0
glar****,3WOBv,전국적으로 고교생 생중계 시청하게 하면 좋겠다.,True,1,2025-04-01T20:30:40+0900,855581365784019215,3,0,0
tlsq****,3FEjD,역시~ 민주주의의 뿌리,True,1,2025-04-01T18:50:48+0900,855574931738460427,3,0,0
119h****,2ZkKf,"ㅎㅎ

이재명이

지껄이고

행동하는거는 ?",True,1,2025-04-02T00:52:54+0900,855598260474085508,4,2,1
