user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gree****,9tV6u,광주분들은 아직 어쩔수 없구나~!,True,1,2025-04-02T12:26:59+0900,855642975781257574,51,19,6
hans****,1MyTy,2찍 놈들 많네 ..,True,1,2025-04-02T12:39:45+0900,855643798888251688,22,4,1
mbc9****,rDhP,"에구...
이러니 전라민국이란 소리를 듣는거야...",True,1,2025-04-02T12:51:24+0900,855644549148573866,23,13,1
blba****,rfp1,"대구사는 50대 극보수 성향입니다.
이번 탄핵은 인용 되어야 마땅하며 광주 포함 전국의 올바른 생각을 가지고 계신 국민들을 응원합니다!!!",True,1,2025-04-02T13:18:05+0900,855646268108570660,11,2,2
kyan****,,,False,1,2025-04-02T12:56:28+0900,855644875717083316,0,0,0
king****,2IRPy,내 고향 광주여 ㅡㅡ더불어가 광주를 위해서 멀 해준거 있나요. 과거 5.18 보상도 김영삼대통령이 힘 쓴거 아시나요. 김대중은 한것도 없네요,True,1,2025-04-02T13:01:02+0900,855645169737793556,4,1,0
yjwo****,2p1kN,이번 주말은 민주주의 축제로구나^^,True,1,2025-04-02T13:13:57+0900,855646001417945464,3,0,0
71ha****,,,False,1,2025-04-02T12:33:12+0900,855643377025155163,0,0,1
kwon****,,,False,1,2025-04-02T13:16:43+0900,855646180581835003,0,0,0
lkm0****,1D6Wd,2찍들 거의 사이코패스 수준..,True,1,2025-04-02T13:10:03+0900,855645750934110229,2,0,0
kepy****,6zl1r,정율성 공원 이지라,True,1,2025-04-02T12:53:49+0900,855644705394786648,2,0,0
osmm****,,,False,1,2025-04-02T12:39:05+0900,855643755418484771,0,0,1
bjor****,3k6wM,사람 뒤졋냐? 선동 좀 그만 당해라 민주당이 29번을 줄탄핵해놓고 헌법재판관들 고의로 안뽑아서 직무 정지를 장기간 끌어서 국정운영 마비시키고 대통령 탄핵운동 벌이던 민주노총은 북한 지령을 받은게 다 걸렸는데 계엄하는게 뭐가 잘못이냐??,True,1,2025-04-02T13:51:49+0900,855648441982779726,2,1,0
lss1****,NUZ2,망나니 윤완용은 만장일치 인용으로 마땅히 파면돼야지,True,1,2025-04-02T12:53:34+0900,855644688869228774,2,1,0
kis8****,1shp8,명단이나까쇼,True,1,2025-04-02T13:24:23+0900,855646674083643542,1,0,0
sk41****,,,False,1,2025-04-02T13:15:12+0900,855646082485452868,0,0,0
ysh4****,2J2b3,"전라민국은 왜 대한민국이 되기가 어렵나?
대한민국이 사상이 아닌 법과, 정의와 순리대로 이루어지는 나라가 되기를...",True,1,2025-04-02T13:33:23+0900,855647254357213347,2,2,0
gksx****,,,False,1,2025-04-02T12:54:07+0900,855644723849723973,0,0,0
a956****,6tZ0D,기각이다,True,1,2025-04-02T12:51:16+0900,855644540424421493,2,2,0
kkdh****,2oLkE,이재명 을 체포하라 체포하라 체포하라,True,1,2025-04-02T13:52:27+0900,855648481929330867,1,1,0
seou****,eiTFe,ㅎㅎㅎㅎㅎㅎㅎ 자치지구 하마스 후예들 파이팅~~~~~~,True,1,2025-04-02T13:32:57+0900,855647225668174197,1,1,0
hime****,15jpl,몽땅 모아놓고 누가 네이팜 한발만 좀,True,1,2025-04-02T13:03:23+0900,855645320749514912,1,1,0
hang****,1mKdZ,세상에는 아프신분들이 참 많은것 같아요.,True,1,2025-04-03T09:00:26+0900,855722440041431172,0,0,0
wooh****,23vP9,5.18광장에서 한다는거부터가 정치적 이용이라는거모르냐,True,1,2025-04-03T08:40:47+0900,855721174787686628,0,0,0
nala****,NQRb,역시 민주주의의 성지 광주다!,True,1,2025-04-02T14:37:14+0900,855651367442710635,0,0,0
ebgr****,6FIGs,광저우,True,1,2025-04-02T14:26:15+0900,855650659611967603,0,0,0
hslo****,1kog1,"난 인어공주가 맞네. 인간을 너무나 사랑해서 날 아프게 한 인간들을 죽이진 못하고 스스로를 파괴해 죽는 인어공주가 맞구나... 물거품이 되어 사라졌지. 먼지가 되어 사라지는 지구처럼... 내가 그 인어공주가 맞았구나. 
디즈니는 예언가네. 디즈니가 예언가야.",True,1,2025-04-02T14:08:17+0900,855649501984063622,0,0,0
kate****,,,False,1,2025-04-02T14:07:33+0900,855649455259517179,0,0,0
dona****,3YyJ4,희망의 노래를 힘껏 부르자!,True,1,2025-04-02T13:58:58+0900,855648902265700761,0,0,0
yooc****,,,False,1,2025-04-02T13:57:36+0900,855648814185316578,0,0,0
pcy1****,3wiFM,"글로벌적으로 민주주의 격상되느냐, 후진국되느냐가 달려있다",True,1,2025-04-02T13:38:54+0900,855647609061114226,0,0,0
tjrl****,,,False,1,2025-04-02T13:36:17+0900,855647440567533688,0,0,0
sin9****,EZS3,아픔이 많은 광주.,True,1,2025-04-02T13:34:57+0900,855647355104395673,0,0,0
phj8****,BEb4,응 기각,True,1,2025-04-02T13:33:46+0900,855647279036498226,0,0,0
fort****,3qYwp,4월 4일을 전남전북 광주의 분리독립의 날로 기념합시다!!,True,1,2025-04-02T13:31:24+0900,855647126665822373,0,0,0
dong****,bGWKg,"부산,대구 욕하지말고 광주 전남부터 돌아보시길~",True,1,2025-04-02T13:28:19+0900,855646927151169660,0,0,0
rwon****,3wV3j,정말로 말그대로 한줌도 안되네 쯧쯧.  이걸 기사를 써주는 오마이나,True,1,2025-04-02T13:27:58+0900,855646904602591569,0,0,0
jwju****,cU5Yk,오마이가본사가광주인가 호남 민심 대변지인가,True,1,2025-04-02T13:26:37+0900,855646817814053144,0,0,0
lyg7****,1oaZR,지역차별..수십년이 지난..지금도..저 동네는 왜 저러는걸까요,True,1,2025-04-02T13:26:23+0900,855646802865553592,0,0,0
doyu****,48oeC,2찍들 발악을하네 무뇌인간들 평생  빌어처먹어라,True,1,2025-04-02T13:20:09+0900,855646401822982215,0,0,0
dokh****,9CDUt,대한민국 망치는 주범들. 대체 왜 저러냐,True,1,2025-04-02T13:20:00+0900,855646391437885446,0,0,0
jine****,Fpi3,"축제의 불금이 되길~
월드컵4강 진출한 이후로 최고의 기쁜 소식이 되길~
정상적이고 상식적인 나라가 되길~
간절히 기도합니다.",True,1,2025-04-02T13:16:19+0900,855646154862362752,0,0,0
