user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jwp2****,2cAYL,찢수괴 구속이 먼저다,True,1,2025-04-03T22:49:19+0900,855775841416642662,63,29,5
dong****,13mwM,그만큼 윤수괴의 탄핵을 온몸으로 느끼고 싶은 국민이 많은 것이다.,True,1,2025-04-03T17:51:27+0900,855756651167219874,79,57,2
dndl****,5wVk8,그나저나 국힘들은 탄핵되도 다음 총선 참패고 기각되도 총선 나가리네ㅋ 윤상현말대로 시간 지나면 잊혀질진 않을거다,True,1,2025-04-03T18:36:42+0900,855759566007173366,22,8,3
dmdr****,1TrBW,탄핵반대,True,1,2025-04-03T21:09:23+0900,855769403294220437,47,34,2
heod****,7z5PN,"윤대통령 마지막 밥숫갈 잘 뜨시고, 탄핵 인용시 스스로 구속되심이 국민에 대한 승복이요. 마지막 배려요.",True,1,2025-04-04T06:32:41+0900,855805693301620818,3,0,1
ritz****,4e76V,제발 오늘 점심은 맛나는 파면 한그릇 먹게 해주세요....,True,1,2025-04-04T05:17:30+0900,855800849971019808,3,0,0
mink****,2cmglt,민주당이 줄탄핵한다고 흉보더니 윤석열은 그동안 거부권만 계속행사하고. 경제도망쳐놓고. 거기에 트럼프까지 한국경제더망치고.   꼭탄핵되어야한다,True,1,2025-04-04T00:06:43+0900,855780827353579686,6,4,3
real****,csDxT,도살장가서 돼지 멱따는거 보면 되는데 ..,True,1,2025-04-03T21:08:03+0900,855769316774117400,5,3,1
soya****,3F7Ww,"탄핵 안되면 시위참여 나감.윤석열  또 비상계엄선포하겠지.이번 12.3 때 하얀 운동화 남자 계엄군에게 질질 끌려 가는거 봤는데 안 무서움.총맞아 죽어도 할것임. 탄핵 안되면 안됌. 사회공산주의로 힘들게 살다 죽냐.  법이 틀린거 아님을  강하게 주장하다 저항하다 죽나. 어차피 한 번은 죽을텐데.이렇게 윤석열이 돌아 오는게 죽는것 보다 더 안됌.
나라는 민주주의가 지켜져야 함",True,1,2025-04-04T06:32:38+0900,855805690264944728,2,0,0
pppj****,6yPda,"내일이면 쥴리 대통령이라는 비정상에서, 정상적인 나라가 되겠지요?",True,1,2025-04-03T17:50:02+0900,855756559613952017,20,19,0
kyod****,5WFus,"제발 1찍 2찍 따로 분리해서 살자
저 답답하다 멍청한 1찍들때메 대체 왜 이리 불합리한 세상에 살아야하나 1찍들 니들 사상이랑 맞는 중국이나 북한가서 살면 안되냐 하는 짓 사상이 딱 그쪽인데 왜 민주주의 국가에서 이 난리들이냐고",True,1,2025-04-03T23:54:08+0900,855780016208740388,5,4,2
vedi****,l8Aa,국짐윤거니와 추종자들 그리고 일당알바달은 나라를 쪼개서 따로 살았으면 좋겠다. 주저리주저리 헛소리에 반박할 감정소비도 없고. 공정과 상식은 얘네 금수들한테는 적용 안되는 것이니까.,True,1,2025-04-03T23:08:39+0900,855777086118297823,3,2,2
musi****,VsjO,"윤 탄핵과 함께 국힘도 해체하자!
이제 누가 국힘의 의원을 뽑을까ㅡㅡ",True,1,2025-04-04T03:17:32+0900,855793120321732640,2,1,0
soun****,4zlwg,"아직도 저들은 본인들이 뭘 잘못했고 잘못했다고 말한마디 안하고 똑같은 인간들이 다른 당들이 나쁜다~~
말을 못 알아들으니 벌을 내려야지~~
탄핵이~~답",True,1,2025-04-03T20:31:43+0900,855766975647842560,2,1,0
rltj****,3bSmJ,왠지   결과를알고있을것같은데.,True,1,2025-04-03T18:20:52+0900,855758546371871017,2,1,0
wjdw****,k5Mq,윤석열. 안나온다,True,1,2025-04-03T22:44:46+0900,855775548016689394,1,0,0
jn30****,bMqu3,"애네들은 이 신문말고는 안보나봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
천리안에서 살고 있는거 같아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2025-04-03T19:52:15+0900,855764433530519656,1,0,1
momi****,2033T,이죄명 구속 먼저나 해라. 범죄자는 무죄라 두는게 우리나라 현실임. 사법 카르텔 법치주의 모두 죽음,True,1,2025-04-04T00:01:56+0900,855780519609106654,6,6,1
ytel****,3E06h,기각이나 각하 이글은 성지가 될것이다,True,1,2025-04-03T23:33:39+0900,855778696798142636,5,5,0
shin****,1PHwW,국민 70프로 이상은 석열이 탄핵 구속되고 재명이두 하루빨리 구속되어 정치판에서 영원히 사라지기를 간절히 바라는구만... 깜두 안되는 양쪽진영 극렬 지지자 식기들만 지들 진영이 최고인듯 설치구 지릴들이니...  이번 기회에 탄핵 찬반 집회에 모인 양쪽진영 것들 또다시 설쳐대면 군을 동원허  모두 싸그리 없애버려야 할듯... 그래야 나라가 조용해지고 착하고 선량하게 살아가는 국민들한테 평화가 찾아올듯....,True,1,2025-04-04T04:55:03+0900,855799402617372675,1,1,1
sins****,5uf9E,"윤 .  오늘 기대됩니다. 폭동 일어날까🤔
 못봐서 아쉽다.. 일해야해서...🥺😭 윤 잘가~~",True,1,2025-04-04T04:51:05+0900,855799147754684423,1,1,0
rlej****,2ODi1,"죽을4
4월4일...",True,1,2025-04-04T04:03:13+0900,855796064270155794,1,1,0
8425****,1vXQ0,제발…없어졌음 좋겟어요,True,1,2025-04-04T02:35:12+0900,855790392983945227,1,1,0
sais****,dfmgI,윤석열은 탄핵이다,True,1,2025-04-04T01:03:25+0900,855784480508477516,1,1,0
sjmy****,3zoSd,윤석열복귀   찢재명구속해서 툭검해야한다!!,True,1,2025-04-03T23:50:57+0900,855779811207938309,1,1,0
heey****,yhza,아놔 두근두근 하넹 ㅎㅎ,True,1,2025-04-03T23:15:04+0900,855777499794112537,1,1,0
bjh7****,2qWSI,"인용, 이재명아웃",True,1,2025-04-03T22:48:09+0900,855775766103720001,1,1,0
gpkc****,1pHHt,복귀해야 됩니다  김건희 손잡고 싸이코 쌩양아치는 깜빵 으로 즉시 복귀해야 됩니다,True,1,2025-04-04T08:49:36+0900,855814513436393637,0,0,0
jsl3****,e4gEy,살아 돌아와. 직관하자. 이런 기사 쓰는. 언론 방송 기라기능. 벌땅  조단위로  때려라,True,1,2025-04-04T05:36:11+0900,855802053534941196,0,0,0
swsn****,2bs9a,"결과가 어떻게 나오던 수긍할 수 밖에. 우리나라는 법치국가니까. 근데 요즘 정치인이던 일반 국민이던 법 위에 서서 판결을 자기마음대로 해석하고 맞네 안맞네 윽박지르는게 문제인 듯. 지금도 양쪽에서 시위하면서 법관을 쥐어 흔들려고 하는게 뻔히 보이는데, 그걸 자유라는 명목하에 방치하고 있는게 현실. 판결이 못 미더우면, 법을 뜯어고쳐서 판결 제대로 나오는 시스템을 만들던가 해야지. 뭐하는 짓인지...",True,1,2025-04-04T05:07:57+0900,855800234280747065,0,0,0
kuku****,1cot7,다 유튜버....,True,1,2025-04-04T00:50:01+0900,855783616918061061,0,0,0
june****,xOFi,좋은 경험이겠네,True,1,2025-04-04T00:06:40+0900,855780824417566858,0,0,0
hand****,,,False,1,2025-04-03T23:09:57+0900,855777170591580481,0,0,0
mkrw****,5hu0L,"사상검증해서 일베, 매국노, 저능아, 태극기부대들은 그냥 필터링하세요. 또 폭동납니다",True,1,2025-04-03T23:00:30+0900,855776560941105308,0,0,0
soob****,3aKMu,난동 부릴 2찍은 분명 잇을거다.,True,1,2025-04-03T22:54:01+0900,855776143926624270,0,0,0
khj9****,2pm1Q,여기도 좌빨갱이들이 많이있네,True,1,2025-04-03T20:45:20+0900,855767853079462039,0,0,0
tlsw****,2LPu6,좌마이뉴스 기다려라^^,True,1,2025-04-03T22:57:45+0900,855776383807258887,1,2,0
wjdd****,3h9xN,나라가 반으로  쪼개진모습에 엄지를치켜세우며 나이스 하는 윤석열 개만도 못한자,True,1,2025-04-03T22:37:00+0900,855775047065796614,3,5,0
mcki****,11Ua0,나락가는거 직관하는게 얼마나 기쁘다 구주 오셨네다,True,1,2025-04-03T20:53:32+0900,855768381511434430,0,3,0
chad****,2c0ZY6,윤석열 탄핵 기각!! 윤석열 만세!! 반국가세력 척결!!,True,1,2025-04-03T18:29:52+0900,855759126377005402,15,19,1
