user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
syes****,4LVRq,윤석열을 대통령으로 만든 주범 안철수와 심상정,True,1,2025-04-08T13:46:38+0900,856204735693193502,382,27,12
time****,2aiw9,손가락들이 새로 났나?,True,1,2025-04-08T13:42:11+0900,856204448937017421,135,8,7
tele****,1aggd,"손가락부터 잘라라 인간아 근본도 안된 인간아
너때문에 대한민국이 망할뻔했다
두번다시 정치판에 들어오지마라",True,1,2025-04-08T14:10:32+0900,856206274650439935,125,8,1
juyo****,2JbmK,"윤상현이 너처럼 그랬다. 박근혜 탄핵 후, 인천 미추홀구에서 목에 팻말 걸고 거지처럼 표를 구걸하던 게 너와같구나. &lt;죄송합니다. 머리부터 발끝까지 바뀌겠습니다&gt; 라고 적힌 팻말을 목에 걸었던 윤상현. 그 윤상현이 지금은 내란 수괴옆에서 나라를 어지럽히고 있지. 그의 모습이 너와 같구나. 양심이라는 게 없는, 생명력을 잃은 한낱 미물. 장제원하고 쿵짝하던 너. 정치판에서 영원히 사라져야 할 너 안철수.",True,1,2025-04-08T14:11:55+0900,856206364039446957,84,7,0
junv****,57JAf,보기싫다..철수해라~,True,1,2025-04-08T13:45:10+0900,856204640901922886,47,5,1
asmk****,2opFr,니죄를 니가 알렸다??? 입다물고있다가 기어나와??? 부끄럽지도않나?? 이명박아바타 썩 물러가라 니사람들도 없는주제에 뭔 정치를하겠다고?? 이미널지운지오래다 비겁한자 !!!!!!,True,1,2025-04-08T13:44:55+0900,856204624527360432,45,7,0
lee5****,5IrIz,인간아 니땜시 나라가 이래 됐는데 출마를 한다고 뇌가 있으면 자중해라 국민들 혈압높이지 마시고,True,1,2025-04-08T14:17:30+0900,856206724229497058,38,4,0
ltk8****,2Aghb,또 2~3퍼 나오다가 단일화  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-04-08T14:23:39+0900,856207120423452945,33,3,0
dong****,13mwM,안철수는 안 철수 한다는 보장있나? 지금까지의 행태를 보건데....,True,1,2025-04-08T13:41:26+0900,856204399930769613,35,7,5
skat****,12Jya,일단 윤상현이랑 악수한거 자체가 끝임 잘~가 철수형 다시는 보지말자 진짜,True,1,2025-04-08T13:49:51+0900,856204942455603643,29,4,0
