user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
fgqw****,,,False,1,2024-12-26T17:04:28+0900,846662037869166758,0,0,8
gond****,1OLiS,노욕에 찌들어 있는늙은이가 국가를 망치고 있네 오늘 김용현이가 한덕수도 내란 중요 종사자 임을 자백 하는 발언까지 했다,True,1,2024-12-26T17:11:24+0900,846662484226998428,48,13,0
neve****,205rF,내란은 국힘당과 현 정부 국무위원들이 하고 있다,True,1,2024-12-26T17:04:14+0900,846662022769672278,43,25,1
wnlx****,1xOia,국민 국민 좀 갖다붙이 좀 마라!  부끄러운 줄도 모르냐?,True,1,2024-12-26T17:09:39+0900,846662371316334855,19,1,0
hysh****,2qCkZ,탄핵중독 민주당.  너희들이 내란세력이다.,True,1,2024-12-26T17:21:28+0900,846663132767060133,29,13,2
dbst****,,,False,1,2024-12-26T17:17:09+0900,846662854869254212,0,0,10
dbst****,ykjL,재판관 공석일때  민주당은 왜 추천 안햇냐,True,1,2024-12-26T17:14:36+0900,846662690486091992,8,1,0
cjsq****,5C5vw,한덕수 권한대행 아주 잘하고 있어요 소신것 밀고 나가세요..,True,1,2024-12-26T17:21:05+0900,846663107987111963,9,4,1
moon****,1DtT6,"내란수괴는 이간데, 왜 엉뚱한 일에 힘쓰나???",True,1,2024-12-26T17:18:10+0900,846662919679639619,4,1,0
kjun****,1BMKm,그냥 안하겠단거잖아. 감빵이나 가 노인네야. 내란당이랑 무슨 합의야.,True,1,2024-12-26T17:50:43+0900,846665017284624640,3,0,0
park****,3xQPp,다음주면 민주당 지지율 국힘이 역전시킨다 이런꼴을 보고도 민주당 지지하면 뇌가 없는거.,True,1,2024-12-26T17:19:16+0900,846662991150579814,7,5,0
arcs****,2Artn,합의?  국회의 투표절차가 곧 합의 절차인 것이다. 여당과 야당의 쟁점이 모두 합의 되는 것이 있는가? 다 합의가 안되는 것이니까 결국 투표가 있는 것이다.  그러면 초등학교 반장선거 하는데 합의해서 결정하면 되지 왜 투표를 하니?  그 투표가 이견이 발생할 때 정당한 합의 절차인 것이다. 그런데 여야 합의를 하라고? 무슨 괘변이냐?  그래서 정당한 결과를 이행하지 않는 당신이 바로 헌법질서를 파괴하는 것이다. 뭐 나는 진작에 탄핵해야 한다고 한 사람이기도 하지만 가차없이 탄핵하라.,True,1,2024-12-26T17:39:40+0900,846664305494458592,4,2,1
ljw2****,1hOJP,"좌파 종북 이죄명 민주당
국기문란  체제반란의 칼춤이
과연 국민을  위한것인지
당의이익을 위한것인지
분명히  인지해야합니다
오르지   권력욕에 의한 졸부근성
이런당을  믿으면 정말한국의
미래가 있는것인지  깊게 생각해야 합니다",True,1,2024-12-26T17:41:19+0900,846664411945894008,3,1,0
bhs7****,bTdE,한대통령대행님  잘 하십니다 법대로,True,1,2024-12-26T17:32:54+0900,846663869572055378,3,1,0
pste****,112EJ,"꼴도 보기 싫다 빨리 탄핵하여 우리 눈 앞에서 사라지게 해달라
딱 하나. 수의입고 재판받는 모습만 빨리 보고싶을 따름이다.
구역질 나는 놈이다",True,1,2024-12-27T03:32:26+0900,846702493642522651,2,0,0
haei****,,,False,1,2024-12-26T18:45:02+0900,846668516844109832,0,0,0
anjo****,6s1Sb,그전에 임명하시지..이제와서..지나가는 개가 웃겠다..ㅎㅎ,True,1,2024-12-26T17:33:12+0900,846663888798744650,2,0,0
ssdo****,18K98,그렇게 진작에 민주당에서 임명하면 됐잖아?,True,1,2024-12-26T17:29:42+0900,846663663346516221,2,0,0
drea****,Pgh5,내란수괴와 공범이자 하수인,True,1,2024-12-27T08:43:34+0900,846722538305224849,1,0,0
very****,cqogo,여야합의가 되겠냐? 그냥 내란총리 맞네..당장 탄핵해라,True,1,2024-12-26T17:52:45+0900,846665148348236053,1,0,0
goog****,1NLlB,여야협의보다 남북협의가 빠르겠다.,True,1,2024-12-26T17:46:57+0900,846664774098878828,1,0,0
pp80****,2iKmC,찢과 더불공산 잡것들이 내란 선동을 하고 있다. 더불공산잡것들을 위헌즹당으로 해산 시켜라.,True,1,2024-12-26T17:31:33+0900,846663782229868773,1,0,0
w571****,,,False,1,2024-12-26T17:31:33+0900,846663781877547211,0,0,0
lumb****,28KQc,그래 이재명 재판 끝내고 탄핵심판 가자~~,True,1,2024-12-26T17:24:57+0900,846663357229433190,1,0,0
dbst****,,,False,1,2024-12-26T17:13:01+0900,846662588111519755,0,0,1
edge****,qr8P,혼란을 수습할 생각도 없는 넌 그냥 조사나 받아라 과분한 자리에 있을 생각말고 니죄과 나와도 선처는 바라지마라,True,1,2024-12-26T17:10:30+0900,846662426312048825,1,0,0
mins****,2h7y5,하 진짜 이 좀비 북어 대가리 진짜…,True,1,2024-12-26T17:09:11+0900,846662341637439558,1,0,0
jkki****,,,False,1,2024-12-26T17:05:29+0900,846662102746661049,0,0,0
vess****,bOuuF,"민주당과 같은 정덩이 판을 치고 있는 대한민국은 참 불행한 나라입니다 윤대통령 필요하다면 처벌하는 것 당연합니더
현재 민주당이 행하는 곳은 한사람의 범죄 피의자를 살리기위해 국가를 마비시키고 있습니다 정의로운 사람이 있다면 이따위 쓰레기보다 못한 행동하지 않겠죠? 국민은 민주당의 시간이 아닌 국민의 시간이므로 대통령 과 민주당 모조리 처내는 것도 국민의 몫인데 왜 쓰레기 민주당이 개 난리를 떨고 있죠?죽 법대로 하면 문제가 있다는 것을 민주당 스스로 너무 잘 알고 있음을 국민앞에 보여주고 있습니다 저 국민이 이놈둘 삼판합시다",True,1,2024-12-26T17:23:13+0900,846663245291847765,4,4,0
dbka****,,,False,1,2024-12-26T17:13:34+0900,846662623545000132,0,0,0
ym72****,591CF,민주당이 미쳐 돌아가고 있네. 국민은 안중에도 없고 다 탄핵이다. 기어이 온 국민들을 다  탄핵 반대 광화문으로 모이게 하고 있다. 빨리 민주당 부정 선거 밝혀 내가 국회의원 자격 없는 것들 다  쳐내야 된다.,True,1,2024-12-26T17:34:46+0900,846663988925169939,3,3,2
noaa****,D1lw,한덕수  내란동조죄 체포... 당장  체포,True,1,2024-12-26T17:30:12+0900,846663694753464393,2,2,0
lyc5****,1caxH,니들 마누라도 탄핵해라 탄핵당아,True,1,2024-12-26T17:21:36+0900,846663141373771986,2,2,0
yy31****,BM8d,본인이 내란동범인줄 모르나??? 한심하다. 그리고 거짓말 담화 좀 그만해라~ 국민. 자유민주주의...입으로만 떠드는 놈들,True,1,2024-12-26T17:14:00+0900,846662651713945603,2,2,0
sjkt****,14o02,박근혜  탄핵 당시 추미애 /박범계도 대행에게  임명권 없다고 했는데 지금은 교수까지 나와  임명권있다고  임명해야 한다고 거들며  민주당은 한대행에게 압박아닌 협박을 하고 있다 한 개의 입으로 서로 상반되는 말을 할 수있을까  그래도 된다면 냘강도와 뭐가 다른가,True,1,2024-12-27T00:33:33+0900,846690969456738405,1,1,0
muto****,cDKDC,부총리도 아마 같을텐데… 또 탄핵할려들건가?  참 답이 없네…. 대통령도 꼴보기 싫은 범죄자지만 협치 안하고 독주하더니 이런 꼴이 되었는데… 국회도 자기들 맘에 안든다고 탄핵을 또 던지면 같은 꼴로 갈텐데… 이들은 왜 나라와 국민을 생각안하고 지들 맘대로 하나?,True,1,2024-12-26T19:27:33+0900,846671255842062497,1,1,0
merd****,1JQzs,석렬이가 쏘아올린 작은공,True,1,2024-12-26T18:18:12+0900,846666787566125123,1,1,0
yg80****,,,False,1,2024-12-26T18:04:12+0900,846665885253894220,0,0,0
7722****,9TN8U,"윤석열  한덕수  똑같다     빨 리  결정해서  결론나야
국가  시스템 이  작동하지   언제까지   끌고  갈려고
이모양이냐",True,1,2024-12-26T18:02:41+0900,846665787493056728,1,1,0
jung****,,,False,1,2024-12-26T17:59:07+0900,846665558551167020,0,0,0
hots****,,,False,1,2024-12-26T17:49:11+0900,846664918651371602,0,0,0
rlac****,,,False,1,2024-12-26T17:43:36+0900,846664558410989808,0,0,0
taek****,b1Weq,"이재명  대통령. 만들기 작전명 이네 

제2의  문재인 


처벌. 더듣어당  받아라 

박근혜 방식으로. 할려고 

이재명. 무임승차는. 절대로  반대",True,1,2024-12-26T17:36:31+0900,846664102607585463,1,1,0
yhs3****,3gdrV,한덕수 총리를 다음 대통령으로 모시자~!!!!!,True,1,2024-12-26T17:36:24+0900,846664095024283821,1,1,0
soft****,Kmoi,윤석열부터 형편없는 자식들이 권좌에 앉아 개작당질을 해서 나라 망하고 있다 환율이고 주식이고 경제 깡그리 다 작살나고 있다 이찍뜨라 이를 어쩌면 존노?,True,1,2024-12-26T17:32:00+0900,846663810986016771,1,1,0
grea****,1Pp1Y,빨리 탄핵시켜라 이미 계엄 보고 받고 같이 행동한 자다. 구라도 치고 버티기만 한다. 대통령대행 시계 만들기 전에 빨리 끝내라,True,1,2024-12-26T17:31:42+0900,846663792296198423,1,1,0
milk****,yZmc,민주당은 재명이를 위해 탄핵만 하네?ㅋㅋㅋㅋㅋㅋ 지금 무지 급함,True,1,2024-12-26T17:29:45+0900,846663666517410071,1,1,0
kcso****,2hq4w,"더듬어범죄당 수괴 이재명이, 코딱지 파던 박찬대가 골빈 머리로 설치는 꼴 좀봐라.. 저런걸 국개로 뽑은 짐승보다 못한 인간이 있을까. 분명 선거 조작이겠지...",True,1,2024-12-26T17:21:43+0900,846663148806078746,1,1,0
ligu****,1Ah77,아 진짜 심심하면ㅇ탄핵이야?탄핵도 되게 무게 있고 엄중한 단어인데 민주당 때문에 너무 가벼워짐.,True,1,2024-12-26T17:18:44+0900,846662956690178332,1,1,0
bsmi****,,,False,1,2024-12-26T17:15:18+0900,846662735767797886,0,0,0
jkpa****,7geBj,한덕수 총리 실망입니다. 당신은 국민의 뜻을 알줄알았는데,True,1,2024-12-26T17:13:32+0900,846662621766615270,1,1,0
ami8****,4cK8G,잘가라 내란공범,True,1,2024-12-26T17:12:31+0900,846662555614052555,1,1,0
wnlx****,1xOia,한덕수  부끄러운 1인!,True,1,2024-12-26T17:12:22+0900,846662546202034335,1,1,0
glfk****,1Xb6m,한덕수 권한대행 와 멋쁨 뿜뿜  건강 잘 챙기세요 감사합니다,True,1,2024-12-26T17:06:09+0900,846662145998323761,1,1,0
cgc2****,,,False,1,2024-12-27T09:39:36+0900,846726148510449873,0,0,0
wkdw****,1ztgK,정부를 반대하는 세력에게 내란죄가 적용 된다. 그렇다면 민주당이 말하는 정부는 무엇인가?,True,1,2024-12-27T04:00:33+0900,846704305598627863,0,0,0
ghtt****,5hLj0,미꾸라지,True,1,2024-12-27T03:53:05+0900,846703823723429894,0,0,0
doct****,2O09q,나라를 지키면 내란이고 중국오랑캐 빨면 애국인나라. 부모님뻘 욕지거리하면 깨시민이고 효도하면 극우인 나라.한국에서 중국어쓰면 상전이고 한국에서 한글쓰면 극우인 나라. 깨시민은 극좌파고 반중친미하면 극우인나라.에라이,True,1,2024-12-27T02:11:24+0900,846697273109774372,0,0,0
sjkt****,14o02,국개의장 민주당 똘마니 우덜식이부터 민주국개의원들은 뇌들이 없나 너무 일사불란하게 움직이는 것이 단 한명도  제대로 된 인간들이 하나도 없다는게 참으로 놀랍다  일사불란한 것이 조폭조직답다,True,1,2024-12-27T00:36:37+0900,846691167461441635,0,0,0
neew****,19Mg2,빵빵빵,True,1,2024-12-27T00:12:14+0900,846689595956396088,0,0,0
nisk****,Ei6Z,노망난  늙은이 새키,True,1,2024-12-26T23:17:40+0900,846686080995426496,0,0,0
bory****,,,False,1,2024-12-26T20:03:19+0900,846673559806804062,0,0,0
naya****,2i3Zf,"덕수야  뽀록났다.  알고도 모르는척하느라 고생했다.
맘 비우고 감옥가자!",True,1,2024-12-26T19:18:26+0900,846670668169740430,0,0,0
mypi****,,,False,1,2024-12-26T19:09:46+0900,846670109974986941,0,0,0
yhg4****,,,False,1,2024-12-26T19:03:32+0900,846669707841896624,0,0,0
