user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cold****,1DzC6,법에 따라 해야지 니들 양심은 못믿겠다.,True,1,2025-01-07T14:54:06+0900,847766894113980472,23,1,1
hk32****,a8jZ4,"국민만 바라보고 히는 것도 안되지요.  그건
여론재판을 하겠다는 의미로 들리는데요.
헌법재판소 판결은 당연히 헌법과 법률에 의해서만 판결해야지요.  무슨 개떡같은 소리를 작작하는겁니까?",True,1,2025-01-07T15:06:37+0900,847767700242432277,8,0,0
sunn****,4et2O,이미 공정성은 훼손되었다,True,1,2025-01-07T14:56:34+0900,847767053229097207,8,0,0
rook****,2se8u,웃기고잇네 ㅋ,True,1,2025-01-07T15:04:45+0900,847767580671213925,2,0,0
wwoo****,1DDed,니들양심은 죄명이지 언제부터 양심에따라가는 법으로 변했냐,True,1,2025-01-07T14:58:10+0900,847767156492861527,5,4,0
sara****,2jFoJ,다툴게 있나요? 전국민이 다 봤는데,True,1,2025-01-07T15:31:29+0900,847769302298788043,1,0,0
kwon****,1tbnz,헌재   양심.  중공괴뢰 판사  집단  공덕동  서부지방법원에서 헌재 재판관  2명  이번에  침입  성공.  이걸 믿으라는건가.,True,1,2025-01-07T15:03:35+0900,847767504905306379,1,0,0
karm****,33dCw,국민 누구를 보는데? 헌재야 가자미 눈이냐?,True,1,2025-01-07T15:02:18+0900,847767422730502271,1,0,0
kimh****,2m82a,양심 같은 소리하네 간첩같드만.ㅋ,True,1,2025-01-07T15:02:00+0900,847767403084382209,1,0,0
suny****,2qfN6,헌재 사무처장에게 징계해라. 헌재 얼굴에 먹칠을 했다. 정당해산 당할 국힘 권성동을 왜 만나!!!,True,1,2025-01-08T08:20:39+0900,847834317718552736,0,0,0
hayi****,1oZHH,"기각되어야지 뭐가 국민을 보고 간다냐?
너희가 진짜 법 위에 있구나?
헌재가 말하는 공정도 걱정하지 말라는 말도 양심이라는 말도 모두 국민 속이고 국민을 멍청이로 보고 자기들이 결정내려 놓고선 좋은 말로 커버치는걸로 들린다
헌재가 지금까지 보여준 모습이 그러하다
보여준대로 생각하는게 당연한데 어찌 당장의 말을 믿을 수 있으며 대통령보다 위에서  대통령의 권한으로 재판하지 못할 부분을 재판하면서 우리가 알아서 한다고?  당신들이라면 그 말이 믿겨지나?",True,1,2025-01-08T02:52:31+0900,847813177805635632,0,0,0
sghu****,,,False,1,2025-01-07T17:33:25+0900,847777157508759728,0,0,0
mari****,8rI2e,헌재 재판관들이 하나같이 양심이 없어보이니 문제지,True,1,2025-01-07T16:37:08+0900,847773532321480779,0,0,0
kcs1****,26sqE,초딩이 해도 너무 명백한 사건이다.,True,1,2025-01-07T15:49:36+0900,847770470026576151,0,0,0
erik****,49b2M,편향된 언론이 국민들의 눈과 귀를 막고 입법 폭거자들의 협박이 도를 넘는데 공정성을 찾기가 쉽겠습니까?,True,1,2025-01-07T15:36:34+0900,847769630394024189,0,0,0
leeh****,,,False,1,2025-01-07T15:31:30+0900,847769303422861518,0,0,0
zamy****,2H0wT,법대로 내란죄도 추가요..그만 ㅈㄹ 하시고,True,1,2025-01-07T15:29:57+0900,847769203732644245,0,0,0
