user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jmk1****,67OL8,우리법연구회출신들이  대한민국을 망치고있다~~반국가세력!!!,True,1,2025-01-24T19:08:41+0900,849360406974562507,196,31,5
im70****,2pY8o,"부결 되었던  탄핵을 다시 시도해 가결 만들고헌재 심판 방해하려고  절차 무시하고 구속.
안썩은  곳이 없네.",True,1,2025-01-24T19:18:36+0900,849361046689808556,71,13,2
esma****,ahJKC,"검찰은 국민을 두려워해야 한다. 과거 처럼 검찰, 판사가 무슨 말을 하든 먹히는 시대가 아니다. 국민들도 검사, 판사 못지 않은 법 지식과 의식을 갖고 있다. 공수처, 법원에 이어 검찰마저 사법을 농단한다면 이 나라 법조인들은 국민 앞에 온전하지 못할 것이다.",True,1,2025-01-24T20:03:50+0900,849363960372134117,35,1,0
sss_****,,,False,1,2025-01-24T20:31:22+0900,849365734277513323,0,0,0
byel****,2PJuM,전 국민을  구속시켜  고통 속에 빠지게 하는 내란 수괴를 옛날 같으면 능지처참이고 삼족을 멸하는 벌을 받아야 하거늘 시대가  좋아  자유대한민국의 법치에 따라 죄를 묻거늘 이 염치도없는 놈들아,True,1,2025-01-24T19:26:10+0900,849361533581393968,58,49,6
snsh****,4oC4d,재판 빨리 끝내려고 내란죄 철회했다면서? 내란 우두머리 혐의로 영장 발부해준 판새도 어이없는데 그걸 받아들이고 구속 연장하겠다는 검찰은 또 뭐냐?,True,1,2025-01-24T20:37:29+0900,849366128575643771,6,1,1
haeh****,4kJLL,"대한민국 사법기관 정신차려라
헌법이 보장한 대통령이 나라의 비상 상황을 타개하여 민생회복을 위한 비상 대권인 비상개엄 선포가 잘못됐다고 어떻게 현직 대통령을 잡범 취급하는 사법의 칼을 휘두리냐구요 이게 정상적인 민주주의 나라의 사법기관이냐구요????
한심하도다",True,1,2025-01-24T20:46:26+0900,849366704604577925,4,1,1
moon****,2tW4G,계속듣다보면 저인간한테 가스라이팅당할거같누 너무자연스럽고 당당하게 궤변을하니 익숙해지는기분이들어,True,1,2025-01-24T20:42:31+0900,849366452828897422,4,1,0
daha****,317fW,법을  코에 걸었다.  귀에  걸었다.   마음대로 하네요.     국민이  보고 있어도  저 맘대로네  .,True,1,2025-01-24T20:55:30+0900,849367289340887186,3,0,0
free****,cdECj,총살감,True,1,2025-01-24T20:37:18+0900,849366116596711513,3,0,0
kktj****,1e0nP,참 이유도ㆍ변명도 많다 ㆍㆍ창피하다 ㆍ ㆍ부하들이 잘못했다고 하니 ㆍㆍㆍ어이가 없구나 ~~  진실을 버리면 결국 스스로 깊은 수렁에 빠진다는 거 ㆍ잊지마세요,True,1,2025-01-24T21:12:47+0900,849368403029262561,2,0,0
kbhj****,bCfeA,"찌질한 넘들, 지겹다, 언론은 이런기사 그만써라",True,1,2025-01-24T20:12:34+0900,849364523012849836,2,0,0
skkb****,2DVuL,"탄핵 심판중이다.현직 대통령으로 도주나
증거인멸 우려가 1도 없다.
 검찰은 방어권 보장 차원에서 
 구속을 취소하고 즉각 석방하라",True,1,2025-01-24T19:25:11+0900,849361470633279543,5,4,3
hksu****,tdWm,다 떠나서 이런 미친 상태 만든넘은 접어야되는거아닌가 진짜 윤지지자들 그가 돌아올수있을꺼라 생각합니까 답답,True,1,2025-01-24T19:34:21+0900,849362061342277746,4,3,1
smc2****,,,False,1,2025-01-24T21:07:25+0900,849368056428757120,0,0,0
adie****,,,False,1,2025-01-24T19:19:42+0900,849361117305110735,0,0,1
knji****,WnWQ,까,True,1,2025-01-24T19:15:43+0900,849360860999581913,2,1,0
chat****,,,False,1,2025-01-24T20:58:51+0900,849367504710009090,0,0,0
supe****,A7uI,국민들이 너무 어리석다. 무지의 소산이다. 그걸 끝까지 이용해먹는 국짐. 정말 나쁜놈들이다. 무지한 국민과 무지를 이용해먹는 정당이 대한민국을 망치는구나. 정말 한심하다.,True,1,2025-01-24T20:51:20+0900,849367020217565279,1,0,0
haeg****,JkSO,이놈은 꼭 사형시켜라.,True,1,2025-01-24T20:36:07+0900,849366039991943204,1,0,0
jsh1****,,,False,1,2025-01-24T19:55:21+0900,849363413619441769,0,0,0
bike****,2i3vi,"법뭐 중요해? 한국인들은 미개해서 그런거 안따진다 대충구속시켜라
법리 안따지고 구속 이게다 한국인들이 미개하다는 반증인거는 인정할껀 해라",True,1,2025-01-24T19:36:23+0900,849362191684468848,1,0,0
rorr****,6jgaG,세숫대야 거지같다,True,1,2025-01-24T19:13:19+0900,849360706464645225,1,0,0
ymch****,YyqC,답이없다. 고무호수로 쳐 맞아야겠다. 지하에서 아버님 속상 하실 듯.,True,1,2025-01-24T19:11:03+0900,849360559781445649,3,3,0
