user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sm77****,fTb0,"좌파변호인들은 다물러가라!!  윤대통령탄핵기각이다 
대한민국을 좌파들로부터 구하려는죄밖에없다",True,1,2025-02-24T22:48:59+0900,852250510248378744,209,96,7
kdjy****,,,False,1,2025-02-24T22:53:02+0900,852250770983092236,0,0,4
eunm****,y1SU,"김이수?~ㅋㅋ
국회측 변호인비 니들이 내라 국민등에 빨때 꽃는짓 그만해라",True,1,2025-02-24T22:55:56+0900,852250957646397756,35,4,1
kaco****,4b7xe,대통령님 빠른 복귀를 기원합니다,True,1,2025-02-24T22:46:50+0900,852250371349807368,85,61,2
sesa****,1QklX,"대통령님 빨리 복귀하셔서 반국가세력, 부정선거 척결해주세요!",True,1,2025-02-24T22:50:21+0900,852250598815301767,59,45,1
lcm7****,2ZNjD,이재명과 더불어민주당의 대선 불복 탄핵이고 반역이고 쿠테타다.   윤통 탄핵 원천 무효.  이재명 내란수괴 .  더불어민주당 해체.,True,1,2025-02-24T23:04:15+0900,852251493879775335,9,1,0
wghg****,,,False,1,2025-02-24T23:11:16+0900,852251946294181967,0,0,0
fbtj****,12hRs,탄핵여부보다 중요한건 지난 수십년 나라를 망친 좌파 운동권 전교조 민노총 전남대학교 경찰 검찰 헌재 저들이 뿌려놓은 악의 씨앗을 뿌리뽑는거임 조직내에서 사회에서 타지에서 바퀴벌레마냥 번식함 우리는 그것을 적폐라고 부르고 개혁대상이라고 부른다 잔인하게 생각하지마라 저들은 뒤에서 더 잔인하게 우리사회와 구성원들을 눈하나 깜박안하고 갈아마셨다,True,1,2025-02-24T23:31:20+0900,852253238240477288,10,3,0
mili****,1EHY8,내란은 민주당   반국가세력들,True,1,2025-02-24T22:57:44+0900,852251074499707145,9,2,0
asdf****,cjfmb,화염병 던지고  발광하던 정청래,True,1,2025-02-24T22:54:46+0900,852250883105227024,8,1,0
asdf****,cjfmb,반드시 기각나서 저 이재명 방탄쇼를 멈춰야한다,True,1,2025-02-24T23:23:59+0900,852252765458530640,7,0,0
mili****,1EHY8,대통령 복귀  반드시한다  자유수호!!,True,1,2025-02-24T22:56:31+0900,852250995864895678,12,6,0
msk2****,2cD9VJ,"정청래야 군대는 다녀왔니 아니면 법사위원장인데 ""법""은 알고있나. 머리에 든것도 없는 넘이 국개의원 시켜주니까 소리만 요란하고 무식을 취미로 일삼는 개청래 이것이 불어터진 조진당 수준임 ㅋㅋㅋ",True,1,2025-02-24T23:33:21+0900,852253368163237996,9,3,0
suki****,8RgsM,쓸데없이 자기들편안든다고 29번 탄핵하고 이재명 째려봤다고 탄핵하고 그 비용 지들이내지도않고 전부 국민세금으로 쓰고 진짜 더불어공산당은  미친집단인듯 국민들이 힘모아 위헌정당해산 시켜야 우리나라가 산다!,True,1,2025-02-24T23:25:20+0900,852252852213514363,8,3,0
mili****,1EHY8,"20 30  젊은 청년들은  윤대통령을 원한다!!
자유대한민국 !!  대통령윤석렬 !!",True,1,2025-02-24T23:00:19+0900,852251240527036525,13,9,2
tpdn****,1AGhI,국회에 총들고 난입은 무리수 였다. 잘가라,True,1,2025-02-24T22:49:47+0900,852250561553105156,12,8,0
qqqa****,,,False,1,2025-02-25T00:18:08+0900,852256253458513955,0,0,0
drea****,aM2rx,"계엄령선포로   국회의원들 잡으러 한밤중에 특수부대  유리창 부수고  들어온거 티브 생중계로   전국민이
다봤는데    탄핵이   당연하지",True,1,2025-02-24T23:04:20+0900,852251499449811051,8,5,1
igad****,eK3jQ,"거물급?ㅋㅋㅋ
하느님이온들진실을이길거같아서?
부하들이윤때문에감옥에수감되도지하나살겠다고떠넘기는거보면ㅠ김건희하나살리겠다고 ...",True,1,2025-02-24T23:07:39+0900,852251712705003783,6,3,0
gkad****,17Fva,이미 이재명파가 한자리씩 얻으려고 손 잡았다하던데.없는 죄도 만드는 것들이 이씨파인데.가능할까?과연.큰 관심은없지만  돈 먹은 만큼 하겠지요.공산당 인간들인데,True,1,2025-02-24T22:54:21+0900,852250856479785093,6,3,0
jinj****,,,False,1,2025-02-24T22:54:35+0900,852250871159849165,0,0,0
mum5****,65XA,국가를 위해서  내려와랏. 잘못을 했으면 용서를 구하고 반성하랏,True,1,2025-02-25T03:44:44+0900,852269564401025073,3,0,0
asks****,44SmR,이재명 OUT. 반국가세력 척결,True,1,2025-02-24T23:24:09+0900,852252775591968815,4,2,0
kr16****,3ZMUs,아니  저 윤 지지리를 변호하는 애들은 생각이 박혀 있는 애들이야,True,1,2025-02-25T03:47:28+0900,852269739873927203,3,1,0
dali****,3Pw3U,탄핵은 각하가 마땅하다,True,1,2025-02-24T23:35:45+0900,852253523134382301,3,1,1
park****,86Ck0,거물급 ㅋㅋ  나라를 망치려하는  거물급  ㅠ  생중계로 온세계가  총부리로 국회 유리창 깨부수고 난입하는건  뭐였지??? 저런걸 변호하는 것들은  거물이 아니고 올챙이지 ???,True,1,2025-02-25T05:07:05+0900,852274868886962183,2,0,0
wkky****,,,False,1,2025-02-25T02:17:53+0900,852263968511623272,0,0,0
vvip****,5WeOh,박선원 대필은 언론에 왜안나오는거냐?,True,1,2025-02-25T01:07:09+0900,852259411400327198,2,0,0
trew****,,,False,1,2025-02-25T02:29:37+0900,852264724425867329,0,0,2
akfi****,1E9gA,윤석열 대통령님 어서 복귀해주세요,True,1,2025-02-25T00:32:44+0900,852257194240901268,4,3,1
3216****,2N1co,정청래 저 자 정말 꼴도보기싫다,True,1,2025-02-24T23:10:46+0900,852251913259843863,4,3,0
aaaa****,jvSF,윤대통렁님 홧팅이에용,True,1,2025-02-24T23:21:48+0900,852252624899014906,3,2,0
giza****,,,False,1,2025-02-25T01:17:54+0900,852260104366456971,0,0,0
dlgu****,1S4li,앞으로 대통령 권한으로 계엄도 막해도 되겠네요.ㅋ,True,1,2025-02-25T00:00:57+0900,852255146581688567,2,1,1
tngh****,qoaB,"전 국민이 대통령님 부활을 염원하고 있습니다  
  반국가 세력을 반드시 척결해야 합니다",True,1,2025-02-24T23:01:35+0900,852251322232078539,2,1,1
hanc****,1dxq9,탄핵기각으로 가나요???...🥸🥸🥸,True,1,2025-02-24T22:50:04+0900,852250579739607058,2,1,0
cho1****,,,False,1,2025-02-25T11:01:21+0900,852297692259287210,0,0,0
hoon****,2UWGS,굥가놈 이쯤되면 뛰어내릴 때 아닌가? 독한놈이 어찌 요강정치를 하며 양주 퍼마시며 했을꼬? 개여사는 이제 빵에서 개를 그리워할듯..,True,1,2025-02-25T06:37:16+0900,852280679726055454,1,0,0
suzi****,WmJF,목인 겁나돌리네~ 오프라인 쪽수로 안돼니까 온라인 ai 한심하다 ccp out~!!!,True,1,2025-02-25T04:01:18+0900,852270631062863888,1,0,0
