user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
2272****,,,False,1,2024-12-24T14:12:29+0900,846465414501236896,0,0,17
suvi****,,,False,1,2024-12-24T14:23:32+0900,846466126962491604,0,0,13
litt****,,,False,1,2024-12-24T14:33:52+0900,846466792464318860,0,0,4
sind****,2NCKp,민주당 폭거에 오늘자 고든창 메시지 :  한국인 여러분. 지금은 거리로 나가 싸우지 않으면 자유를 잃을 순간입니다.,True,1,2024-12-24T14:32:09+0900,846466681415925839,58,1,4
leed****,d2S6x,"대한민국 법이 있나
그냥 아프리카 족장 법원",True,1,2024-12-24T14:28:09+0900,846466424355422256,29,0,1
real****,eem6A,웃기고 있네 잡범 찢죄명과  입시비리사문서 위조범 조국 황운하 윤미향 최강욱등은 간단한 재판도 몇년씩 재판 지연으로 국민 혈세 낭비하게 만들어 놓고  그들과 다른 재판은 뭔데 하여간 반국가세력들이 판 치는 세상 지겹다,True,1,2024-12-24T15:06:39+0900,846468904195719413,7,0,0
ktgw****,,,False,1,2024-12-24T14:31:51+0900,846466662994542934,0,0,0
rose****,Bh24,이재명 재판은   몇년동안 질질 끌면서 이건 빨리도 하려고 덤비네,True,1,2024-12-24T15:04:23+0900,846468758703702169,5,0,0
sg97****,1zgbf,"탄핵은 기각될거같다.
민주당 프레임에 헌법재판소는 안넘어간다",True,1,2024-12-24T14:36:49+0900,846466982952829219,7,3,0
jung****,3b924,헌재가 왜 어렇게 서두르나? 변호사 선임하고 대통령도 답변서 제출을 해야사는것 아닌가? 여기에도 이재명의 힘이 미치나요? 그러면 헌재 판결이 필요없는거 아닙니까?,True,1,2024-12-24T14:40:32+0900,846467222414033110,5,1,0
lckk****,2XRmS,돌아가는 꼴이  한국은 패망하고 남조선 인민공화국 탄생하겠네.,True,1,2024-12-24T14:35:35+0900,846466902707405034,5,1,0
dcki****,4yMfH,"대통령에 대한 탄핵은 정말로 신중해야 할것입니다
민주당이 하는 탄핵놀이는 결국 나라를 망가 뜨릴것 입니다.",True,1,2024-12-24T14:47:47+0900,846467688552202546,4,0,0
ms12****,,,False,1,2024-12-24T14:34:11+0900,846466812429205580,0,0,0
prin****,1g6CC,헌재는 중립을 지켜라...지금 범죄자 이재명과 민주당의 횡포를 보고도 이러냐... 대통령의 정당한 방어권 보장하고 재판일정도 헌재에서 일방적으로 정하지 말아라...사법부 니들이 범죄자 이재명 재판만 제대로 했어도 나라가 이지경이 안 됐다,True,1,2024-12-24T14:43:58+0900,846467443655180716,7,4,0
jj12****,1pHsa,"범죄자세상 ,  민주당의   범죄자  재판은   고무줄 처럼 지맘대로  늘어나는  재판   ,  무소불위의   법위에  군림하는  자들.   법도 질서도 없는 민주당  세상",True,1,2024-12-24T15:07:38+0900,846468967496155396,3,0,0
